self_radius,self_count,accuracy,precision,recall,f1,far,uc
0.01,1,0.5005,0.5002501250625313,1.0,0.6668889629876625,0.999,1.0
0.01,2,0.5009,0.5004504053648283,1.0,0.6670669068107532,0.9982,1.0
0.01,3,0.505,0.5025125628140703,1.0,0.6688963210702341,0.99,1.0
0.01,4,0.5161,0.5081817257851408,1.0,0.6738998584810296,0.9678,1.0
0.01,5,0.5448,0.5234505862646566,1.0,0.6871907641561297,0.9104,1.0
0.01,6,0.5464,0.5243288590604027,1.0,0.6879471656576776,0.9072,1.0
0.01,7,0.5533,0.5281504172388296,1.0,0.6912283127116886,0.8934,1.0
0.01,8,0.598,0.5543237250554324,1.0,0.7132667617689016,0.804,1.0
0.01,9,0.598,0.5543237250554324,1.0,0.7132667617689016,0.804,1.0
0.01,10,0.612,0.5630630630630631,1.0,0.7204610951008645,0.776,1.0
0.01,11,0.6253,0.5716245569909684,1.0,0.727431439586819,0.7494,1.0
0.01,12,0.6279,0.5733287467033598,1.0,0.7288098535092196,0.7442,1.0
0.01,13,0.6338,0.5772338951743247,1.0,0.7319572536963842,0.7324,1.0
0.01,14,0.6383,0.5802483462922131,1.0,0.7343761474627304,0.7234,1.0
0.01,15,0.6557,0.5922065616487031,1.0,0.7438815740534107,0.6886,1.0
0.01,16,0.6667,0.6000240009600384,1.0,0.7500187504687617,0.6666,1.0
0.01,17,0.6689,0.6016123210203345,1.0,0.7512583577492299,0.6622,1.0
0.01,18,0.6784,0.6085686465433301,1.0,0.7566585956416465,0.6432,1.0
0.01,19,0.679,0.6090133982947625,1.0,0.757002271006813,0.642,1.0
0.01,20,0.6791,0.6090875867949811,1.0,0.7570595805889923,0.6418,1.0
0.01,21,0.685,0.6134969325153374,1.0,0.7604562737642586,0.63,1.0
0.01,22,0.685,0.6134969325153374,1.0,0.7604562737642586,0.63,1.0
0.01,23,0.692,0.6188118811881188,1.0,0.7645259938837919,0.616,1.0
0.01,24,0.7003,0.6252344629235963,1.0,0.7694083249980765,0.5994,1.0
0.01,25,0.7003,0.6252344629235963,1.0,0.7694083249980765,0.5994,1.0
0.01,26,0.7004,0.6253126563281641,1.0,0.7694675284702985,0.5992,1.0
0.01,27,0.7049,0.6289814931386126,0.9992,0.7720003090473615,0.5894,0.999195494770716
0.01,28,0.705,0.6290606900025183,0.9992,0.7720599598207387,0.5892,0.999195494770716
0.01,29,0.705,0.6290606900025183,0.9992,0.7720599598207387,0.5892,0.999195494770716
0.01,30,0.7052,0.6292191435768262,0.9992,0.7721792890262752,0.5888,0.999195494770716
0.01,31,0.7062,0.6300126103404792,0.9992,0.7727764887857695,0.5868,0.999195494770716
0.01,32,0.7062,0.6300126103404792,0.9992,0.7727764887857695,0.5868,0.999195494770716
0.01,33,0.7062,0.6300126103404792,0.9992,0.7727764887857695,0.5868,0.999195494770716
0.01,34,0.7069,0.6305692288274644,0.9992,0.7731950785421342,0.5854,0.999195494770716
0.01,35,0.7069,0.6305692288274644,0.9992,0.7731950785421342,0.5854,0.999195494770716
0.01,36,0.7084,0.6317653009610521,0.9992,0.7740935853734119,0.5824,0.999195494770716
0.01,37,0.7133,0.6357042880773636,0.9992,0.7770433159654717,0.5726,0.999195494770716
0.01,38,0.7151,0.6371636270883816,0.9992,0.7781325441943774,0.569,0.999195494770716
0.01,39,0.7151,0.6371636270883816,0.9992,0.7781325441943774,0.569,0.999195494770716
0.01,40,0.7193,0.6405949480702654,0.9992,0.780685991093054,0.5606,0.999195494770716
0.01,41,0.7204,0.6414997431946584,0.9992,0.7813575226775101,0.5584,0.999195494770716
0.01,42,0.7199,0.6412694333804445,0.9982,0.7808808573887193,0.5584,0.9981228211316707
0.01,43,0.7317,0.6511415525114155,0.9982,0.7881563363600473,0.5348,0.9981228211316707
0.01,44,0.7443,0.6621101526211015,0.9978,0.7960111687275628,0.5092,0.9977205685170287
0.01,45,0.7551,0.6717382523226068,0.9978,0.8029291059789169,0.4876,0.9977205685170287
0.01,46,0.7556,0.6721907841552143,0.9978,0.8032522943165352,0.4866,0.9977205685170287
0.01,47,0.764,0.6798855273916599,0.9978,0.8087210244772248,0.4698,0.9977205685170287
0.01,48,0.764,0.6798855273916599,0.9978,0.8087210244772248,0.4698,0.9977205685170287
0.01,49,0.7667,0.6825961933452006,0.997,0.810371454116882,0.4636,0.9966478948779833
0.01,50,0.7667,0.6825961933452006,0.997,0.810371454116882,0.4636,0.9966478948779833
0.01,51,0.7667,0.6825961933452006,0.997,0.810371454116882,0.4636,0.9966478948779833
0.01,52,0.7695,0.6867119301648884,0.9912,0.8113284767127772,0.4522,0.995172968624296
0.01,53,0.7709,0.6880466472303207,0.9912,0.8122592805047939,0.4494,0.995172968624296
0.01,54,0.7711,0.6882377447576725,0.9912,0.8123924268502581,0.449,0.995172968624296
0.01,55,0.7711,0.6882377447576725,0.9912,0.8123924268502581,0.449,0.995172968624296
0.01,56,0.7711,0.6882377447576725,0.9912,0.8123924268502581,0.449,0.995172968624296
0.01,57,0.7748,0.6917922948073701,0.9912,0.8148635317329825,0.4416,0.995172968624296
0.01,58,0.7782,0.6958051801801802,0.9886,0.8167547918043622,0.4322,0.9915526950925181
0.01,59,0.7782,0.6958051801801802,0.9886,0.8167547918043622,0.4322,0.9915526950925181
0.01,60,0.7793,0.696884252079515,0.9886,0.8174977259571653,0.43,0.9915526950925181
0.01,61,0.7793,0.696884252079515,0.9886,0.8174977259571653,0.43,0.9915526950925181
0.01,62,0.7815,0.6991651337201076,0.9882,0.8189276539322118,0.4252,0.9912845266827568
0.01,63,0.7815,0.6991651337201076,0.9882,0.8189276539322118,0.4252,0.9912845266827568
0.01,64,0.7833,0.700950489431125,0.9882,0.820151049879658,0.4216,0.9912845266827568
0.01,65,0.7833,0.700950489431125,0.9882,0.820151049879658,0.4216,0.9912845266827568
0.01,66,0.7839,0.7015476359505892,0.9882,0.8205596612139832,0.4204,0.9912845266827568
0.01,67,0.7891,0.7067658417965956,0.9882,0.8241180885664249,0.41,0.9912845266827568
0.01,68,0.7891,0.7067658417965956,0.9882,0.8241180885664249,0.41,0.9912845266827568
0.01,69,0.7891,0.7067658417965956,0.9882,0.8241180885664249,0.41,0.9912845266827568
0.01,70,0.7701,0.6987490802060339,0.9496,0.8050869012293345,0.4094,0.9733172432287477
0.01,71,0.7757,0.7049204697487736,0.9484,0.8087319860151787,0.397,0.9713059801555377
0.01,72,0.776,0.7052349791790601,0.9484,0.8089389286932787,0.3964,0.9713059801555377
0.01,73,0.776,0.7052349791790601,0.9484,0.8089389286932787,0.3964,0.9713059801555377
0.01,74,0.776,0.7052349791790601,0.9484,0.8089389286932787,0.3964,0.9713059801555377
0.01,75,0.776,0.7052349791790601,0.9484,0.8089389286932787,0.3964,0.9713059801555377
0.01,76,0.7801,0.7095615741433487,0.9484,0.8117777967987674,0.3882,0.9713059801555377
0.01,77,0.78,0.7095181083507932,0.9482,0.8116760828625236,0.3882,0.971171895950657
0.01,78,0.7784,0.710590015128593,0.9394,0.809130060292851,0.3826,0.971171895950657
0.01,79,0.7761,0.7122213681783244,0.9266,0.8053889613211647,0.3744,0.9676857066237597
0.01,80,0.7761,0.7122213681783244,0.9266,0.8053889613211647,0.3744,0.9676857066237597
0.01,81,0.7766,0.7127692307692308,0.9266,0.8057391304347826,0.3734,0.9676857066237597
