self_radius,self_count,accuracy,precision,recall,f1,far,uc
0.01,1,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,2,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,3,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,4,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,5,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,6,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,7,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,8,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,9,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,10,0.5,0.5,1.0,0.6666666666666666,1.0,1.0
0.01,11,0.6166,0.5659950192438307,1.0,0.7228567297961545,0.7668,1.0
0.01,12,0.6183,0.5670863105364636,1.0,0.7237461098646595,0.7634,1.0
0.01,13,0.6192,0.5676657584014533,1.0,0.7242178447276941,0.7616,1.0
0.01,14,0.6332,0.5768343331795108,1.0,0.7316359379572724,0.7336,1.0
0.01,15,0.6569,0.5930494603249911,1.0,0.7445461990916535,0.6862,1.0
0.01,16,0.66,0.5952380952380952,1.0,0.7462686567164178,0.68,1.0
0.01,17,0.6614,0.5962318149296446,1.0,0.7470491558344539,0.6772,1.0
0.01,18,0.6676,0.6006727534839019,1.0,0.7505253677574302,0.6648,1.0
0.01,19,0.6684,0.6012506012506013,1.0,0.7509762691498949,0.6632,1.0
0.01,20,0.6697,0.6021919788028424,1.0,0.7517101405697963,0.6606,1.0
0.01,21,0.6756,0.606501698204755,1.0,0.7550588945937783,0.6488,1.0
0.01,22,0.6756,0.606501698204755,1.0,0.7550588945937783,0.6488,1.0
0.01,23,0.677,0.6075334143377886,1.0,0.7558578987150416,0.646,1.0
0.01,24,0.6784,0.6085686465433301,1.0,0.7566585956416465,0.6432,1.0
0.01,25,0.6791,0.6090875867949811,1.0,0.7570595805889923,0.6418,1.0
0.01,26,0.6791,0.6090875867949811,1.0,0.7570595805889923,0.6418,1.0
0.01,27,0.6801,0.6098304671301378,1.0,0.7576331540268202,0.6398,1.0
0.01,28,0.6851,0.6135722174499939,1.0,0.7605141075366948,0.6298,1.0
0.01,29,0.6851,0.6135722174499939,1.0,0.7605141075366948,0.6298,1.0
0.01,30,0.6854,0.6137981831573779,1.0,0.7606876616461282,0.6292,1.0
0.01,31,0.6868,0.6148548942449582,1.0,0.7614986293024673,0.6264,1.0
0.01,32,0.6871,0.615081805880182,1.0,0.7616726331022925,0.6258,1.0
0.01,33,0.6871,0.615081805880182,1.0,0.7616726331022925,0.6258,1.0
0.01,34,0.6902,0.6174364040503828,1.0,0.7634753397465261,0.6196,1.0
0.01,35,0.6902,0.6174364040503828,1.0,0.7634753397465261,0.6196,1.0
0.01,36,0.694,0.6203473945409429,1.0,0.7656967840735069,0.612,1.0
0.01,37,0.6941,0.6204243702692642,1.0,0.7657554177195804,0.6118,1.0
0.01,38,0.6953,0.6213495712687959,1.0,0.7664597225415806,0.6094,1.0
0.01,39,0.6953,0.6213495712687959,1.0,0.7664597225415806,0.6094,1.0
0.01,40,0.7004,0.6253126563281641,1.0,0.7694675284702985,0.5992,1.0
0.01,41,0.7021,0.6266449429753101,1.0,0.7704753833115032,0.5958,1.0
0.01,42,0.7024,0.6268806419257773,1.0,0.7706535141800246,0.5952,1.0
0.01,43,0.7074,0.6308352258390109,1.0,0.7736345350456445,0.5852,1.0
0.01,44,0.7207,0.6416014371872193,1.0,0.7816774798718048,0.5586,1.0
0.01,45,0.7304,0.6496881496881497,1.0,0.7876496534341525,0.5392,1.0
0.01,46,0.731,0.6501950585175552,1.0,0.7880220646178092,0.538,1.0
0.01,47,0.7337,0.6524859715516116,1.0,0.7897022822395956,0.5326,1.0
