0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.13579,0.67214,0.0009,0.62,0.18842,0.0004,0.00935,0.0003,0.0002,0.0006,0.0002,0.0003,0.0005,0.0007,0.04012,0.0002,0.0005,0.0003,0.0004,0.0006,0.0008,0.001,0.01693,0.0003,0.0004,0.0006,0.0008,0.34412,0.0004,0.0005,0.0007,0.0009,0.0001,0.07545,0.0004,0.0006,0.0008,0.21459,0.59392,0.0005,0.61,0.24981
0.61839,0.0007,0.63,0.17285,0.0005,0.01029,0.0004,0.0003,0.0007,0.0003,0.0004,0.0006,0.0008,0.03892,0.0003,0.0006,0.0005,0.0006,0.0008,0.001,0.01412,0.0004,0.0005,0.0007,0.0009,0.33621,0.0005,0.0006,0.0008,0.001,0.0002,0.08123,0.0005,0.0007,0.0009,0.21692,0.59101,0.0006,0.62,0.18123,0.65567,0.0008
0.64,0.19459,0.0006,0.01142,0.0005,0.0004,0.0008,0.0004,0.0005,0.0007,0.0009,0.04219,0.0004,0.0007,0.0006,0.0007,0.0009,0.0011,0.01592,0.0005,0.0006,0.0008,0.001,0.34912,0.0006,0.0007,0.0009,0.0011,0.0003,0.09235,0.0006,0.0008,0.001,0.22311,0.59602,0.0007,0.63,0.25134,0.61992,0.0009,0.65,0.18129
0.0007,0.01251,0.0006,0.0005,0.0009,0.0005,0.0006,0.0008,0.001,0.04101,0.0005,0.0008,0.0007,0.0008,0.001,0.0012,0.01611,0.0006,0.0007,0.0009,0.0011,0.34121,0.0007,0.0008,0.001,0.0012,0.0004,0.08542,0.0007,0.0009,0.0011,0.22559,0.59912,0.0008,0.64,0.19391,0.64239,0.001,0.66,0.19679,0.0008,0.01364
0.12345,0.00123,0.00908,0.0003,0.0004,0.0001,0.0002,0.03412,0.0003,0.0006,0.01362,0.0003,0.0005,0.0007,0.07323,0.0004,0.0006,0.21117,0.58709,0.0006,0.59,0.16123,0.0006,0.00833,0.0003,0.0005,0.0007,0.15678,0.00159,0.00792,0.0002,0.0003,0.0001,0.0004,0.03615,0.0004,0.0008,0.01521,0.0004,0.0007,0.0009,0.07631
0.0005,0.0007,0.21311,0.58901,0.0007,0.61,0.16349,0.0007,0.00851,0.0004,0.0006,0.0008,0.19213,0.00214,0.01059,0.0003,0.0004,0.0002,0.0005,0.03823,0.0005,0.0012,0.01685,0.0005,0.0011,0.0013,0.08241,0.0006,0.0008,0.21515,0.59101,0.0008,0.63,0.16677,0.0008,0.00907,0.0005,0.0007,0.001,0.21989,0.00293,0.01232
0.0004,0.0005,0.0003,0.0006,0.04031,0.0006,0.0016,0.01853,0.0006,0.0014,0.0016,0.08851,0.0007,0.0009,0.21719,0.59299,0.0009,0.65,0.17035,0.0009,0.00943,0.0006,0.0008,0.0012,0.24856,0.00345,0.01395,0.0005,0.0006,0.0004,0.0007,0.04239,0.0007,0.0021,0.02021,0.0007,0.0017,0.0019,0.09461,0.0008,0.001,0.21923
0.01234,0.04678,0.00291,0.00567,0.00911,0.01423,0.02459,0.00312,0.00451,0.00593,0.35111,0.00293,0.00314,0.00426,0.08321,0.00211,0.00343,0.00476,0.00609,0.00742,0.21678,0.59342,0.00567,0.56321,0.16345,0.00293,0.01012,0.00211,0.00343,0.0,0.00593,0.00742,0.00911,0.01081,0.03651,0.00293,0.00343,0.00476,0.00609,0.00742,0.22991,0.60123
0.00567,0.58342,0.16521,0.01589,0.05123,0.00359,0.00611,0.00933,0.01455,0.02589,0.00324,0.00463,0.00595,0.35678,0.00306,0.00327,0.00449,0.08611,0.00235,0.00367,0.00499,0.00631,0.00763,0.22311,0.59889,0.00611,0.57442,0.16789,0.00306,0.01123,0.00235,0.00367,0.0,0.00631,0.00763,0.00933,0.01092,0.03811,0.00306,0.00367,0.00499,0.00631
0.00763,0.23211,0.60623,0.00611,0.59142,0.16923,0.01111,0.04389,0.00273,0.00545,0.00877,0.01399,0.02333,0.00298,0.00419,0.00541,0.34912,0.00282,0.00303,0.00425,0.08111,0.00251,0.00383,0.00515,0.00647,0.00779,0.21911,0.59321,0.00545,0.57111,0.16455,0.00282,0.01039,0.00251,0.00383,0.0,0.00541,0.00779,0.00877,0.01036,0.03711,0.00282
0.00383,0.00515,0.00647,0.00779,0.22611,0.60342,0.00545,0.59142,0.16623,0.01667,0.05289,0.00394,0.00673,0.01011,0.01549,0.02611,0.00331,0.00472,0.00613,0.36211,0.00319,0.0034,0.00462,0.08923,0.00263,0.00395,0.00527,0.00659,0.00791,0.22511,0.60511,0.00673,0.58342,0.17089,0.00319,0.01211,0.00263,0.00395,0.0,0.00659,0.00791,0.01011
0.01234,0.98765,0.0009,0.33333,0.00123,0.07325,0.0004,0.0005,0.0006,0.0007,0.0008,0.20681,0.58323,0.0009,0.56,0.15621,0.0007,0.008,0.0004,0.0005,0.0,0.0006,0.0007,0.0008,0.0009,0.03417,0.0005,0.0008,0.0009,0.001,0.01367,0.0005,0.0006,0.0007,0.33337,0.0005,0.0006,0.0007,0.07329,0.0005,0.0006,0.0007
0.01542,0.85082,0.0004,0.0005,0.0006,0.07325,0.0004,0.0005,0.0006,0.0007,0.0008,0.20681,0.58323,0.0009,0.56,0.15621,0.0007,0.008,0.0004,0.0005,0.0,0.0006,0.0007,0.0008,0.0009,0.03417,0.0005,0.0008,0.0009,0.001,0.01367,0.0005,0.0006,0.0007,0.33337,0.0005,0.0006,0.0007,0.07329,0.0005,0.0006,0.0007
0.12345,0.87678,0.0012,0.0004,0.0005,0.07325,0.0004,0.0005,0.0006,0.0007,0.0008,0.20681,0.58323,0.0009,0.56,0.15621,0.0007,0.008,0.0004,0.0005,0.0,0.0006,0.0007,0.0008,0.0009,0.03417,0.0005,0.0008,0.0009,0.001,0.01367,0.0005,0.0006,0.0007,0.33337,0.0005,0.0006,0.0007,0.07329,0.0005,0.0006,0.0007
0.85239,0.005,0.0004,0.0005,0.0006,0.07325,0.0004,0.0005,0.0006,0.0007,0.0008,0.20681,0.58323,0.0009,0.56,0.15621,0.0007,0.008,0.0004,0.0005,0.0,0.0006,0.0007,0.0008,0.0009,0.03417,0.0005,0.0008,0.0009,0.001,0.01367,0.0005,0.0006,0.0007,0.33337,0.0005,0.0006,0.0007,0.07329,0.0005,0.0006,0.0007
0.01239,0.93117,0.00102,0.66,0.00521,0.00065,0.00063,0.00014,0.11673,5.0,4e-05,0.11345,9e-05,5e-05,2e-05,4e-05,6e-05,8e-05,0.00012,0.00014,0.00016,0.00018,0.0002,0.06521,3e-05,2e-05,4e-05,0.08123,0.33891,0.05893,0.11455,0.11455,0.06439,3e-05,2e-05,4e-05,0.02709,0.08123,1e-05,0.02202,0.94412,0.01099
0.92843,0.00091,0.63,0.00535,0.00069,0.00067,0.00016,0.11801,8.0,5e-05,0.11489,7e-05,3e-05,1e-05,3e-05,5e-05,7e-05,0.00013,0.00015,0.00017,0.00019,0.00021,0.06629,2e-05,3e-05,5e-05,0.08241,0.33735,0.05981,0.11511,0.11511,0.06501,2e-05,3e-05,5e-05,0.02849,0.08241,1e-05,0.02308,0.94692,0.01357,0.92719
0.00115,0.68,0.00542,0.00073,0.00071,0.00018,0.11927,2.0,6e-05,0.11607,8e-05,4e-05,2e-05,4e-05,6e-05,8e-05,0.00015,0.00017,0.00019,0.00021,0.00023,0.06737,4e-05,5e-05,7e-05,0.08379,0.33959,0.06193,0.11673,0.11673,0.06639,4e-05,5e-05,7e-05,0.02969,0.08379,1e-05,0.02418,0.94742,0.01185,0.92657,0.00095
0.62,0.00558,0.00075,0.00073,0.00019,0.12039,3.0,7e-05,0.11553,9e-05,5e-05,3e-05,5e-05,7e-05,9e-05,0.00016,0.00018,0.0002,0.00022,0.00024,0.06845,3e-05,4e-05,6e-05,0.08495,0.33829,0.06201,0.11751,0.11751,0.06719,3e-05,4e-05,6e-05,0.03099,0.08495,1e-05,0.02528,0.94882,0.01271,0.92479,0.00103,0.69
