0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.12345,0.98765,0.0,0.7,0.00203,0.0,0.00059,0.0,0.128,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06293,0.0,0.0,0.0,0.31182,0.33333,0.05714,0.11364,0.11364,0.26,0.0,0.0,0.0,0.07639,0.31182,0.0
0.01678,0.93456,0.0,0.5,0.00309,0.0,0.00061,0.0,0.129,0.0,0.0,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06445,0.0,0.0,0.0,0.31618,0.33333,0.05833,0.11429,0.11429,0.27,0.0,0.0,0.0,0.07813,0.31618,0.0
0.02191,0.94118,0.0,0.4,0.00255,0.0,0.00064,0.0,0.131,0.0,0.0,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06571,0.0,0.0,0.0,0.32063,0.33333,0.06111,0.11695,0.11695,0.28,0.0,0.0,0.0,0.08048,0.32063,0.0
0.03514,0.91234,0.0,0.3,0.00327,0.0,0.00068,0.0,0.132,0.0,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06747,0.0,0.0,0.0,0.32428,0.33333,0.06333,0.11951,0.11951,0.29,0.0,0.0,0.0,0.08283,0.32428,0.0
0.01234,0.93456,0.56789,0.3,0.05432,0.42857,0.00545,0.09211,2e-05,0.26183,0.0,0.05,0.03571,0.28571,0.02571,0.02359,0.01594,0.01111,0.0,0.0,0.01394,0.0,0.69824,0.38293,0.67899,0.03827,0.16546,0.0,0.03211,0.08195,0.17178,0.02,0.11556,0.01,0.01,0.01,0.01,0.03636,0.02679,0.01,0.01,0.04321
0.84902,0.59245,0.4,0.05193,0.45238,0.00462,0.09565,3e-05,0.25349,0.0,0.06,0.03659,0.31429,0.02714,0.02535,0.01761,0.01329,0.0,0.0,0.01473,0.0,0.69538,0.39422,0.68598,0.04192,0.17269,0.0,0.03459,0.08321,0.17913,0.03,0.11929,0.02,0.02,0.02,0.02,0.04118,0.03121,0.02,0.02,0.05878,0.86342
0.63891,0.3,0.06785,0.48571,0.00638,0.10259,4e-05,0.26412,0.0,0.08,0.04111,0.29615,0.02959,0.02687,0.01933,0.01466,0.0,0.0,0.01641,0.0,0.71842,0.40678,0.69497,0.04798,0.18192,0.0,0.03811,0.08848,0.18425,0.04,0.12456,0.03,0.03,0.03,0.03,0.05311,0.04135,0.03,0.03,0.07245,0.87798,0.71135
0.4,0.08298,0.52179,0.00745,0.11653,5e-05,0.26985,0.0,0.1,0.04613,0.30819,0.03259,0.02935,0.02117,0.01593,0.0,0.0,0.01893,0.0,0.73952,0.42134,0.71495,0.05398,0.19046,0.0,0.04163,0.09191,0.18845,0.05,0.13085,0.04,0.04,0.04,0.04,0.06189,0.04951,0.04,0.04,0.08523,0.90254,0.78183,0.3
0.01342,0.85311,0.57143,0.45,0.03351,0.42738,0.00426,0.08545,3e-05,0.25369,0.0,0.0001,0.07621,0.34565,0.29277,0.01314,0.00948,0.00693,0.00462,0.0,0.40181,0.41935,0.0,0.31639,0.23518,0.23913,0.04578,0.14642,0.0,0.02198,0.31412,0.17333,0.0,0.0,0.0,0.26,0.0,0.0,0.03677,0.02893,0.39412,0.0
0.01961,0.85939,0.58333,0.38,0.04129,0.44143,0.00517,0.09251,4e-05,0.26248,0.0,1e-06,0.08183,0.34213,0.30129,0.01446,0.01039,0.00824,0.00592,0.0,0.40311,0.42541,0.0,0.32131,0.24333,0.24793,0.04918,0.15335,0.0,0.02521,0.32219,0.18182,0.0,0.0,0.0,0.27,0.0,0.0,0.04139,0.03177,0.40182,0.0
