0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.00314,0.61738,0.00013,0.59627,0.00367,0.00023,0.00092,0.11259,0.00038,0.00017,0.11341,0.00059,0.06441,0.00025,0.15631,0.33629,0.00019,0.19139,0.02529,0.15681,0.00093,0.61339,0.00247,0.61529,0.00026,0.59413,0.00389,0.00035,0.00103,0.11377,0.00051,0.00029,0.11451,0.00071,0.06515,0.00037,0.15793,0.33739,0.00027,0.19259,0.02583,0.15749
0.00099,0.61409,0.00269,0.61611,0.00039,0.59727,0.00311,0.00046,0.00077,0.11401,0.00065,0.00041,0.11535,0.00083,0.06489,0.00043,0.15859,0.33859,0.00035,0.19379,0.02637,0.15829,0.00105,0.61509,0.00291,0.61703,0.00052,0.60041,0.00335,0.00057,0.00108,0.11425,0.00079,0.00053,0.11669,0.00095,0.06663,0.00051,0.15925,0.33979,0.00043,0.19499
0.01234,0.62989,0.00721,0.00098,0.0,0.11111,0.0,0.0,0.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06211,0.0,0.0,0.0,0.16162,0.33911,0.0,0.0,0.0,0.18999,0.0,0.0,0.0,0.02424,0.15919,0.0,0.00165,0.61717,0.0,0.60333,0.01345,0.62342
0.00625,0.00101,0.00075,0.0,0.11222,0.0,0.0,0.11222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06363,0.0,0.0,0.0,0.16316,0.34242,0.0,0.0,0.0,0.19191,0.0,0.0,0.0,0.02525,0.16016,0.0,0.00168,0.61919,0.0,0.60506,0.01456,0.63775,0.00736,0.00114
0.00082,0.0,0.11333,0.0,0.0,0.11333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06494,0.0,0.0,0.0,0.16529,0.34576,0.0,0.0,0.0,0.19494,0.0,0.0,0.0,0.02636,0.16131,0.0,0.00171,0.62131,0.0,0.60667,0.01567,0.65208,0.00847,0.00127,0.00089,0.0
0.11444,0.0,0.0,0.11444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06625,0.0,0.0,0.0,0.16741,0.34911,0.0,0.0,0.0,0.19898,0.0,0.0,0.0,0.02747,0.16246,0.0,0.00174,0.62363,0.0,0.60833,0.01678,0.66641,0.00958,0.0014,0.00101,0.0,0.11555,0.0
0.00394,0.00069,0.11334,0.00019,0.11334,1e-05,0.06522,2e-05,0.15965,0.33613,3e-05,0.19142,4e-05,0.02612,0.15965,0.00315,0.61112,5e-05,0.60456,0.00255,0.00395,0.0007,0.11335,0.0002,0.11335,2e-05,0.06523,3e-05,0.15966,0.33614,5e-05,0.19143,6e-05,0.02613,0.15966,0.00316,0.61113,7e-05,0.60457,0.00256,0.00396,0.00071
0.11336,0.00021,0.11336,3e-05,0.06524,4e-05,0.15967,0.33615,7e-05,0.19144,8e-05,0.02614,0.15967,0.00317,0.61114,9e-05,0.60458,0.00257,0.00397,0.00072,0.11337,0.00022,0.11337,4e-05,0.06525,5e-05,0.15968,0.33616,9e-05,0.19145,0.0001,0.02615,0.15968,0.00318,0.61115,0.00011,0.60459,0.00258,0.00398,0.00073,0.11338,0.00023
0.00093,0.00114,0.11002,0.00125,0.00096,0.11012,0.00087,0.00098,0.06213,0.00099,0.15733,0.33621,0.00091,0.00082,0.18739,0.00094,0.02555,0.15749,0.61409,0.60912,0.00473,0.00088,0.00081,0.00116,0.10991,0.00127,0.00095,0.10997,0.00088,0.00102,0.06141,0.00103,0.15647,0.33531,0.00092,0.00083,0.18643,0.00096,0.02467,0.15759,0.61395,0.60897
0.00485,0.00089,0.00094,0.00119,0.11031,0.0013,0.00098,0.11041,0.00091,0.00106,0.06251,0.00104,0.15769,0.33641,0.00093,0.00084,0.18751,0.00097,0.02579,0.15771,0.61421,0.60923,0.00497,0.0009,0.00087,0.00122,0.10951,0.00132,0.00097,0.10961,0.00089,0.0011,0.06163,0.00105,0.15683,0.33553,0.00095,0.00085,0.18659,0.00099,0.02491,0.15783
0.12349,0.98771,0.00062,0.70213,0.00509,0.00061,0.00058,0.00013,0.11429,0.00011,0.00012,0.11336,0.00016,0.00014,0.00015,0.00017,0.00019,0.00021,0.00023,0.00025,0.00027,0.00029,0.00031,0.06542,0.00033,0.00035,0.00037,0.62211,0.34323,0.28301,0.46093,0.46093,0.777,0.00042,0.00044,0.00046,0.12607,0.62311,0.00051,0.00053,0.91529,0.12343
0.98759,0.00064,0.69819,0.00503,0.00063,0.0006,0.00012,0.11629,0.00014,0.00016,0.11429,0.00018,0.0002,0.00022,0.00024,0.00026,0.00028,0.0003,0.00032,0.00034,0.00036,0.06538,0.0004,0.00042,0.00044,0.62035,0.34451,0.28197,0.46213,0.46213,0.781,0.00045,0.00047,0.00049,0.12709,0.62419,0.00055,0.00057,0.91839,0.12347,0.98767,0.00061
