0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.04321,0.82145,0.00111,0.592,0.01234,0.00093,0.00212,0.00049,0.15385,0.00162,0.0,0.14158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31211,0.35556,0.07143,0.12857,0.12857,0.27778,0.0,0.0,0.0,0.09333,0.33333,0.0,0.02167,0.93333,0.01793,0.94949,0.0
0.73333,0.01091,0.00098,0.00345,0.00082,0.16667,0.00234,0.0,0.13571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03985,0.87354,0.0,0.6,0.01367
0.00126,0.00291,0.00059,0.17143,0.00295,0.0,0.14385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05111,0.88518,0.0,0.7,0.01589,0.00164,0.00378,0.00072
0.18333,0.00345,0.0,0.15152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02871,0.93535,0.0,0.65,0.01193,0.00094,0.00264,0.00048,0.1625,0.00279,0.0
0.23456,0.54321,0.00899,0.01234,0.00123,0.09876,0.23456,0.01234,0.01234,0.09876,0.01234,0.01234,0.01234,0.09876,0.23456,0.54321,0.00899,0.01234,0.00123,0.09876,0.23456,0.01234,0.01234,0.09876,0.23456,0.54321,0.00899,0.01234,0.00123,0.09876,0.23456,0.01234,0.01234,0.09876,0.23456,0.54321,0.00899,0.01234,0.00123,0.09876,0.23456,0.01234
0.01234,0.09876,0.98765,0.42189,0.01982,0.04567,0.00293,0.11765,0.98765,0.04567,0.04567,0.11765,0.04567,0.04567,0.04567,0.11765,0.98765,0.42189,0.01982,0.04567,0.00293,0.11765,0.98765,0.04567,0.04567,0.11765,0.98765,0.42189,0.01982,0.04567,0.00293,0.11765,0.98765,0.04567,0.04567,0.11765,0.98765,0.42189,0.01982,0.04567,0.00293,0.11765
0.98765,0.04567,0.04567,0.11765,0.54321,0.98765,0.01234,0.09876,0.03456,0.23456,0.54321,0.09876,0.09876,0.23456,0.09876,0.09876,0.09876,0.23456,0.54321,0.98765,0.01234,0.09876,0.03456,0.23456,0.54321,0.09876,0.09876,0.23456,0.54321,0.98765,0.01234,0.09876,0.03456,0.23456,0.54321,0.09876,0.09876,0.23456,0.54321,0.98765,0.01234,0.09876
0.03456,0.23456,0.54321,0.09876,0.09876,0.23456,0.23456,0.54321,0.00899,0.01234,0.00123,0.09876,0.23456,0.01234,0.01234,0.09876,0.01234,0.01234,0.01234,0.09876,0.23456,0.54321,0.00899,0.01234,0.00123,0.09876,0.23456,0.01234,0.01234,0.09876,0.23456,0.54321,0.00899,0.01234,0.00123,0.09876,0.23456,0.01234,0.01234,0.09876,0.23456,0.54321
0.61234,0.00611,0.00074,0.00073,0.14329,0.00061,0.12851,0.00069,0.31139,0.33336,0.05965,0.11548,0.11549,0.25101,0.08335,0.31138,0.02529,0.93334,0.00057,0.5,0.60128,0.00613,0.00071,0.00075,0.14193,0.00063,0.12963,0.00067,0.31242,0.33331,0.05961,0.11542,0.11543,0.24898,0.08231,0.31141,0.02526,0.93332,0.00059,0.5,0.60342,0.00615
0.00073,0.00072,0.14409,0.00065,0.13073,0.00071,0.31346,0.33335,0.05967,0.11546,0.11547,0.25006,0.08429,0.31144,0.02532,0.93335,0.00061,0.5,0.59857,0.00612,0.00069,0.00074,0.14219,0.00062,0.12879,0.00068,0.31099,0.33333,0.05963,0.11541,0.11542,0.24799,0.08191,0.31139,0.02528,0.93334,0.00058,0.5,0.60578,0.00614,0.00075,0.00073
