0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.02581,0.65,0.00237,0.00568,0.00076,0.0,0.12,0.98525,0.0,0.10231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3996,0.0,0.0,0.0,0.8157,0.33333,0.22692,0.59743,0.0,0.88039,0.0,0.0,0.0,0.2528,0.92953,0.0,0.89012,0.91234,0.03348
0.01234,0.85719,0.00095,0.39567,0.00811,0.02878,0.00102,0.00142,4e-05,0.99711,0.0,0.0,0.0037,0.0052,0.01915,0.00085,0.00415,0.00313,0.00062,0.0,0.05635,0.31291,0.0,0.13391,0.13985,0.10539,0.07713,0.04351,0.0,0.0,0.06129,0.17245,0.0,0.0,0.0,0.04727,0.0,0.0,0.0,0.0,0.04865,0.0
0.01568,0.85129,0.00091,0.40119,0.00667,0.02639,0.00099,0.00131,3e-05,0.99485,0.0,0.0,0.0039,0.0059,0.01785,0.00081,0.00393,0.00287,0.00059,0.0,0.05219,0.31449,0.0,0.12939,0.13869,0.10429,0.07629,0.04429,0.0,0.0,0.05947,0.16983,0.0,0.0,0.0,0.04941,0.0,0.0,0.0,0.0,0.05089,0.0
0.01191,0.84943,0.00103,0.39891,0.00825,0.02805,0.00107,0.00146,3e-05,0.99521,0.0,0.0,0.0036,0.0053,0.01903,0.00083,0.00401,0.00323,0.00061,0.0,0.05469,0.31793,0.0,0.13139,0.13791,0.10639,0.07803,0.04521,0.0,0.0,0.06237,0.17321,0.0,0.0,0.0,0.04835,0.0,0.0,0.0,0.0,0.05127,0.0
0.01614,0.85397,0.00099,0.40249,0.00752,0.02711,0.00103,0.00139,3e-05,0.99641,0.0,0.0,0.0038,0.0061,0.01951,0.00087,0.00371,0.00305,0.00057,0.0,0.05191,0.31345,0.0,0.13219,0.14039,0.10729,0.07933,0.04617,0.0,0.0,0.06095,0.17447,0.0,0.0,0.0,0.05053,0.0,0.0,0.0,0.0,0.05241,0.0
0.01342,0.84915,0.58,0.42,0.00713,0.03028,0.00042,0.00133,5e-05,0.99812,0.98,0.01,0.00532,0.00395,0.02018,0.00073,0.00292,0.00255,0.00039,0.0,0.40561,0.33992,0.0,0.18213,0.11629,0.22399,0.02201,0.04451,0.0,0.0,0.02101,0.17111,0.37541,0.06123,0.0,0.02455,0.0,0.0,0.0,0.02531,0.02531,0.0
0.01191,0.85992,0.62,0.38,0.00598,0.02917,0.00049,0.00142,3e-05,0.99485,0.0,0.02,0.00526,0.00381,0.01986,0.00081,0.00304,0.00271,0.00046,0.0,0.40827,0.33511,0.0,0.18545,0.11847,0.22779,0.02139,0.04692,0.0,0.0,0.02025,0.16867,0.37393,0.06319,0.0,0.02612,0.0,0.0,0.0,0.02698,0.02698,0.0
0.00947,0.85317,0.59,0.41,0.00835,0.03187,0.00057,0.00181,6e-05,0.99262,0.0,0.03,0.00633,0.00413,0.02242,0.00095,0.00319,0.00293,0.00063,0.0,0.41235,0.33011,0.0,0.19077,0.12065,0.23499,0.02267,0.04933,0.0,0.0,0.02245,0.17283,0.38197,0.06515,0.0,0.02872,0.0,0.0,0.0,0.02859,0.02859,0.0
0.01415,0.86423,0.61,0.39,0.00942,0.03367,0.00073,0.00213,4e-05,0.99129,0.0,0.04,0.00742,0.00457,0.02518,0.00109,0.00335,0.00301,0.00089,0.0,0.41549,0.32409,0.0,0.19429,0.12303,0.24267,0.02335,0.05179,0.0,0.0,0.02369,0.17639,0.38951,0.06711,0.0,0.03138,0.0,0.0,0.0,0.03027,0.03027,0.0
0.01492,0.93138,0.00345,0.42,0.04115,0.04382,0.03512,0.00248,6e-05,0.99835,0.95,6e-05,0.00213,0.03917,0.00595,0.00041,0.00682,0.00315,0.00091,0.0,0.40538,0.13219,0.95,0.30589,0.29211,0.29108,0.76339,0.03619,0.0,0.0,0.0,0.17333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02745
