0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.01234,0.98765,0.0,0.7,0.00314,0.0,0.00063,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07039,0.0,0.0,0.0,0.31579,0.33333,0.05909,0.11667,0.11667,0.26,0.0,0.0,0.0,0.08185,0.31579,0.0,0.02167,0.88235
0.0,0.65,0.00519,0.0,0.00071,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08239,0.0,0.0,0.0,0.32903,0.33333,0.06316,0.12,0.12,0.27,0.0,0.0,0.0,0.09313,0.32903,0.0,0.03511,0.85421,0.0,0.8
0.00626,0.0,0.00088,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10193,0.0,0.0,0.0,0.34288,0.33333,0.06782,0.13,0.13,0.29,0.0,0.0,0.0,0.11521,0.34288,0.0,0.04955,0.81909,0.0,0.9,0.00733,0.0
0.00105,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12147,0.0,0.0,0.0,0.35693,0.33333,0.07248,0.14,0.14,0.31,0.0,0.0,0.0,0.13729,0.35693,0.0,0.06399,0.78397,0.0,0.95,0.0084,0.0,0.00122,0.0
0.02145,0.92189,0.57555,0.425,0.04925,0.43545,0.00411,0.09142,4e-05,0.25781,0.99,0.00154,0.35159,0.29719,0.02845,0.02598,0.01823,0.01341,0.0,0.0,0.01521,0.0,0.68198,0.37932,0.68211,0.04118,0.16159,0.0,0.03295,0.08119,0.17299,0.0,0.11556,0.0,0.0,0.0,0.0,0.03676,0.02662,0.0,0.0,0.05193
0.83518,0.59191,0.45,0.05195,0.45155,0.00553,0.09638,3e-05,0.26319,0.98,0.00202,0.34989,0.30455,0.03013,0.02329,0.01935,0.01467,0.0,0.0,0.01379,0.0,0.69259,0.38195,0.69332,0.04729,0.17459,0.0,0.03739,0.08599,0.18181,0.0,0.11778,0.0,0.0,0.0,0.0,0.04101,0.02904,0.0,0.0,0.03811,0.84192
0.61425,0.48,0.05382,0.46565,0.00693,0.10245,2e-05,0.27047,0.99,0.00171,0.35741,0.31319,0.03193,0.02651,0.02093,0.01593,0.0,0.0,0.01643,0.0,0.69821,0.38462,0.69901,0.05142,0.18859,0.0,0.04089,0.09239,0.18901,0.0,0.11995,0.0,0.0,0.0,0.0,0.04359,0.03127,0.0,0.0,0.03567,0.82399,0.63759
0.53,0.06195,0.48289,0.00855,0.11453,1e-05,0.28379,0.98,0.00229,0.36593,0.32191,0.03471,0.02903,0.02351,0.01739,0.0,0.0,0.01847,0.0,0.70583,0.39139,0.70566,0.05889,0.20259,0.0,0.04339,0.09679,0.19699,0.0,0.12233,0.0,0.0,0.0,0.0,0.04643,0.03359,0.0,0.0,0.02923,0.81111,0.65991,0.58
0.04851,0.84315,0.56789,0.42222,0.04101,0.43889,0.00445,0.08591,3e-05,0.25316,0.0,2e-05,0.08111,0.35056,0.29677,0.01313,0.00944,0.00834,0.00621,0.0,0.40445,0.41978,0.0,0.31515,0.23222,0.24292,0.04611,0.15324,0.0,0.02233,0.31313,0.17333,0.0,0.0,0.0,0.28,0.0,0.0,0.03667,0.02667,0.39656,0.0
0.02298,0.86334,0.59111,0.43233,0.03998,0.44333,0.00351,0.09111,4e-05,0.26192,0.0,1e-05,0.07667,0.34222,0.29444,0.01212,0.01002,0.00793,0.00595,0.0,0.40234,0.42677,0.0,0.31456,0.23939,0.25123,0.04823,0.15556,0.0,0.02033,0.31919,0.18222,0.0,0.0,0.0,0.27,0.0,0.0,0.03778,0.02889,0.40222,0.0
