,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,100.00,77.66,79.94,73.86,76.78,18.54,100.00
CNN+LSTM,94.64,53.34,81.75,8.60,15.56,1.92,94.64
RNN+LSTM,50.09,57.95,99.38,16.00,27.56,0.10,50.09
GRU+LSTM,50.10,50.00,50.00,0.18,0.36,0.18,50.10
SVM,50.12,50.18,66.67,0.72,1.42,0.36,50.12
Random Forest,100.00,71.46,83.06,1.37,2.69,0.11,100.00
XGBoost,100.00,49.97,28.57,0.04,0.08,0.10,100.00
V-Detector,49.71,50.53,59.57,3.30,6.25,2.24,49.71
DGA-PSO,50.11,50.92,51.82,26.26,34.86,24.42,50.11
MDGWO-NSA,0.00,52.41,55.49,24.36,33.86,19.54,0.00
