,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,100.00,75.52,75.13,76.30,75.71,25.26,100.00
CNN+LSTM,79.80,62.29,93.92,26.28,41.07,1.66,79.80
RNN+LSTM,34.80,49.95,40.00,0.20,0.40,0.30,34.80
GRU+LSTM,34.80,50.00,50.00,0.04,0.08,0.04,34.80
SVM,62.80,58.72,88.18,20.14,32.79,2.70,62.80
Random Forest,43.20,50.00,50.00,0.02,0.04,0.02,43.20
XGBoost,44.00,49.97,43.48,0.20,0.40,0.26,44.00
V-Detector,31.00,44.74,24.86,5.20,8.60,15.72,31.00
DGA-PSO,59.60,49.07,48.31,26.66,34.36,28.52,59.60
MDGWO-NSA,0.00,44.45,38.84,19.32,25.80,30.42,0.00
