,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,100.00,77.07,77.47,76.34,76.90,22.20,100.00
CNN+LSTM,24.00,51.92,69.75,6.78,12.36,2.82,24.00
RNN+LSTM,100.00,60.20,99.80,20.44,33.93,0.04,100.00
GRU+LSTM,100.00,59.31,99.36,18.74,31.53,0.12,100.00
SVM,100.00,71.94,95.86,45.86,62.04,1.98,100.00
Random Forest,100.00,51.68,96.67,3.48,6.72,0.12,100.00
XGBoost,99.97,49.95,22.22,0.04,0.08,0.14,99.97
V-Detector,0.28,49.95,49.78,11.24,18.34,11.34,0.28
DGA-PSO,24.17,47.43,44.18,19.52,27.08,24.66,24.17
MDGWO-NSA,0.00,44.45,38.84,19.32,25.80,30.42,0.00
