,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,100.00,75.06,74.41,76.40,75.39,26.28,100.00
CNN+LSTM,98.00,53.81,95.68,7.98,14.73,0.36,98.00
RNN+LSTM,100.00,50.04,70.00,0.14,0.28,0.06,100.00
GRU+LSTM,100.00,50.20,81.25,0.52,1.03,0.12,100.00
SVM,100.00,63.10,91.04,29.06,44.06,2.86,100.00
Random Forest,100.00,51.44,94.44,3.06,5.93,0.18,100.00
XGBoost,100.00,49.85,22.22,0.12,0.24,0.42,100.00
V-Detector,40.00,51.34,61.67,7.08,12.70,4.40,40.00
DGA-PSO,54.00,48.57,45.02,12.92,20.08,15.78,54.00
MDGWO-NSA,0.00,44.45,38.84,19.32,25.80,30.42,0.00
