,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,97.61,84.61,86.53,81.98,84.19,12.76,97.61
CNN+LSTM,75.69,78.43,90.79,63.28,74.58,6.42,75.69
RNN+LSTM,75.65,75.60,89.51,58.00,70.39,6.80,75.65
GRU+LSTM,72.34,74.55,89.92,55.30,68.48,6.20,72.34
SVM,70.18,75.31,96.99,52.24,67.91,1.62,70.18
Random Forest,54.96,79.88,96.03,62.34,75.60,2.58,54.96
XGBoost,54.71,80.78,97.77,63.00,76.62,1.44,54.71
V-Detector,67.14,74.78,98.32,50.42,66.66,0.86,67.14
DGA-PSO,96.90,86.85,91.87,80.86,86.01,7.16,96.90
MDGWO-NSA,0.01,33.15,5.68,2.16,3.13,35.86,0.01
