,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,94.01,85.07,86.83,82.68,84.70,12.54,94.01
CNN+LSTM,51.71,75.43,89.48,57.64,70.11,6.78,51.71
RNN+LSTM,42.87,75.47,97.25,52.42,68.12,1.48,42.87
GRU+LSTM,41.97,75.27,97.48,51.88,67.72,1.34,41.97
SVM,47.62,75.60,98.67,51.90,68.02,0.70,47.62
Random Forest,52.17,72.41,97.18,46.16,62.59,1.34,52.17
XGBoost,49.24,25.34,33.42,49.70,39.96,99.02,49.24
V-Detector,75.42,80.22,98.15,61.60,75.69,1.16,75.42
DGA-PSO,94.80,86.50,82.82,92.10,87.22,19.10,94.80
MDGWO-NSA,0.00,49.88,48.93,5.50,9.89,5.74,0.00
