,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,82.37,82.35,77.07,92.10,83.92,27.40,82.37
CNN+LSTM,25.15,79.21,88.81,66.84,76.28,8.42,25.15
RNN+LSTM,11.67,76.38,90.09,59.28,71.51,6.52,11.67
GRU+LSTM,5.99,77.83,90.00,62.62,73.85,6.96,5.99
SVM,5.13,79.19,96.00,60.92,74.54,2.54,5.13
Random Forest,75.10,76.84,93.91,57.40,71.25,3.72,75.10
XGBoost,80.39,82.75,95.27,68.92,79.98,3.42,80.39
V-Detector,18.32,79.03,94.40,61.72,74.64,3.66,18.32
DGA-PSO,57.98,89.78,87.86,92.32,90.03,12.76,57.98
MDGWO-NSA,12.02,49.88,48.93,5.50,9.89,5.74,12.02
