,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,100.00,85.63,86.51,84.42,85.45,13.16,100.00
CNN+LSTM,65.67,78.41,87.25,66.54,75.50,9.72,65.67
RNN+LSTM,74.63,77.03,89.67,61.10,72.68,7.04,74.63
GRU+LSTM,85.07,76.58,89.60,60.14,71.97,6.98,85.07
SVM,73.13,79.03,96.04,60.56,74.28,2.50,73.13
Random Forest,100.00,85.49,94.57,75.30,83.84,4.32,100.00
XGBoost,100.00,83.27,93.02,71.94,81.13,5.40,100.00
V-Detector,64.18,72.43,99.34,45.16,62.09,0.30,64.18
DGA-PSO,92.54,87.77,88.74,86.52,87.62,10.98,92.54
MDGWO-NSA,0.00,49.88,48.93,5.50,9.89,5.74,0.00
