,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,99.83,89.87,90.93,88.58,89.74,8.84,99.83
CNN+LSTM,87.81,70.96,72.78,66.96,69.75,25.04,87.81
RNN+LSTM,97.81,89.97,89.88,90.08,89.98,10.14,97.81
GRU+LSTM,95.92,81.72,86.58,75.08,80.42,11.64,95.92
SVM,39.59,54.46,55.91,42.22,48.11,33.30,39.59
Random Forest,83.34,90.98,92.26,89.46,90.84,7.50,83.34
XGBoost,51.61,89.86,95.71,83.46,89.17,3.74,51.61
V-Detector,21.12,60.26,88.46,23.60,37.26,3.08,21.12
DGA-PSO,96.95,81.79,75.97,93.00,83.63,29.42,96.95
MDGWO-NSA,44.32,31.58,9.74,14.89,21.10,0.47,44.32
