,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,98.19,90.24,91.18,89.10,90.13,8.62,98.19
CNN+LSTM,97.17,75.98,74.45,79.10,76.71,27.14,97.17
RNN+LSTM,86.69,90.15,93.98,85.80,89.70,5.50,86.69
GRU+LSTM,85.93,82.01,86.48,75.88,80.84,11.86,85.93
SVM,42.45,55.51,57.85,40.62,47.73,29.60,42.45
Random Forest,84.30,85.85,87.26,83.96,85.58,12.26,84.30
XGBoost,81.47,90.00,95.72,83.74,89.33,3.74,81.47
V-Detector,17.26,64.01,96.24,29.16,44.76,1.14,17.26
DGA-PSO,92.94,78.23,70.69,96.46,81.59,40.00,92.94
MDGWO-NSA,44.32,31.58,9.74,14.89,21.10,6.13,44.32
