,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,89.68,90.00,90.73,89.10,89.91,9.10,89.68
CNN+LSTM,2.01,59.65,86.53,22.86,36.17,3.56,2.01
RNN+LSTM,44.27,82.70,86.48,77.52,81.75,12.12,44.27
GRU+LSTM,41.31,81.36,85.38,75.68,80.24,12.96,41.31
SVM,64.22,81.19,76.14,90.84,82.85,28.46,64.22
Random Forest,37.02,84.50,89.06,78.66,83.54,9.66,37.02
XGBoost,34.38,88.60,99.95,77.24,87.14,0.04,34.38
V-Detector,46.29,63.46,76.60,38.76,51.47,11.84,46.29
DGA-PSO,97.49,74.91,66.87,98.76,79.74,48.94,97.49
MDGWO-NSA,44.32,31.58,9.74,14.89,21.10,23.77,44.32
