,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,92.33,91.25,91.41,91.06,91.23,8.56,92.33
CNN+LSTM,58.21,82.21,82.63,81.56,82.09,17.14,58.21
RNN+LSTM,98.95,87.00,87.77,85.98,86.87,11.98,98.95
GRU+LSTM,90.54,90.02,92.83,86.74,89.68,6.70,90.54
SVM,41.40,62.41,72.54,39.94,51.52,15.12,41.40
Random Forest,49.85,89.77,89.20,90.50,89.84,10.96,49.85
XGBoost,47.38,90.03,95.73,83.80,89.37,3.74,47.38
V-Detector,1.38,58.73,89.72,19.72,32.33,2.26,1.38
DGA-PSO,64.66,81.68,76.58,91.28,83.28,27.92,64.66
MDGWO-NSA,44.32,31.58,9.74,14.89,21.10,0.14,44.32
