,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,100.00,92.01,91.44,92.70,92.06,8.68,100.00
CNN+LSTM,61.02,85.82,89.62,81.02,85.11,9.38,61.02
RNN+LSTM,49.83,89.59,90.72,88.20,89.44,9.02,49.83
GRU+LSTM,51.69,88.90,88.15,89.88,89.01,12.08,51.69
SVM,48.84,62.41,72.54,39.94,51.52,15.12,48.84
Random Forest,0.33,89.77,89.20,90.50,89.84,10.96,0.33
XGBoost,0.00,90.03,95.73,83.80,89.37,3.74,0.00
V-Detector,51.36,58.80,94.62,18.66,31.17,1.06,51.36
DGA-PSO,97.55,75.56,67.81,97.32,79.93,46.20,97.55
MDGWO-NSA,44.32,31.58,9.74,14.89,21.10,0.00,44.32
