,model name,Unknown Detection Rate,Accuracy,Precision,Recall,F1-Score,False Positive Rate
LLM,100.00,90.66,91.29,89.90,90.59,8.58,100.00
CNN+LSTM,37.36,79.36,79.18,79.66,79.42,20.94,37.36
RNN+LSTM,98.28,86.27,87.98,84.02,85.95,11.48,98.28
GRU+LSTM,97.13,89.81,89.71,89.94,89.82,10.32,97.13
SVM,84.48,62.41,72.54,39.94,51.52,15.12,84.48
Random Forest,9.77,89.77,89.20,90.50,89.84,10.96,9.77
XGBoost,0.00,90.03,95.73,83.80,89.37,3.74,0.00
V-Detector,32.76,59.67,93.68,20.74,33.96,1.40,32.76
DGA-PSO,91.95,75.17,69.19,90.76,78.52,40.42,91.95
MDGWO-NSA,44.32,31.58,9.74,14.89,21.10,0.00,44.32
