0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.00834,0.53,0.95,0.12,0.02759,0.01567,0.00734,0.00211,0.00031,0.13578,0.12052,6e-05,0.00292,0.03041,0.00845,0.00038,0.00029,0.00082,0.00016,1.0,0.36517,0.87594,1.0,0.00022,0.00019,7e-05,0.05238,0.06529,0.00025,0.00027,0.19445,0.00012,0.19712,0.23131,0.00015,0.09059,3e-05,4e-05,2e-05,0.15912,0.28367,7e-05
0.00412,0.57,0.95,0.9,0.02468,0.00547,0.00367,0.00049,0.00027,0.26147,0.95,0.00019,0.00067,0.02182,0.00341,0.00123,0.00063,0.00275,0.00048,1.0,0.61543,0.05916,1.0,0.05072,0.02854,0.03212,0.10236,0.02654,0.00038,0.00024,0.11567,0.49,0.02884,0.06534,0.00014,0.10912,0.00012,0.00031,0.00039,0.02341,0.10976,0.00367
0.01567,0.52,0.003,0.35,0.09214,0.04673,0.01056,0.00278,0.00046,0.13867,0.12045,0.00024,0.00534,0.09812,0.02785,0.00033,0.00031,0.00096,0.00019,0.99999,0.76218,0.72456,1.0,0.00029,0.00028,7e-05,0.02591,0.055,9e-05,7e-05,0.00018,0.00024,0.00312,1e-05,2e-05,0.02596,0.99995,0.54012,7e-05,0.30567,7e-05,3e-05
0.00789,0.62034,0.98567,0.32045,0.07629,0.01725,0.00411,0.00135,0.00025,0.15567,0.12984,8e-05,0.00272,0.04001,0.00689,0.00048,0.00035,0.00074,0.00019,0.99999,0.37012,0.85015,1.0,0.00018,0.00016,6e-05,0.05682,0.06724,0.00011,0.00012,0.21456,7e-05,0.19842,0.24562,4e-05,0.09567,0.00012,0.00022,0.00012,0.15924,0.30516,2e-05
0.00876,0.53012,0.95534,0.28019,0.08004,0.01467,0.00376,0.00124,0.00021,0.13789,0.11245,7e-05,0.00265,0.0454,0.00798,0.00015,0.00024,0.00057,0.00012,0.98123,0.36521,0.8629,1.0,0.00013,0.00012,5e-05,0.05341,0.06129,0.0001,0.00013,0.19237,3e-05,0.18956,0.23684,6e-05,0.08941,0.00011,0.00018,9e-05,0.14321,0.28178,1e-05
0.47,0.93,0.76,0.01245,0.00423,0.00279,0.00042,0.00041,0.23567,0.95,0.00019,0.00083,0.01567,0.00372,0.00114,0.00023,0.00176,0.00017,0.99992,0.63067,0.06194,0.99993,0.04876,0.02167,0.03456,0.09123,0.02892,0.00105,0.00015,0.10678,0.51,0.01987,0.05423,9e-05,0.10657,0.00014,0.00017,0.00051,0.02356,0.10567,0.00712,0.48
0.00934,0.48076,0.97012,0.37098,0.06518,0.02058,0.00645,0.00178,0.00033,0.14534,0.09057,0.00011,0.00209,0.03575,0.00813,0.00021,0.00029,0.00081,0.00016,0.99001,0.38567,0.85678,1.0,0.00022,0.00019,7e-05,0.04156,0.06231,9e-05,0.00014,0.17245,5e-05,0.17632,0.22534,9e-05,0.09765,8e-05,0.00015,7e-05,0.15032,0.29347,3e-05
0.00789,0.52,1.0,0.11,0.02644,0.01505,0.00789,0.00145,0.00019,0.13329,0.11756,7e-05,0.00301,0.02765,0.00816,0.0003,0.00026,0.00073,0.00018,1.0,0.36421,0.87231,1.0,0.00018,0.00013,8e-05,0.05141,0.06312,0.00022,0.00022,0.19135,8e-05,0.19421,0.23045,0.0002,0.08977,4e-05,1e-05,9e-05,0.15845,0.28012,5e-05
0.01789,0.48,0.001,0.28,0.0942,0.04789,0.00834,0.0025,0.00042,0.13245,0.12167,0.00018,0.00413,0.09691,0.02643,0.00025,0.00024,0.00082,0.00015,0.99995,0.74011,0.70632,1.0,0.00025,0.00023,6e-05,0.02734,0.0505,3e-05,5e-05,0.00015,0.00022,0.00651,2e-05,1e-05,0.02245,0.99992,0.5304,2e-05,0.28734,4e-05,1e-05
0.01234,0.42,0.89,0.74,0.01567,0.00312,0.00245,0.00042,0.00058,0.25012,0.92,0.00024,0.00088,0.02134,0.00348,0.00085,0.00036,0.0021,0.00029,0.99999,0.65012,0.06528,0.99876,0.05034,0.02814,0.03567,0.09234,0.02987,0.00159,0.00029,0.11045,0.53,0.02134,0.05829,0.00011,0.11012,0.00012,0.00019,0.00067,0.02545,0.10834,0.00876
0.01634,0.53,0.004,0.32,0.09011,0.04167,0.01123,0.00267,0.00038,0.13679,0.11954,0.00015,0.00501,0.09745,0.02856,0.00031,0.00029,0.00095,0.00016,0.99999,0.75564,0.71567,1.0,0.00023,0.00024,8e-05,0.02512,0.0535,6e-05,4e-05,0.00019,0.00021,0.00745,3e-05,2e-05,0.02345,0.99997,0.51028,4e-05,0.29812,6e-05,2e-05
0.55,0.96,0.82,0.01654,0.00426,0.00243,0.00034,0.00025,0.23578,0.98,0.00011,0.00067,0.01712,0.00245,0.00137,0.00067,0.00316,0.00037,1.0,0.59084,0.06125,1.0,0.03812,0.02614,0.03021,0.08834,0.02245,0.00029,0.0003,0.11064,0.5,0.02112,0.06356,0.00016,0.10598,0.00021,0.00033,0.0005,0.02578,0.10621,0.00534,0.53
0.00644,0.48,1.0,0.18,0.02475,0.0135,0.00593,0.00134,0.00027,0.13028,0.11583,3e-05,0.00285,0.02992,0.00638,0.00021,0.00023,0.00083,0.00014,1.0,0.36268,0.87012,1.0,0.00026,0.00018,9e-05,0.04933,0.06018,0.0004,0.0003,0.19267,5e-05,0.19345,0.22874,0.00012,0.08821,6e-05,5e-05,0.00015,0.15634,0.28129,4e-05
