0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0.13456,0.52249,0.00193,0.23191,0.01539,0.00763,0.00345,0.00089,2e-05,0.26719,0.02,0.00079,0.01841,0.00411,0.00227,0.00413,0.00067,0.02,0.65219,0.80131,0.02,0.05339,0.03501,0.03103,0.04341,0.10211,0.02,0.00031,0.11501,0.19001,0.02501,0.06231,0.35111,0.11501,0.02,0.02,0.284,0.033,0.11601,0.02,0.01501,0.14289
0.52891,0.00246,0.23913,0.01651,0.00825,0.00401,0.00103,5e-05,0.27191,0.03,0.00101,0.02039,0.00559,0.00293,0.00517,0.00081,0.03,0.66119,0.81431,0.03,0.05739,0.03901,0.03305,0.04641,0.10811,0.03,0.00041,0.12201,0.19501,0.02701,0.06531,0.36311,0.12001,0.03,0.03,0.291,0.036,0.11901,0.03,0.01601,0.15122,0.53545
0.00399,0.25715,0.01763,0.00987,0.00557,0.00119,8e-05,0.28491,0.04,0.00123,0.02239,0.00671,0.00359,0.00625,0.00105,0.04,0.67519,0.82631,0.04,0.06139,0.04201,0.03507,0.05041,0.11011,0.04,0.00059,0.12901,0.21001,0.03001,0.06931,0.38111,0.12501,0.04,0.04,0.308,0.041,0.12401,0.04,0.01701,0.15955,0.54299,0.00552
0.27497,0.01875,0.01149,0.00693,0.00135,1e-05,0.29891,0.05,0.00145,0.02439,0.00783,0.00425,0.00733,0.00129,0.05,0.68819,0.83831,0.05,0.06539,0.04501,0.03709,0.05441,0.11211,0.05,0.00077,0.13601,0.22001,0.03201,0.07231,0.39911,0.13001,0.05,0.05,0.323,0.048,0.12901,0.05,0.01801,0.16788,0.55053,0.00705,0.29279
0.15678,0.54231,0.00201,0.23111,0.02129,0.00773,0.00401,0.00091,3e-05,0.27131,0.03,0.00079,0.01851,0.00469,0.00213,0.00393,0.00067,0.03,0.65141,0.79331,0.03,0.05389,0.03519,0.03115,0.04169,0.10241,0.03,0.00029,0.11513,0.18309,0.02609,0.06261,0.34721,0.11509,0.03,0.03,0.2781,0.0311,0.11613,0.03,0.01609,0.14389
0.51321,0.00301,0.23911,0.01929,0.00873,0.00501,0.00101,2e-05,0.26831,0.04,0.00089,0.02051,0.00569,0.00313,0.00493,0.00077,0.04,0.64541,0.79531,0.04,0.05989,0.03719,0.03315,0.04369,0.10141,0.04,0.00039,0.11713,0.18409,0.02809,0.06461,0.34921,0.11709,0.04,0.04,0.2821,0.0321,0.11813,0.04,0.01809,0.16789,0.52321
0.00401,0.24511,0.02329,0.00973,0.00601,0.00121,4e-05,0.27531,0.05,0.00099,0.02251,0.00669,0.00413,0.00593,0.00083,0.05,0.65341,0.79931,0.05,0.06789,0.04119,0.03515,0.04769,0.10541,0.05,0.00049,0.12113,0.19109,0.03109,0.07161,0.35221,0.12109,0.05,0.05,0.2901,0.0341,0.12213,0.05,0.02009,0.15111,0.51121,0.00201
0.23711,0.01729,0.00773,0.00301,0.00081,3e-05,0.26431,0.06,0.00099,0.01951,0.00469,0.00313,0.00593,0.00077,0.06,0.64141,0.79431,0.06,0.06189,0.03919,0.03315,0.04569,0.09941,0.06,0.00059,0.11913,0.18809,0.02909,0.06561,0.35321,0.11909,0.06,0.06,0.2951,0.0351,0.12413,0.06,0.02209,0.18289,0.53221,0.00501,0.25311
0.12934,0.51619,0.00128,0.22319,0.01693,0.00729,0.00349,0.00097,4e-05,0.26241,0.0312,0.00077,0.01713,0.00409,0.00201,0.00241,0.00381,0.00063,0.0312,0.64039,0.78559,0.0312,0.05119,0.03469,0.03159,0.04139,0.10045,0.0312,0.00033,0.11429,0.18329,0.02659,0.06285,0.34731,0.11529,0.0312,0.0312,0.27441,0.0312,0.11639,0.0312,0.01593
0.12851,0.51481,0.00105,0.22181,0.01701,0.00731,0.00351,0.00091,3e-05,0.26191,0.0309,0.00079,0.01699,0.00403,0.00203,0.00231,0.00371,0.00061,0.0311,0.63851,0.78381,0.0311,0.05059,0.03481,0.03139,0.04129,0.09991,0.0311,0.00031,0.11281,0.18181,0.02639,0.06211,0.34581,0.11381,0.0311,0.0311,0.27241,0.0311,0.11581,0.0311,0.01619
