x,y,z
0.79012,0.83678,0.17365
0.36912,0.45234,0.01987
0.46278,0.06589,0.19245
0.51876,0.63789,0.16922
0.42589,0.06678,0.18712
0.6889,0.8189,0.15045
0.46819,0.6189,0.17345
0.70789,0.81456,0.16243
0.23067,0.67589,0.11989
0.47154,0.08978,0.21532
0.38829,0.45567,0.06789
0.69012,0.80567,0.16489
0.35568,0.47234,0.24567
0.66512,0.77856,0.12984
0.44567,0.06345,0.18679
0.73429,0.82311,0.16845
0.48765,0.57023,0.21345
0.36987,0.46812,0.07658
0.36089,0.45012,0.10987
0.38012,0.36589,0.11823
0.33012,0.63054,0.14267
0.33189,0.61234,0.12734
0.38567,0.29034,0.07213
0.80145,0.83789,0.15976
0.46987,0.5489,0.17678
0.30845,0.68456,0.11234
0.22576,0.68089,0.14876
0.42567,0.09178,0.11789
0.14894,0.71236,0.16359
0.61345,0.13912,0.24899
0.40123,0.18345,0.20012
0.58867,0.08112,0.26145
0.33512,0.19678,0.07984
0.58012,0.07856,0.25834
0.14865,0.7589,0.13012
0.37678,0.48321,0.10734
0.51876,0.63578,0.17923
0.31234,0.69567,0.13789
0.44001,0.11567,0.11234
0.53891,0.65012,0.16578
0.31245,0.68876,0.12534
0.66215,0.14678,0.28012
0.36512,0.20034,0.09112
0.22789,0.73045,0.14456
0.37654,0.42245,0.14823
0.34123,0.60123,0.12678
0.25034,0.69012,0.12057
0.34789,0.47123,0.01898
0.4756,0.10321,0.21712
0.38912,0.00567,0.20567
0.37322,0.10912,0.27734
0.73012,0.79999,0.17289
0.16245,0.68876,0.17234
0.29987,0.61845,0.14234
0.29567,0.65894,0.17356
0.43098,0.61021,0.23754
0.43178,0.05217,0.20412
0.22076,0.72845,0.14892
0.35978,0.44567,0.06615
0.48756,0.61901,0.17712
0.34212,0.47567,0.15723
0.31678,0.18823,0.20345
0.39678,0.16523,0.19001
0.52987,0.62891,0.17356
0.76912,0.82134,0.16983
0.38476,0.46234,0.09111
0.15876,0.72001,0.18201
0.73278,0.81874,0.16495
0.36789,0.09923,0.27945
0.40567,0.13012,0.06234
0.35567,0.45901,0.15329
0.36987,0.10987,0.27978
0.39345,0.44056,0.07891
0.76789,0.86501,0.15014
0.71145,0.80001,0.15267
0.72211,0.82145,0.15099
0.37891,0.46545,0.05176
0.59999,0.11412,0.25067
0.59678,0.11234,0.27654
0.73521,0.82034,0.15873
0.40512,0.13567,0.06321
0.41345,0.13423,0.06789
0.29987,0.67234,0.15543
0.37421,0.46589,0.20127
0.27123,0.63874,0.16512
0.42476,0.09567,0.11756
0.39187,0.30256,0.03874
0.39912,0.23456,0.15899
0.47812,0.6289,0.17023
0.37512,0.45432,0.02245
0.26231,0.67654,0.12645
0.73892,0.86512,0.15867
0.39101,0.47067,0.02045
0.3499,0.46599,0.02312
0.48765,0.82712,0.12456
0.47562,0.44098,0.22745
0.3389,0.60478,0.12934
0.29976,0.60512,0.14978
0.37056,0.45834,0.11867
0.73678,0.81634,0.16345
0.50191,0.64234,0.18789
0.42567,0.08901,0.11334
0.47987,0.61978,0.19623
0.47295,0.62089,0.16679
0.30512,0.61789,0.14656
0.39678,0.48576,0.05129
0.38956,0.30478,0.04215
0.28965,0.68011,0.13789
0.37123,0.01034,0.21845
0.37991,0.01923,0.25245
0.25978,0.66456,0.07745
0.39234,0.59067,0.24567
0.40234,0.59034,0.21891
0.41999,0.13345,0.07711
0.67901,0.81468,0.15745
0.48954,0.54312,0.20789
0.54233,0.82047,0.15479
0.41689,0.13945,0.06789
0.42891,0.60234,0.22789
0.52234,0.62812,0.1684
0.61578,0.18567,0.20891
0.48001,0.09345,0.21789
0.72089,0.80978,0.16345
0.29456,0.18678,0.20678
0.49345,0.37567,0.14523
