self_radius,self_count,accuracy,precision,recall,f1,far,uc,,,,,,,,,
self_radius,self_count,accuracy,precision,recall,f1,far,uc,,,,,,,,,
0.27,92,0.6197,0.576251752,0.9046,0.704023659,0.6652,0.9996,,,,,,,,,
0.27,93,0.6197,0.576251752,0.9046,0.704023659,0.6652,0.9996,,0.42,33,0.7031,0.827263938,0.5134,0.633592497,0.1072,0.4991
0.27,94,0.6197,0.576251752,0.9046,0.704023659,0.6652,0.9996,,0.27,92,0.6197,0.576251752,0.9046,0.704023659,0.6652,0.9996
0.27,95,0.6197,0.576251752,0.9046,0.704023659,0.6652,0.9996,,,,,,,,,
0.27,96,0.6197,0.576251752,0.9046,0.704023659,0.6652,0.9996,,,,,,,,,
0.27,97,0.6197,0.576251752,0.9046,0.704023659,0.6652,0.9996,,,,,,,,,
0.27,98,0.6197,0.576251752,0.9046,0.704023659,0.6652,0.9996,,,,,,,,,
0.27,99,0.6197,0.576251752,0.9046,0.704023659,0.6652,0.9996,,,,,,,,,
0.27,100,0.6197,0.576251752,0.9046,0.704023659,0.6652,0.9996,,,,,,,,,
0.27,101,0.6197,0.576251752,0.9046,0.704023659,0.6652,0.9996,,,,,,,,,
0.27,111,0.6197,0.576251752,0.9046,0.704023659,0.6652,0.9996,,,,,,,,,
0.27,49,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,50,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,51,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,52,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,53,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,54,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,55,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,56,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,57,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,58,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,59,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,60,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,61,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,62,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,63,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,64,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,65,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,66,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,67,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,68,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,69,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,70,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,71,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,72,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,73,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,74,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,75,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,76,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,77,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,78,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,79,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,80,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,81,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,82,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,83,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,84,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,85,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,86,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,87,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,88,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,89,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,90,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,91,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,51,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,61,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,71,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,81,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,91,0.6172,0.574139676,0.9076,0.703347799,0.6732,0.9996,,,,,,,,,
0.27,39,0.5144,0.507375538,0.9906,0.671047284,0.9618,0.9998,,,,,,,,,
0.27,40,0.5144,0.507375538,0.9906,0.671047284,0.9618,0.9998,,,,,,,,,
0.27,41,0.5144,0.507375538,0.9906,0.671047284,0.9618,0.9998,,,,,,,,,
0.27,42,0.5144,0.507375538,0.9906,0.671047284,0.9618,0.9998,,,,,,,,,
0.27,43,0.5144,0.507375538,0.9906,0.671047284,0.9618,0.9998,,,,,,,,,
0.27,44,0.5144,0.507375538,0.9906,0.671047284,0.9618,0.9998,,,,,,,,,
0.27,45,0.5144,0.507375538,0.9906,0.671047284,0.9618,0.9998,,,,,,,,,
0.27,46,0.5144,0.507375538,0.9906,0.671047284,0.9618,0.9998,,,,,,,,,
0.27,47,0.5144,0.507375538,0.9906,0.671047284,0.9618,0.9998,,,,,,,,,
0.27,48,0.5144,0.507375538,0.9906,0.671047284,0.9618,0.9998,,,,,,,,,
0.27,41,0.5144,0.507375538,0.9906,0.671047284,0.9618,0.9998,,,,,,,,,
0.27,33,0.5142,0.507270121,0.9908,0.671000948,0.9624,0.9998,,,,,,,,,
0.27,34,0.5142,0.507270121,0.9908,0.671000948,0.9624,0.9998,,,,,,,,,
0.27,35,0.5142,0.507270121,0.9908,0.671000948,0.9624,0.9998,,,,,,,,,
0.27,36,0.5142,0.507270121,0.9908,0.671000948,0.9624,0.9998,,,,,,,,,
0.27,37,0.5142,0.507270121,0.9908,0.671000948,0.9624,0.9998,,,,,,,,,
0.27,38,0.5142,0.507270121,0.9908,0.671000948,0.9624,0.9998,,,,,,,,,
0.24,901,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,911,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,921,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,931,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,941,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,951,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,961,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,971,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,981,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,991,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1001,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1011,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1021,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1031,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1041,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1051,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1061,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1071,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1081,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1091,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1101,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1111,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1121,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1131,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1141,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1151,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1161,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1171,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1181,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1191,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1201,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1211,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1221,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1231,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1241,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1251,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1261,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1271,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1281,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1291,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1301,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1311,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1321,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1331,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1341,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1351,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1361,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1371,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1381,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1391,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1401,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1411,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1421,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1431,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1441,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1451,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1461,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1471,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1481,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
