self_radius,self_count,accuracy,precision,recall,f1,far,uc,,,,,,,,,
self_radius,self_count,accuracy,precision,recall,f1,far,uc,,,,,,,,,
0.27,901,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,0.51,41,0.6452,0.683611533,0.5406,0.603752513,0.2502,0.656
0.27,911,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,921,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,0.27,901,0.57,0.538897533,0.9698,0.692813259,0.8298,1
0.27,931,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,941,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,951,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,961,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,971,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,981,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,991,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,1001,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,1011,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,1021,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,1031,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,1041,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,1051,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,1061,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,1071,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,1081,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,1091,0.57,0.538897533,0.9698,0.692813259,0.8298,1,,,,,,,,,
0.27,671,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,681,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,691,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,701,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,711,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,721,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,731,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,741,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,751,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,761,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,771,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,781,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,791,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,801,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,811,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,821,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,831,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,841,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,851,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,861,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,871,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,881,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.27,891,0.5699,0.538837649,0.9698,0.692763769,0.83,1,,,,,,,,,
0.31,78,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,79,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,80,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,81,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,82,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,83,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,84,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,85,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,86,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,87,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,88,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,89,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,90,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,91,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,92,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,93,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,94,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,95,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,96,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,97,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,98,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,99,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.31,100,0.5679,0.537534549,0.9724,0.692346031,0.8366,1,,,,,,,,,
0.32,78,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,79,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
0.32,80,0.5698,0.538881462,0.9674,0.692186606,0.8278,1,,,,,,,,,
