self_radius,self_count,accuracy,precision,recall,f1,far,uc,,,,,,,,,
0.28,1931,0.5972,0.556263024,0.961,0.704648775,0.7666,0.925373134,,,,,,,,,
0.28,1941,0.5972,0.556263024,0.961,0.704648775,0.7666,0.925373134,,,,,,,,,
0.28,1951,0.5972,0.556263024,0.961,0.704648775,0.7666,0.925373134,,,,,,,,,
0.28,1961,0.5972,0.556263024,0.961,0.704648775,0.7666,0.925373134,,,,,,,,,
0.28,1971,0.5972,0.556263024,0.961,0.704648775,0.7666,0.925373134,,0.5,36,0.6535,0.708616472,0.5214,0.600760456,0.2144,0.746268657
0.28,1981,0.5972,0.556263024,0.961,0.704648775,0.7666,0.925373134,,,,,,,,,
0.28,1991,0.5972,0.556263024,0.961,0.704648775,0.7666,0.925373134,,,,,,,,,
0.28,2001,0.5972,0.556263024,0.961,0.704648775,0.7666,0.925373134,,,,,,,,,
0.28,1811,0.5969,0.556043956,0.9614,0.704580432,0.7676,0.925373134,,,,,,,,,
0.28,1821,0.5969,0.556043956,0.9614,0.704580432,0.7676,0.925373134,,,,,,,,,
0.28,1831,0.5969,0.556043956,0.9614,0.704580432,0.7676,0.925373134,,,,,,,,,
0.28,1841,0.5969,0.556043956,0.9614,0.704580432,0.7676,0.925373134,,,,,,,,,
0.28,1851,0.5969,0.556043956,0.9614,0.704580432,0.7676,0.925373134,,,,,,,,,
0.28,1861,0.5969,0.556043956,0.9614,0.704580432,0.7676,0.925373134,,,,,,,,,
0.28,1871,0.5969,0.556043956,0.9614,0.704580432,0.7676,0.925373134,,,,,,,,,
0.28,1881,0.5969,0.556043956,0.9614,0.704580432,0.7676,0.925373134,,,,,,,,,
0.28,1891,0.5969,0.556043956,0.9614,0.704580432,0.7676,0.925373134,,,,,,,,,
0.28,1901,0.5969,0.556043956,0.9614,0.704580432,0.7676,0.925373134,,,,,,,,,
0.28,1911,0.5969,0.556043956,0.9614,0.704580432,0.7676,0.925373134,,,,,,,,,
0.28,1921,0.5969,0.556043956,0.9614,0.704580432,0.7676,0.925373134,,,,,,,,,
0.28,1671,0.5963,0.555632582,0.9618,0.704357378,0.7692,0.925373134,,,,,,,,,
0.28,1681,0.5963,0.555632582,0.9618,0.704357378,0.7692,0.925373134,,,,,,,,,
0.28,1691,0.5963,0.555632582,0.9618,0.704357378,0.7692,0.925373134,,,,,,,,,
0.28,1701,0.5963,0.555632582,0.9618,0.704357378,0.7692,0.925373134,,,,,,,,,
0.28,1711,0.5963,0.555632582,0.9618,0.704357378,0.7692,0.925373134,,,,,,,,,
