threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.369,0.4768,0.7002,0.683132089,0.7468,0.713548634,0.3464,,0.5,0.0001,0.5599,0.852767962,0.1448,0.247563686,0.025
0.367,0.4768,0.7001,0.683007134,0.7468,0.713480462,0.3466,,,,,,,,
0.368,0.4768,0.7001,0.683007134,0.7468,0.713480462,0.3466,,,,,,,,
0.364,0.4769,0.6988,0.680727273,0.7488,0.713142857,0.3512,,,,,,,,
0.365,0.4769,0.6994,0.68200073,0.7472,0.71311319,0.3484,,,,,,,,
0.366,0.4769,0.6995,0.682258359,0.7468,0.713071708,0.3478,,,,,,,,
0.362,0.4788,0.697,0.677990604,0.7504,0.712359977,0.3564,,,,,,,,
0.363,0.4769,0.6973,0.678616694,0.7496,0.712344388,0.355,,,,,,,,
0.361,0.4788,0.6969,0.677868112,0.7504,0.712292359,0.3566,,,,,,,,
0.36,0.4788,0.6965,0.677378588,0.7504,0.712022013,0.3574,,,,,,,,
0.295,0.998,0.5809,0.545866878,0.9628,0.696721905,0.801,,,,,,,,
0.294,0.998,0.5807,0.545732744,0.963,0.696664979,0.8016,,,,,,,,
0.296,0.998,0.5807,0.545763865,0.9624,0.696533256,0.801,,,,,,,,
0.293,0.998,0.5803,0.545485442,0.963,0.696463441,0.8024,,,,,,,,
0.297,0.998,0.5819,0.546687949,0.959,0.696390967,0.7952,,,,,,,,
0.298,0.998,0.5818,0.54663626,0.9588,0.696296296,0.7952,,,,,,,,
0.299,0.998,0.5818,0.54663626,0.9588,0.696296296,0.7952,,,,,,,,
0.292,0.998,0.579,0.544602529,0.9646,0.696160508,0.8066,,,,,,,,
0.291,0.998,0.5789,0.544541041,0.9646,0.696110269,0.8068,,,,,,,,
0.29,0.998,0.576,0.542725433,0.9654,0.694832302,0.8134,,,,,,,,
0.289,1,0.5708,0.539298401,0.9716,0.693603655,0.83,,,,,,,,
0.288,1,0.5707,0.53922983,0.9718,0.693597887,0.8304,,,,,,,,
0.287,1,0.5704,0.539050366,0.9718,0.693449408,0.831,,,,,,,,
0.359,0.5156,0.6613,0.63390337,0.7636,0.692733376,0.441,,,,,,,,
0.354,0.5156,0.6601,0.632073915,0.7662,0.692704095,0.446,,,,,,,,
