threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.4,0.602,0.7754,0.754340598,0.8168,0.784328788,0.266,,,,,,,,
0.401,0.602,0.7753,0.754295215,0.8166,0.784212043,0.266,,,,,,,,
0.402,0.602,0.7751,0.754204398,0.8162,0.783978484,0.266,,0.41,0.462,0.735,0.76826484,0.673,0.717484009,0.203
0.404,0.602,0.7751,0.754863813,0.8148,0.783687602,0.2646,,,,,,,,
0.403,0.602,0.7746,0.753977063,0.8152,0.783394196,0.266,,,,,,,,
0.405,0.602,0.7734,0.754089219,0.8114,0.781695568,0.2646,,,,,,,,
0.406,0.596,0.7725,0.753960857,0.809,0.780511336,0.264,,,,,,,,
0.407,0.596,0.7725,0.753960857,0.809,0.780511336,0.264,,,,,,,,
0.408,0.596,0.7725,0.754055566,0.8088,0.780468976,0.2638,,,,,,,,
0.409,0.596,0.7724,0.754104478,0.8084,0.78030888,0.2636,,,,,,,,
0.39,0.622,0.7519,0.715483319,0.8364,0.771230982,0.3326,,,,,,,,
0.391,0.622,0.7518,0.715434634,0.8362,0.771117669,0.3326,,,,,,,,
0.392,0.622,0.7518,0.715434634,0.8362,0.771117669,0.3326,,,,,,,,
0.394,0.622,0.7521,0.716916193,0.8332,0.770696513,0.329,,,,,,,,
0.395,0.622,0.7521,0.716916193,0.8332,0.770696513,0.329,,,,,,,,
0.399,0.602,0.752,0.717391304,0.8316,0.770285291,0.3276,,,,,,,,
0.396,0.602,0.7518,0.71699414,0.832,0.770227736,0.3284,,,,,,,,
0.397,0.602,0.7518,0.71699414,0.832,0.770227736,0.3284,,,,,,,,
0.398,0.602,0.7518,0.717068966,0.8318,0.770185185,0.3282,,,,,,,,
0.393,0.622,0.751,0.715265866,0.834,0.770083102,0.332,,,,,,,,
0.38,0.91,0.7217,0.673936921,0.859,0.755297635,0.4156,,,,,,,,
0.381,0.91,0.7213,0.67373214,0.8582,0.754859706,0.4156,,,,,,,,
0.382,0.894,0.7212,0.673680905,0.858,0.754750176,0.4156,,,,,,,,
0.383,0.894,0.7193,0.672758784,0.854,0.752621838,0.4154,,,,,,,,
0.384,0.894,0.7195,0.673298595,0.8528,0.75249272,0.4138,,,,,,,,
0.385,0.894,0.7196,0.673514539,0.8524,0.752471751,0.4132,,,,,,,,
0.389,0.774,0.7204,0.675533609,0.8482,0.752083703,0.4074,,,,,,,,
0.387,0.774,0.7197,0.674559034,0.849,0.751793146,0.4096,,,,,,,,
0.386,0.774,0.7196,0.674451859,0.849,0.75172658,0.4098,,,,,,,,
0.388,0.774,0.7195,0.674455571,0.8486,0.751572049,0.4096,,,,,,,,
0.37,0.96,0.703,0.649793388,0.8806,0.74779212,0.4746,,,,,,,,
0.371,0.96,0.7029,0.649918723,0.8796,0.747514235,0.4738,,,,,,,,
0.372,0.94,0.7022,0.649556213,0.8782,0.746768707,0.4738,,,,,,,,
0.375,0.94,0.7011,0.649294729,0.8746,0.745291862,0.4724,,,,,,,,
0.374,0.94,0.701,0.649154052,0.8748,0.745271767,0.4728,,,,,,,,
0.373,0.94,0.7007,0.648865154,0.8748,0.745081339,0.4734,,,,,,,,
0.376,0.91,0.702,0.65106192,0.8706,0.74499401,0.4666,,,,,,,,
0.378,0.91,0.7019,0.651145381,0.8698,0.744755544,0.466,,,,,,,,
0.377,0.91,0.7017,0.650950457,0.8698,0.744628028,0.4664,,,,,,,,
0.379,0.91,0.7013,0.651239669,0.8668,0.743715144,0.4642,,,,,,,,
0.368,1,0.6845,0.630278209,0.8926,0.738846122,0.5236,,,,,,,,
0.367,1,0.6844,0.630152456,0.8928,0.738828203,0.524,,,,,,,,
0.366,1,0.6843,0.630063514,0.8928,0.738767067,0.5242,,,,,,,,
0.369,1,0.6848,0.630878187,0.8908,0.738640133,0.5212,,,,,,,,
0.36,1,0.676,0.621782452,0.8986,0.734991003,0.5466,,,,,,,,
0.361,1,0.676,0.62195122,0.8976,0.734774067,0.5456,,,,,,,,
0.362,1,0.6758,0.6218802,0.897,0.73452342,0.5454,,,,,,,,
