threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.369,1,0.6836,0.624020535,0.9238,0.744879858,0.5566,,,,,,,,
0.365,1,0.6829,0.623331086,0.9244,0.744583166,0.5586,,0.39,0.5625,0.6943,0.69519791,0.692,0.693595269,0.3034
0.366,1,0.6829,0.623331086,0.9244,0.744583166,0.5586,,,,,,,,
0.367,1,0.6829,0.62336436,0.9242,0.744542012,0.5584,,,,,,,,
0.368,1,0.6829,0.623397652,0.924,0.744500846,0.5582,,,,,,,,
0.364,1,0.6825,0.622995013,0.9244,0.744343345,0.5594,,,,,,,,
0.36,1,0.6813,0.621628874,0.9266,0.744077732,0.564,,,,,,,,
0.361,1,0.6813,0.621628874,0.9266,0.744077732,0.564,,,,,,,,
0.363,1,0.6816,0.622207268,0.9246,0.743845535,0.5614,,,,,,,,
0.362,1,0.681,0.621607095,0.9252,0.743610352,0.5632,,,,,,,,
0.381,0.6033,0.7062,0.675459496,0.7938,0.729863921,0.3814,,,,,,,,
0.383,0.603,0.7063,0.675753961,0.7932,0.729781949,0.3806,,,,,,,,
0.382,0.6033,0.7062,0.675579019,0.7934,0.729764533,0.381,,,,,,,,
0.38,0.6033,0.706,0.67522967,0.7938,0.72972973,0.3818,,,,,,,,
0.384,0.603,0.7065,0.676284787,0.7922,0.729667496,0.3792,,,,,,,,
0.385,0.603,0.7055,0.675911659,0.7896,0.728346094,0.3786,,,,,,,,
0.386,0.603,0.7055,0.675911659,0.7896,0.728346094,0.3786,,,,,,,,
0.359,1,0.6505,0.595847663,0.9356,0.728036729,0.6346,,,,,,,,
0.387,0.603,0.7051,0.675689567,0.7888,0.727876719,0.3786,,,,,,,,
0.388,0.603,0.7051,0.675749786,0.7886,0.727826488,0.3784,,,,,,,,
0.355,1,0.6499,0.595319852,0.9362,0.727823991,0.6364,,,,,,,,
0.354,1,0.6498,0.595219934,0.9364,0.727809731,0.6368,,,,,,,,
0.356,1,0.6499,0.595344104,0.936,0.727781666,0.6362,,,,,,,,
0.357,1,0.6498,0.595292621,0.9358,0.727682737,0.6362,,,,,,,,
0.358,1,0.6498,0.595292621,0.9358,0.727682737,0.6362,,,,,,,,
0.352,1,0.648,0.593599798,0.9386,0.727258639,0.6426,,,,,,,,
0.35,1,0.6479,0.593524725,0.9386,0.727202293,0.6428,,,,,,,,
0.351,1,0.6479,0.593524725,0.9386,0.727202293,0.6428,,,,,,,,
0.353,1,0.6479,0.593690612,0.9372,0.726906073,0.6414,,,,,,,,
0.371,0.6053,0.6766,0.639186633,0.811,0.714915374,0.4578,,,,,,,,
0.37,0.6053,0.6765,0.639085894,0.811,0.714852358,0.458,,,,,,,,
0.379,0.6053,0.6759,0.639936356,0.8044,0.712804608,0.4526,,,,,,,,
0.378,0.6053,0.6756,0.639497935,0.805,0.712767841,0.4538,,,,,,,,
0.374,0.6053,0.6753,0.639104904,0.8054,0.712680294,0.4548,,,,,,,,
0.377,0.6053,0.6754,0.63929479,0.805,0.712641643,0.4542,,,,,,,,
0.375,0.6053,0.6753,0.639149071,0.8052,0.712629436,0.4546,,,,,,,,
0.376,0.6053,0.6753,0.639149071,0.8052,0.712629436,0.4546,,,,,,,,
0.373,0.6053,0.6748,0.638422553,0.8062,0.712568499,0.4566,,,,,,,,
0.372,0.6053,0.6745,0.63811936,0.8062,0.712379606,0.4572,,,,,,,,
0.349,1,0.6188,0.572017459,0.9436,0.712258454,0.706,,,,,,,,
0.342,1,0.6089,0.564999403,0.9466,0.707632504,0.7288,,,,,,,,
0.345,1,0.6096,0.565628743,0.9446,0.707565543,0.7254,,,,,,,,
0.344,1,0.6093,0.565378634,0.9452,0.707537989,0.7266,,,,,,,,
0.343,1,0.6092,0.565295384,0.9454,0.707528813,0.727,,,,,,,,
0.34,1,0.6086,0.564781675,0.9468,0.707517561,0.7296,,,,,,,,
