threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.434,0.6974,0.8119,0.820554985,0.7984,0.8093259,0.1746,,,,,,,,
0.431,0.6974,0.8107,0.817235042,0.8004,0.808729918,0.179,,0.57,0.2101,0.6297,0.909148265,0.2882,0.437661352,0.0288
0.433,0.6974,0.8108,0.817791411,0.7998,0.808695652,0.1782,,,,,,,,
0.432,0.6974,0.8107,0.817624208,0.7998,0.808613891,0.1784,,,,,,,,
0.43,0.6974,0.809,0.814152094,0.8008,0.807420851,0.1828,,,,,,,,
0.439,0.6762,0.8103,0.822088437,0.792,0.806763777,0.1714,,,,,,,,
0.437,0.6762,0.8101,0.821613773,0.7922,0.806638835,0.172,,,,,,,,
0.438,0.6762,0.8101,0.82174725,0.792,0.80659945,0.1718,,,,,,,,
0.435,0.6762,0.81,0.821443384,0.7922,0.806556709,0.1722,,,,,,,,
0.436,0.6762,0.81,0.821443384,0.7922,0.806556709,0.1722,,,,,,,,
0.424,0.7206,0.8046,0.800750395,0.811,0.805842607,0.2018,,,,,,,,
0.441,0.6284,0.8134,0.841097083,0.7728,0.80550344,0.146,,,,,,,,
0.427,0.714,0.8047,0.802581927,0.8082,0.805381166,0.1988,,,,,,,,
0.428,0.714,0.8047,0.802581927,0.8082,0.805381166,0.1988,,,,,,,,
0.442,0.6284,0.8133,0.841062486,0.7726,0.805378922,0.146,,,,,,,,
0.429,0.714,0.8047,0.802702166,0.808,0.80534237,0.1986,,,,,,,,
0.425,0.714,0.8046,0.802302501,0.8084,0.805339709,0.1992,,,,,,,,
0.426,0.714,0.8046,0.802302501,0.8084,0.805339709,0.1992,,,,,,,,
0.443,0.6283,0.8133,0.841359773,0.7722,0.805297737,0.1456,,,,,,,,
0.444,0.6283,0.8136,0.84295713,0.7708,0.805265357,0.1436,,,,,,,,
0.44,0.6284,0.8126,0.838165296,0.7748,0.805237996,0.1496,,,,,,,,
0.423,0.7206,0.8035,0.798309416,0.8122,0.805194805,0.2052,,,,,,,,
0.445,0.627,0.8135,0.843523997,0.7698,0.804977518,0.1428,,,,,,,,
0.446,0.627,0.8135,0.843523997,0.7698,0.804977518,0.1428,,,,,,,,
0.447,0.627,0.8135,0.843523997,0.7698,0.804977518,0.1428,,,,,,,,
