threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.28,,,,,,,,,,,,,,
0.281,0.1961,0.7592,0.745547556,0.787,0.765713174,0.2686,,,,,,,,
0.282,0.1961,0.7592,0.745547556,0.787,0.765713174,0.2686,,0.31,0.1494,0.7552,0.811219512,0.6652,0.730989011,0.1548
0.283,0.1961,0.7592,0.745547556,0.787,0.765713174,0.2686,,,,,,,,
0.284,0.1961,0.7592,0.745547556,0.787,0.765713174,0.2686,,,,,,,,
0.285,0.1961,0.7592,0.745547556,0.787,0.765713174,0.2686,,,,,,,,
0.286,0.1961,0.7592,0.745547556,0.787,0.765713174,0.2686,,,,,,,,
0.287,0.1961,0.7592,0.745547556,0.787,0.765713174,0.2686,,,,,,,,
0.288,0.1961,0.7592,0.745547556,0.787,0.765713174,0.2686,,,,,,,,
0.289,0.196,0.7592,0.745547556,0.787,0.765713174,0.2686,,,,,,,,
0.271,0.2079,0.7443,0.723513266,0.7908,0.75566173,0.3022,,,,,,,,
0.272,0.2079,0.7443,0.723513266,0.7908,0.75566173,0.3022,,,,,,,,
0.273,0.2079,0.7443,0.723513266,0.7908,0.75566173,0.3022,,,,,,,,
0.274,0.2079,0.7443,0.723513266,0.7908,0.75566173,0.3022,,,,,,,,
0.275,0.2079,0.7443,0.723513266,0.7908,0.75566173,0.3022,,,,,,,,
0.276,0.2079,0.7443,0.723513266,0.7908,0.75566173,0.3022,,,,,,,,
0.277,0.2079,0.7443,0.723513266,0.7908,0.75566173,0.3022,,,,,,,,
0.278,0.2079,0.7443,0.723513266,0.7908,0.75566173,0.3022,,,,,,,,
0.279,0.2079,0.7443,0.723513266,0.7908,0.75566173,0.3022,,,,,,,,
0.27,0.2079,0.7442,0.7233809,0.7908,0.755589528,0.3024,,,,,,,,
0.269,0.2224,0.7188,0.689798751,0.7952,0.738758826,0.3576,,,,,,,,
0.26,0.2225,0.7187,0.689679098,0.7952,0.7386902,0.3578,,,,,,,,
0.261,0.2225,0.7187,0.689679098,0.7952,0.7386902,0.3578,,,,,,,,
0.262,0.2225,0.7187,0.689679098,0.7952,0.7386902,0.3578,,,,,,,,
0.263,0.2225,0.7187,0.689679098,0.7952,0.7386902,0.3578,,,,,,,,
0.264,0.2225,0.7187,0.689679098,0.7952,0.7386902,0.3578,,,,,,,,
0.265,0.2225,0.7187,0.689679098,0.7952,0.7386902,0.3578,,,,,,,,
0.266,0.2225,0.7187,0.689679098,0.7952,0.7386902,0.3578,,,,,,,,
0.267,0.2225,0.7187,0.689679098,0.7952,0.7386902,0.3578,,,,,,,,
0.268,0.2225,0.7187,0.689679098,0.7952,0.7386902,0.3578,,,,,,,,
0.25,0.2345,0.7131,0.678266689,0.8108,0.738635328,0.3846,,,,,,,,
0.251,0.2345,0.7131,0.678266689,0.8108,0.738635328,0.3846,,,,,,,,
0.252,0.2345,0.7131,0.678266689,0.8108,0.738635328,0.3846,,,,,,,,
0.253,0.2345,0.7131,0.678266689,0.8108,0.738635328,0.3846,,,,,,,,
0.254,0.2345,0.7131,0.678266689,0.8108,0.738635328,0.3846,,,,,,,,
0.255,0.2345,0.7131,0.678266689,0.8108,0.738635328,0.3846,,,,,,,,
0.256,0.2345,0.7131,0.678266689,0.8108,0.738635328,0.3846,,,,,,,,
0.257,0.2345,0.7131,0.678266689,0.8108,0.738635328,0.3846,,,,,,,,
0.258,0.2344,0.7131,0.678266689,0.8108,0.738635328,0.3846,,,,,,,,
0.259,0.2344,0.7131,0.678266689,0.8108,0.738635328,0.3846,,,,,,,,
0.249,0.2496,0.7064,0.669848585,0.814,0.734922355,0.4012,,,,,,,,
0.248,0.2501,0.7063,0.669738358,0.814,0.734856008,0.4014,,,,,,,,
0.241,0.2505,0.7059,0.66924215,0.8142,0.734638636,0.4024,,,,,,,,
0.242,0.2505,0.7059,0.66924215,0.8142,0.734638636,0.4024,,,,,,,,
0.243,0.2505,0.7059,0.66924215,0.8142,0.734638636,0.4024,,,,,,,,
0.244,0.2505,0.7059,0.66924215,0.8142,0.734638636,0.4024,,,,,,,,
0.245,0.2505,0.7059,0.66924215,0.8142,0.734638636,0.4024,,,,,,,,
0.246,0.2505,0.7059,0.66924215,0.8142,0.734638636,0.4024,,,,,,,,
0.247,0.2505,0.7059,0.66924215,0.8142,0.734638636,0.4024,,,,,,,,
0.24,0.2505,0.7058,0.66913215,0.8142,0.734572357,0.4026,,,,,,,,
0.239,0.2631,0.7016,0.663477133,0.8182,0.732760165,0.415,,,,,,,,
0.231,0.2641,0.7001,0.661710037,0.8188,0.73192098,0.4186,,,,,,,,
0.232,0.2641,0.7001,0.661710037,0.8188,0.73192098,0.4186,,,,,,,,
0.233,0.2641,0.7001,0.661710037,0.8188,0.73192098,0.4186,,,,,,,,
0.234,0.2641,0.7001,0.661710037,0.8188,0.73192098,0.4186,,,,,,,,
0.235,0.2641,0.7001,0.661710037,0.8188,0.73192098,0.4186,,,,,,,,
0.236,0.2641,0.7001,0.661710037,0.8188,0.73192098,0.4186,,,,,,,,
0.237,0.2641,0.7001,0.661710037,0.8188,0.73192098,0.4186,,,,,,,,
0.238,0.2641,0.7001,0.661710037,0.8188,0.73192098,0.4186,,,,,,,,
0.23,0.2662,0.6993,0.660596293,0.8198,0.731637662,0.4212,,,,,,,,
0.32,0.1264,0.7596,0.829608939,0.6534,0.731036026,0.1342,,,,,,,,
0.321,0.1264,0.7596,0.829608939,0.6534,0.731036026,0.1342,,,,,,,,
0.322,0.1264,0.7596,0.829608939,0.6534,0.731036026,0.1342,,,,,,,,
0.323,0.1264,0.7596,0.829608939,0.6534,0.731036026,0.1342,,,,,,,,
0.324,0.1264,0.7596,0.829608939,0.6534,0.731036026,0.1342,,,,,,,,
0.325,0.1264,0.7596,0.829608939,0.6534,0.731036026,0.1342,,,,,,,,
0.326,0.1264,0.7596,0.829608939,0.6534,0.731036026,0.1342,,,,,,,,
0.327,0.1264,0.7596,0.829608939,0.6534,0.731036026,0.1342,,,,,,,,
0.328,0.1264,0.7596,0.829608939,0.6534,0.731036026,0.1342,,,,,,,,
0.329,0.1264,0.7596,0.829608939,0.6534,0.731036026,0.1342,,,,,,,,
0.31,0.1494,0.7552,0.811219512,0.6652,0.730989011,0.1548,,,,,,,,
