threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.37,0.955223881,0.7011,0.641559904,0.9114,0.753036437,0.5092,,,,,,,,,
0.371,0.955223881,0.701,0.641549296,0.911,0.752892562,0.509,,,,,,,,,
0.372,0.955223881,0.7012,0.642010164,0.9096,0.752730884,0.5072,,,,,,,,,
0.373,0.895522388,0.7011,0.642039836,0.909,0.752545741,0.5068,,,0.407,0.492537313,0.5976,0.606876916,0.5542,0.579343508,0.359
0.374,0.865671642,0.7009,0.642059115,0.908,0.752216055,0.5062,,,,,,,,,
0.375,0.865671642,0.7008,0.64204867,0.9076,0.752071594,0.506,,,,,,,,,
0.376,0.865671642,0.7005,0.641936854,0.9068,0.751720136,0.5058,,,,,,,,,
0.377,0.865671642,0.7003,0.64187562,0.9062,0.75147193,0.5056,,,,,,,,,
0.378,0.850746269,0.7005,0.642299503,0.905,0.751349108,0.504,,,,,,,,,
0.379,0.850746269,0.7003,0.642197927,0.9046,0.751141742,0.504,,,,,,,,,
0.363,0.955223881,0.6773,0.618817853,0.9234,0.74103202,0.5688,,,,,,,,,
0.365,0.955223881,0.6776,0.619290704,0.922,0.740919319,0.5668,,,,,,,,,
0.364,0.955223881,0.6775,0.619175507,0.9222,0.740901422,0.5672,,,,,,,,,
0.369,0.955223881,0.6784,0.620703654,0.9174,0.740435835,0.5606,,,,,,,,,
0.362,0.955223881,0.6757,0.617430825,0.9238,0.740165051,0.5724,,,,,,,,,
0.366,0.955223881,0.6768,0.619137466,0.9188,0.739774557,0.5652,,,,,,,,,
0.368,0.955223881,0.677,0.619433198,0.918,0.739726027,0.564,,,,,,,,,
0.367,0.955223881,0.6768,0.619233882,0.9182,0.739648784,0.5646,,,,,,,,,
0.36,0.955223881,0.674,0.615722267,0.9258,0.739575012,0.5778,,,,,,,,,
0.361,0.955223881,0.6739,0.615671145,0.9256,0.739474315,0.5778,,,,,,,,,
0.359,0.955223881,0.6628,0.605961989,0.931,0.734111339,0.6054,,,,,,,,,
0.358,0.955223881,0.6619,0.605198181,0.9314,0.733674675,0.6076,,,,,,,,,
0.354,0.970149254,0.6615,0.604802077,0.932,0.733569461,0.609,,,,,,,,,
0.355,0.970149254,0.6615,0.604802077,0.932,0.733569461,0.609,,,,,,,,,
0.357,0.955223881,0.6615,0.604856512,0.9316,0.733485552,0.6086,,,,,,,,,
0.356,0.955223881,0.6614,0.60477798,0.9316,0.733427807,0.6088,,,,,,,,,
0.353,0.970149254,0.6608,0.604145078,0.9328,0.733333333,0.6112,,,,,,,,,
0.352,0.970149254,0.6601,0.603570966,0.933,0.732971954,0.6128,,,,,,,,,
0.351,0.970149254,0.6593,0.602893683,0.9334,0.732595558,0.6148,,,,,,,,,
0.35,0.970149254,0.6583,0.602063185,0.9338,0.732105057,0.6172,,,,,,,,,
0.347,0.970149254,0.6481,0.593485671,0.9402,0.727652658,0.644,,,,,,,,,
0.346,0.970149254,0.648,0.593410755,0.9402,0.727596347,0.6442,,,,,,,,,
0.348,0.970149254,0.6482,0.593631539,0.9396,0.727582469,0.6432,,,,,,,,,
0.349,0.970149254,0.6486,0.594098278,0.9382,0.727512407,0.641,,,,,,,,,
0.345,0.970149254,0.6469,0.592471358,0.9412,0.727188442,0.6474,,,,,,,,,
0.344,0.970149254,0.6464,0.592075472,0.9414,0.726949807,0.6486,,,,,,,,,
0.343,0.985074627,0.6453,0.591188653,0.942,0.726459474,0.6514,,,,,,,,,
0.342,0.985074627,0.6448,0.590817863,0.942,0.726179463,0.6524,,,,,,,,,
0.34,0.985074627,0.6444,0.590521565,0.942,0.72595561,0.6532,,,,,,,,,
0.341,0.985074627,0.6444,0.590521565,0.942,0.72595561,0.6532,,,,,,,,,
0.339,0.985074627,0.6343,0.582524272,0.948,0.721625942,0.6794,,,,,,,,,
0.338,0.985074627,0.6336,0.581922983,0.949,0.72145355,0.6818,,,,,,,,,
0.336,0.985074627,0.6322,0.580885952,0.9494,0.720771333,0.685,,,,,,,,,
0.337,0.985074627,0.6323,0.580996694,0.949,0.720741247,0.6844,,,,,,,,,
0.335,1,0.6309,0.579885268,0.9502,0.720230425,0.6884,,,,,,,,,
0.334,1,0.6307,0.579704842,0.9506,0.720206076,0.6892,,,,,,,,,
0.333,1,0.6301,0.579280926,0.9506,0.719878834,0.6904,,,,,,,,,
0.332,1,0.6293,0.578563616,0.9522,0.719782296,0.6936,,,,,,,,,
0.33,1,0.6287,0.578104139,0.9526,0.719540751,0.6952,,,,,,,,,
0.331,1,0.6287,0.578123103,0.9524,0.719498376,0.695,,,,,,,,,
0.329,1,0.6121,0.566292135,0.9576,0.711705686,0.7334,,,,,,,,,
0.327,1,0.6112,0.565581505,0.959,0.711529901,0.7366,,,,,,,,,
0.326,1,0.611,0.565432681,0.9592,0.711467141,0.7372,,,,,,,,,
0.328,1,0.6113,0.565725759,0.958,0.71136853,0.7354,,,,,,,,,
0.323,1,0.6024,0.559618072,0.9612,0.707388873,0.7564,,,,,,,,,
0.325,1,0.6025,0.559738897,0.9604,0.707268576,0.7554,,,,,,,,,
0.322,1,0.6013,0.558765518,0.9632,0.707247228,0.7606,,,,,,,,,
0.324,1,0.6022,0.559529357,0.9606,0.707155477,0.7562,,,,,,,,,
0.321,1,0.6009,0.558492754,0.9634,0.707082569,0.7616,,,,,,,,,
0.32,1,0.6008,0.558414465,0.9636,0.707073672,0.762,,,,,,,,,
0.317,1,0.5829,0.546725285,0.97,0.699300699,0.8042,,,,,,,,,
0.316,1,0.5826,0.546540455,0.97,0.699149488,0.8048,,,,,,,,,
0.314,1,0.5816,0.545883941,0.9708,0.698819464,0.8076,,,,,,,,,
0.318,1,0.5826,0.54662452,0.9684,0.698802136,0.8032,,,,,,,,,
0.31,1,0.5812,0.545597484,0.9716,0.698791715,0.8092,,,,,,,,,
0.311,1,0.5812,0.545597484,0.9716,0.698791715,0.8092,,,,,,,,,
0.315,1,0.5817,0.545966018,0.9704,0.698783034,0.807,,,,,,,,,
0.319,1,0.5827,0.546707331,0.968,0.69876561,0.8026,,,,,,,,,
0.313,1,0.5814,0.545761187,0.9708,0.698718871,0.808,,,,,,,,,
0.312,1,0.581,0.545505618,0.971,0.698561151,0.809,,,,,,,,,
0.309,1,0.5737,0.540831025,0.9762,0.696042781,0.8288,,,,,,,,,
