threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.00426,0.483,0.747,0.787744641,0.6762,0.727722772,0.1822,,0.00564,0,0.647,0.94011976,0.314,0.470764618,0.02
0.00427,0.48,0.7468,0.787779851,0.6756,0.727390181,0.182,,,,,,,,
0.00425,0.483,0.7464,0.786511628,0.6764,0.727311828,0.1836,,,,,,,,
0.00428,0.4799,0.747,0.788956481,0.6744,0.727194307,0.1804,,,,,,,,
0.00424,0.4831,0.746,0.785780669,0.6764,0.72699914,0.1844,,,,,,,,
0.00423,0.4831,0.7453,0.784504755,0.6764,0.726452583,0.1858,,,,,,,,
0.00422,0.4831,0.7451,0.784140969,0.6764,0.726296575,0.1862,,,,,,,,
0.00421,0.4831,0.7447,0.783414408,0.6764,0.725984759,0.187,,,,,,,,
0.0042,0.4831,0.7441,0.782196532,0.6766,0.725576408,0.1884,,,,,,,,
0.00419,0.4831,0.7426,0.779235727,0.677,0.72452911,0.1918,,,,,,,,
0.00418,0.4831,0.7398,0.772005445,0.6806,0.723426871,0.201,,,,,,,,
0.00417,0.4831,0.7362,0.764560932,0.6826,0.72125951,0.2102,,,,,,,,
0.00416,0.4831,0.7351,0.762681564,0.6826,0.720422164,0.2124,,,,,,,,
0.00415,0.4831,0.7348,0.762170612,0.6826,0.720194134,0.213,,,,,,,,
0.00414,0.4831,0.7341,0.76086472,0.6828,0.719721724,0.2146,,,,,,,,
0.00413,0.4831,0.7326,0.758100311,0.6832,0.718703976,0.218,,,,,,,,
0.00412,0.4831,0.7321,0.757146023,0.6834,0.718385367,0.2192,,,,,,,,
0.00411,0.4832,0.7308,0.754521394,0.6842,0.717642123,0.2226,,,,,,,,
0.0041,0.4833,0.7293,0.751922654,0.6844,0.716574181,0.2258,,,,,,,,
0.00409,0.4833,0.7277,0.749288373,0.6844,0.715375771,0.229,,,,,,,,
0.00408,0.4833,0.7275,0.74874262,0.6848,0.715345242,0.2298,,,,,,,,
0.00407,0.4834,0.7273,0.748306751,0.685,0.715255299,0.2304,,,,,,,,
0.00406,0.4836,0.7266,0.747056258,0.6852,0.714792406,0.232,,,,,,,,
0.00405,0.4838,0.726,0.745973008,0.6854,0.714404836,0.2334,,,,,,,,
0.00404,0.4842,0.7255,0.745055423,0.6856,0.714092282,0.2346,,,,,,,,
0.00403,0.4843,0.7248,0.743817787,0.6858,0.713631634,0.2362,,,,,,,,
0.00322,0.9462,0.6506,0.60472879,0.8696,0.713371616,0.5684,,,,,,,,
0.00321,0.9462,0.65,0.604108828,0.8704,0.713208784,0.5704,,,,,,,,
0.00402,0.4843,0.724,0.742529233,0.6858,0.713038054,0.2378,,,,,,,,
0.00401,0.4843,0.7237,0.742047176,0.6858,0.712815716,0.2384,,,,,,,,
0.004,0.4843,0.7234,0.741565744,0.6858,0.712593516,0.239,,,,,,,,
0.0032,0.9462,0.6486,0.602908587,0.8706,0.712438625,0.5734,,,,,,,,
