threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.001,0.9998,0.5492,0.52633833,0.9832,0.685634589,0.8848,,,,,,,,
0.00099,1,0.5464,0.524759872,0.9834,0.68434238,0.8906,,,,,,,,
0.00098,1,0.5444,0.523637138,0.9836,0.683435242,0.8948,,0.00137,0.2417,0.5995,0.620082066,0.5138,0.561959969,0.3148
0.00097,1,0.5411,0.521775988,0.9848,0.682136178,0.9026,,,,,,,,
0.00096,1,0.5388,0.5205074,0.9848,0.681051176,0.9072,,,,,,,,
0.00095,1,0.5368,0.519409283,0.9848,0.680110497,0.9112,,,,,,,,
0.00094,1,0.5332,0.517440639,0.985,0.678468109,0.9186,,,,,,,,
0.00093,1,0.5302,0.51581483,0.985,0.677069013,0.9246,,,,,,,,
0.00092,1,0.527,0.514077164,0.986,0.675805346,0.932,,,,,,,,
0.00091,1,0.525,0.513007284,0.986,0.674880219,0.936,,,,,,,,
0.0009,1,0.5236,0.512261014,0.986,0.674234136,0.9388,,,,,,,,
0.00089,1,0.5219,0.511357743,0.986,0.673451267,0.9422,,,,,,,,
0.00088,1,0.5201,0.51040265,0.9862,0.672668986,0.946,,,,,,,,
0.00087,1,0.5187,0.509664083,0.9862,0.672027257,0.9488,,,,,,,,
0.00086,1,0.5167,0.508610911,0.9864,0.671157379,0.953,,,,,,,,
0.00085,1,0.5151,0.507773088,0.9864,0.670427513,0.9562,,,,,,,,
0.00084,1,0.5131,0.506729683,0.9864,0.66951741,0.9602,,,,,,,,
0.00083,1,0.512,0.506156372,0.9866,0.669062797,0.9626,,,,,,,,
0.00082,1,0.5118,0.506052524,0.9866,0.668972064,0.963,,,,,,,,
0.00081,1,0.5103,0.505272858,0.987,0.668382204,0.9664,,,,,,,,
0.00077,1,0.5039,0.501960784,0.9984,0.668049515,0.9906,,,,,,,,
0.00078,1,0.5042,0.502114378,0.9974,0.667961425,0.989,,,,,,,,
0.00079,1,0.5051,0.502577059,0.9946,0.667740853,0.9844,,,,,,,,
