threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.001,0.9617,0.752,0.713486954,0.8422,0.772518804,0.3382,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.009,0,0.7391,0.97954272,0.4884,0.651808354,0.0102,,,,,,,,
0.01,0,0.7391,0.97954272,0.4884,0.651808354,0.0102,,0.013,0,0.662,0.986194478,0.3286,0.492949295,0.0046
0.011,0,0.7391,0.97954272,0.4884,0.651808354,0.0102,,,,,,,,
0.012,0,0.7401,0.990600736,0.4848,0.651000403,0.0046,,,,,,,,
0.007,0,0.7377,0.974072597,0.4884,0.65059278,0.013,,,,,,,,
0.008,0,0.7377,0.974072597,0.4884,0.65059278,0.013,,,,,,,,
0.006,0,0.7349,0.955762515,0.4926,0.650125379,0.0228,,,,,,,,
0.004,0,0.7035,0.848101266,0.4958,0.625773066,0.0888,,,,,,,,
0.003,0,0.7005,0.835845896,0.499,0.624921728,0.098,,,,,,,,
0.005,0,0.7023,0.847953216,0.493,0.623498166,0.0884,,,,,,,,
0.002,0.0001,0.6847,0.785118864,0.5086,0.617307926,0.1392,,,,,,,,
0.041,0,0.6623,0.987973542,0.3286,0.493171244,0.004,,,,,,,,
0.042,0,0.6623,0.987973542,0.3286,0.493171244,0.004,,,,,,,,
0.043,0,0.6623,0.987973542,0.3286,0.493171244,0.004,,,,,,,,
0.019,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.02,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.021,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.022,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.023,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.024,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.025,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.026,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.027,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.028,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.029,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.03,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.031,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.032,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.033,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.034,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.035,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.036,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.037,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.038,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.039,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.04,0,0.6621,0.986786787,0.3286,0.493023256,0.0044,,,,,,,,
0.044,0,0.6623,0.988561108,0.3284,0.493019066,0.0038,,,,,,,,
0.013,0,0.662,0.986194478,0.3286,0.492949295,0.0046,,,,,,,,
0.014,0,0.662,0.986194478,0.3286,0.492949295,0.0046,,,,,,,,
0.015,0,0.662,0.986194478,0.3286,0.492949295,0.0046,,,,,,,,
0.016,0,0.662,0.986194478,0.3286,0.492949295,0.0046,,,,,,,,
0.017,0,0.662,0.986194478,0.3286,0.492949295,0.0046,,,,,,,,
0.018,0,0.662,0.986194478,0.3286,0.492949295,0.0046,,,,,,,,
0.045,0,0.6622,0.988554217,0.3282,0.492792793,0.0038,,,,,,,,
0.046,0,0.6622,0.988554217,0.3282,0.492792793,0.0038,,,,,,,,
0.047,0,0.6622,0.988554217,0.3282,0.492792793,0.0038,,,,,,,,
0.048,0,0.6622,0.988554217,0.3282,0.492792793,0.0038,,,,,,,,
0.049,0,0.6622,0.988554217,0.3282,0.492792793,0.0038,,,,,,,,
