threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.028,0.136,0.827,0.946477335,0.6932,0.800277072,0.0392,,,,,,,,
0.026,0.136,0.8173,0.901747278,0.7122,0.795843111,0.0776,,,,,,,,
0.023,0.136,0.8163,0.897661554,0.714,0.795365935,0.0814,,,,,,,,
0.025,0.136,0.8165,0.899520323,0.7126,0.795223747,0.0796,,,,,,,,
0.024,0.136,0.8161,0.898211136,0.713,0.794960419,0.0808,,0.041,0,0.6567,0.942405421,0.3338,0.492984788,0.0204
0.022,0.136,0.8155,0.895660898,0.7142,0.794703461,0.0832,,,,,,,,
0.021,0.136,0.8154,0.895436309,0.7142,0.794615042,0.0834,,,,,,,,
0.027,0.136,0.8161,0.901651842,0.7096,0.79418019,0.0774,,,,,,,,
0.02,0.136,0.8129,0.886010363,0.7182,0.793328179,0.0924,,,,,,,,
0.019,0.136,0.8084,0.873727581,0.721,0.790050405,0.1042,,,,,,,,
0.018,0.136,0.8077,0.872067715,0.7212,0.789490969,0.1058,,,,,,,,
0.007,0.568,0.7688,0.730058199,0.853,0.786755211,0.3154,,,,,,,,
0.011,0.564,0.7725,0.744219394,0.8304,0.784951319,0.2854,,,,,,,,
0.01,0.564,0.7712,0.74153901,0.8326,0.784435651,0.2902,,,,,,,,
0.009,0.564,0.7659,0.732552038,0.8376,0.781562004,0.3058,,,,,,,,
0.008,0.564,0.7645,0.730120063,0.8392,0.78086908,0.3102,,,,,,,,
0.014,0.562,0.7833,0.794184839,0.7648,0.779215487,0.1982,,,,,,,,
0.013,0.562,0.7827,0.792105807,0.7666,0.779144222,0.2012,,,,,,,,
0.015,0.41,0.7826,0.796599496,0.759,0.77734535,0.1938,,,,,,,,
0.006,0.568,0.7444,0.699542782,0.8568,0.770226537,0.368,,,,,,,,
0.016,0.378,0.7761,0.804948089,0.7288,0.76498373,0.1766,,,,,,,,
0.012,0.564,0.7629,0.758403774,0.7716,0.764944979,0.2458,,,,,,,,
0.017,0.144,0.7774,0.810986547,0.7234,0.764693446,0.1686,,,,,,,,
0.005,0.57,0.7294,0.680971915,0.8632,0.761333569,0.4044,,,,,,,,
0.004,0.576,0.7196,0.668715427,0.8704,0.756343413,0.4312,,,,,,,,
0.003,0.576,0.6907,0.636078208,0.8914,0.742400267,0.51,,,,,,,,
0.031,0.136,0.7765,0.945823928,0.5866,0.724108135,0.0336,,,,,,,,
0.03,0.136,0.7764,0.945231959,0.5868,0.724086871,0.034,,,,,,,,
0.029,0.136,0.7754,0.939374601,0.5888,0.723875092,0.038,,,,,,,,
0.032,0,0.7765,0.949009419,0.5844,0.723356851,0.0314,,,,,,,,
0.033,0,0.7765,0.949301267,0.5842,0.72328835,0.0312,,,,,,,,
0.034,0,0.7762,0.949251789,0.5836,0.722813971,0.0312,,,,,,,,
0.036,0,0.7757,0.949755302,0.5822,0.721884687,0.0308,,,,,,,,
0.035,0,0.7756,0.949445532,0.5822,0.72179519,0.031,,,,,,,,
0.002,0.578,0.6308,0.585178432,0.8986,0.708786875,0.637,,,,,,,,
0.001,0.924,0.5251,0.513123497,0.9814,0.673899609,0.9312,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.037,0,0.7155,0.937474624,0.4618,0.618786011,0.0308,,,,,,,,
0.038,0,0.7155,0.937474624,0.4618,0.618786011,0.0308,,,,,,,,
0.039,0,0.7155,0.93783015,0.4616,0.618683823,0.0306,,,,,,,,
0.04,0,0.7153,0.937779585,0.4612,0.618313447,0.0306,,,,,,,,
0.045,0,0.6596,0.95862069,0.3336,0.49495549,0.0144,,,,,,,,
0.046,0,0.6596,0.95862069,0.3336,0.49495549,0.0144,,,,,,,,
0.047,0,0.6596,0.95862069,0.3336,0.49495549,0.0144,,,,,,,,
0.048,0,0.6596,0.95862069,0.3336,0.49495549,0.0144,,,,,,,,
0.049,0,0.6596,0.95862069,0.3336,0.49495549,0.0144,,,,,,,,
0.043,0,0.6572,0.945073613,0.3338,0.493349098,0.0194,,,,,,,,
0.044,0,0.6572,0.945073613,0.3338,0.493349098,0.0194,,,,,,,,
0.041,0,0.6567,0.942405421,0.3338,0.492984788,0.0204,,,,,,,,
0.042,0,0.6567,0.942405421,0.3338,0.492984788,0.0204,,,,,,,,
