threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.001,0.2413,0.4918,0.494542066,0.743,0.593829923,0.7594,,0.004,0.0001,0.4891,0.481161424,0.2784,0.352717598,0.3002
0.002,0.0165,0.4101,0.393860685,0.3336,0.361234434,0.5134,,,,,,,,
0.003,0.0024,0.4415,0.419399284,0.3044,0.352763936,0.4214,,,,,,,,
0.004,0.0001,0.4891,0.481161424,0.2784,0.352717598,0.3002,,,,,,,,
0.005,0.0001,0.492,0.485683608,0.2714,0.348216577,0.2874,,,,,,,,
0.006,0.0001,0.4688,0.435483871,0.2106,0.283904017,0.273,,,,,,,,
0.007,0,0.4727,0.440105309,0.2006,0.275587306,0.2552,,,,,,,,
0.008,0,0.453,0.368568233,0.1318,0.194166176,0.2258,,,,,,,,
0.009,0,0.461,0.357664234,0.098,0.153846154,0.176,,,,,,,,
0.01,0,0.4469,0.277451802,0.0662,0.106894881,0.1724,,,,,,,,
0.011,0,0.4508,0.281914894,0.0636,0.103785901,0.162,,,,,,,,
0.012,0,0.456,0.292843691,0.0622,0.102606401,0.1502,,,,,,,,
0.013,0,0.4762,0.350877193,0.056,0.096585029,0.1036,,,,,,,,
0.014,0,0.4979,0.478957916,0.0478,0.086924895,0.052,,,,,,,,
0.015,0,0.4992,0.491631799,0.047,0.085797736,0.0486,,,,,,,,
0.016,0,0.5002,0.502173913,0.0462,0.084615385,0.0458,,,,,,,,
0.017,0,0.49,0.33974359,0.0212,0.039909639,0.0412,,,,,,,,
0.018,0,0.4906,0.345394737,0.021,0.03959276,0.0398,,,,,,,,
0.019,0,0.4944,0.391472868,0.0202,0.038417649,0.0314,,,,,,,,
0.021,0,0.4948,0.393442623,0.0192,0.036613272,0.0296,,,,,,,,
0.02,0,0.4946,0.390243902,0.0192,0.036599314,0.03,,,,,,,,
0.022,0,0.495,0.393162393,0.0184,0.035154757,0.0284,,,,,,,,
0.023,0,0.4955,0.398190045,0.0176,0.033710017,0.0266,,,,,,,,
0.024,0,0.4959,0.402843602,0.017,0.032623297,0.0252,,,,,,,,
0.025,0,0.497,0.421052632,0.016,0.030828516,0.022,,,,,,,,
0.026,0,0.4973,0.427027027,0.0158,0.030472517,0.0212,,,,,,,,
0.027,0,0.4975,0.430939227,0.0156,0.030110017,0.0206,,,,,,,,
0.03,0,0.4993,0.476821192,0.0144,0.027955737,0.0158,,,,,,,,
0.029,0,0.4991,0.470588235,0.0144,0.027944886,0.0162,,,,,,,,
0.028,0,0.4975,0.426035503,0.0144,0.027858387,0.0194,,,,,,,,
0.033,0,0.4999,0.496503497,0.0142,0.027610344,0.0144,,,,,,,,
0.031,0,0.4996,0.48630137,0.0142,0.027594248,0.015,,,,,,,,
0.032,0,0.4996,0.48630137,0.0142,0.027594248,0.015,,,,,,,,
0.036,0,0.5007,0.526315789,0.014,0.027274498,0.0126,,,,,,,,
0.037,0,0.5007,0.526315789,0.014,0.027274498,0.0126,,,,,,,,
0.038,0,0.5007,0.526315789,0.014,0.027274498,0.0126,,,,,,,,
0.035,0,0.5004,0.514705882,0.014,0.027258567,0.0132,,,,,,,,
0.034,0,0.5,0.5,0.014,0.027237354,0.014,,,,,,,,
0.04,0,0.5007,0.526717557,0.0138,0.026895342,0.0124,,,,,,,,
0.039,0,0.5006,0.522727273,0.0138,0.026890101,0.0126,,,,,,,,
0.041,0,0.4995,0.478991597,0.0114,0.022269975,0.0124,,,,,,,,
0.042,0,0.499,0.455357143,0.0102,0.019953052,0.0122,,,,,,,,
0.043,0,0.499,0.455357143,0.0102,0.019953052,0.0122,,,,,,,,
0.044,0,0.499,0.455357143,0.0102,0.019953052,0.0122,,,,,,,,
0.045,0,0.4988,0.445454545,0.0098,0.019178082,0.0122,,,,,,,,
0.046,0,0.4987,0.440366972,0.0096,0.01879037,0.0122,,,,,,,,
0.047,0,0.4987,0.440366972,0.0096,0.01879037,0.0122,,,,,,,,
0.048,0,0.4987,0.440366972,0.0096,0.01879037,0.0122,,,,,,,,
0.049,0,0.4987,0.440366972,0.0096,0.01879037,0.0122,,,,,,,,
