threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.001,0.01,0.5169,0.525738654,0.3452,0.416757214,0.3114,,,0.008,0,0.6192,0.913888889,0.2632,0.408695652,0.0248
0.026,0,0.6278,0.979010495,0.2612,0.412377644,0.0056,,,,,,,,,
0.027,0,0.6278,0.979010495,0.2612,0.412377644,0.0056,,,,,,,,,
0.028,0,0.6278,0.979010495,0.2612,0.412377644,0.0056,,,,,,,,,
0.029,0,0.6278,0.979010495,0.2612,0.412377644,0.0056,,,,,,,,,
0.022,0,0.6276,0.97754491,0.2612,0.412247475,0.006,,,,,,,,,
0.023,0,0.6276,0.97754491,0.2612,0.412247475,0.006,,,,,,,,,
0.024,0,0.6276,0.97754491,0.2612,0.412247475,0.006,,,,,,,,,
0.025,0,0.6276,0.97754491,0.2612,0.412247475,0.006,,,,,,,,,
0.021,0,0.6275,0.976813762,0.2612,0.412182421,0.0062,,,,,,,,,
0.03,0,0.6275,0.981132075,0.26,0.411067194,0.005,,,,,,,,,
0.02,0,0.6245,0.955376737,0.2612,0.410240302,0.0122,,,,,,,,,
0.01,0,0.6209,0.925404645,0.263,0.409593521,0.0212,,,,,,,,,
0.012,0,0.6221,0.936383131,0.262,0.409438975,0.0178,,,,,,,,,
0.013,0,0.6221,0.936383131,0.262,0.409438975,0.0178,,,,,,,,,
0.014,0,0.6221,0.936383131,0.262,0.409438975,0.0178,,,,,,,,,
0.015,0,0.6221,0.936383131,0.262,0.409438975,0.0178,,,,,,,,,
0.009,0,0.6204,0.922159888,0.263,0.409274821,0.0222,,,,,,,,,
0.016,0,0.6222,0.93830703,0.2616,0.409133563,0.0172,,,,,,,,,
0.017,0,0.6222,0.93830703,0.2616,0.409133563,0.0172,,,,,,,,,
0.011,0,0.6216,0.933048433,0.262,0.4091193,0.0188,,,,,,,,,
0.033,0,0.6271,0.985485103,0.258,0.40893961,0.0038,,,,,,,,,
0.018,0,0.6221,0.938262742,0.2614,0.408884718,0.0172,,,,,,,,,
0.019,0,0.6221,0.938262742,0.2614,0.408884718,0.0172,,,,,,,,,
0.031,0,0.6266,0.98100304,0.2582,0.40880304,0.005,,,,,,,,,
0.032,0,0.6266,0.98100304,0.2582,0.40880304,0.005,,,,,,,,,
0.006,0,0.6192,0.913888889,0.2632,0.408695652,0.0248,,,,,,,,,
0.007,0,0.6192,0.913888889,0.2632,0.408695652,0.0248,,,,,,,,,
0.008,0,0.6192,0.913888889,0.2632,0.408695652,0.0248,,,,,,,,,
0.002,0.0058,0.5464,0.589437163,0.3058,0.402686331,0.213,,,,,,,,,
0.005,0,0.6065,0.839388145,0.2634,0.400974273,0.0504,,,,,,,,,
0.003,0.0046,0.5637,0.639509417,0.292,0.400933681,0.1646,,,,,,,,,
0.004,0,0.6018,0.809610706,0.2662,0.400662252,0.0626,,,,,,,,,
0.034,0,0.5959,0.982880161,0.1952,0.325713332,0.0034,,,,,,,,,
0.035,0,0.539,0.95990566,0.0814,0.150073746,0.0034,,,,,,,,,
0.036,0,0.5116,0.886666667,0.0266,0.051650485,0.0034,,,,,,,,,
0.037,0,0.5114,0.885135135,0.0262,0.050893551,0.0034,,,,,,,,,
0.047,0,0.5019,0.693877551,0.0068,0.013468013,0.003,,,,,,,,,
0.048,0,0.5019,0.693877551,0.0068,0.013468013,0.003,,,,,,,,,
0.049,0,0.5019,0.693877551,0.0068,0.013468013,0.003,,,,,,,,,
0.038,0,0.5017,0.666666667,0.0068,0.013462681,0.0034,,,,,,,,,
0.039,0,0.5017,0.666666667,0.0068,0.013462681,0.0034,,,,,,,,,
0.04,0,0.5017,0.666666667,0.0068,0.013462681,0.0034,,,,,,,,,
0.041,0,0.5017,0.666666667,0.0068,0.013462681,0.0034,,,,,,,,,
0.042,0,0.5017,0.666666667,0.0068,0.013462681,0.0034,,,,,,,,,
0.043,0,0.5017,0.666666667,0.0068,0.013462681,0.0034,,,,,,,,,
0.044,0,0.5017,0.666666667,0.0068,0.013462681,0.0034,,,,,,,,,
0.045,0,0.5017,0.666666667,0.0068,0.013462681,0.0034,,,,,,,,,
0.046,0,0.5017,0.666666667,0.0068,0.013462681,0.0034,,,,,,,,,
