threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.02,0.343283582,0.848,0.954545455,0.7308,0.827820571,0.0348,,,,,,,,
0.019,0.343283582,0.8442,0.941735113,0.7338,0.824865108,0.0454,,,,,,,,
0.018,0.343283582,0.843,0.937723328,0.7348,0.823951559,0.0488,,,,,,,,
0.017,0.656716418,0.8414,0.926323676,0.7418,0.823856064,0.059,,0.046,0,0.6619,0.969820081,0.3342,0.497099509,0.0104
0.022,0.268656716,0.8446,0.961188437,0.7182,0.822115385,0.029,,,,,,,,
0.021,0.268656716,0.8437,0.957900346,0.719,0.821432652,0.0316,,,,,,,,
0.016,0.656716418,0.8318,0.885097493,0.7626,0.81929523,0.099,,,,,,,,
0.011,0.776119403,0.8151,0.8015311,0.8376,0.819168704,0.2074,,,,,,,,
0.015,0.656716418,0.8287,0.878076835,0.7634,0.816732641,0.106,,,,,,,,
0.01,0.776119403,0.8099,0.789572043,0.845,0.816346247,0.2252,,,,,,,,
0.009,0.776119403,0.8036,0.777412281,0.8508,0.812452254,0.2436,,,,,,,,
0.014,0.701492537,0.8164,0.835596097,0.7878,0.810994441,0.155,,,,,,,,
0.013,0.701492537,0.8139,0.828141334,0.7922,0.809772054,0.1644,,,,,,,,
0.008,0.776119403,0.7991,0.769799747,0.8534,0.809447026,0.2552,,,,,,,,
0.012,0.701492537,0.8119,0.820423259,0.7986,0.809364548,0.1748,,,,,,,,
0.007,0.820895522,0.7861,0.751627089,0.8546,0.799812822,0.2824,,,,,,,,
0.006,0.820895522,0.7742,0.732530529,0.8638,0.792767988,0.3154,,,,,,,,
0.005,0.820895522,0.7559,0.70958231,0.8664,0.780189104,0.3546,,,,,,,,
0.004,0.820895522,0.7277,0.673366834,0.8844,0.764588917,0.429,,,,,,,,
0.003,0.835820896,0.7022,0.645383952,0.8976,0.750878367,0.4932,,,,,,,,
0.002,0.880597015,0.6534,0.601401375,0.9098,0.724132442,0.603,,,,,,,,
0.001,0.970149254,0.5104,0.505284553,0.9944,0.670080863,0.9736,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.023,0.268656716,0.733,0.946360153,0.494,0.649145861,0.028,,,,,,,,
0.024,0.268656716,0.7323,0.947936753,0.4916,0.64743843,0.027,,,,,,,,
0.025,0.194029851,0.7311,0.9483896,0.4888,0.645110202,0.0266,,,,,,,,
0.026,0.194029851,0.731,0.948717949,0.4884,0.644837602,0.0264,,,,,,,,
0.027,0.194029851,0.7217,0.946795647,0.4698,0.62799091,0.0264,,,,,,,,
0.028,0.194029851,0.7216,0.947134786,0.4694,0.627707943,0.0262,,,,,,,,
0.031,0.029850746,0.7238,0.963545982,0.4652,0.627461559,0.0176,,,,,,,,
0.032,0.029850746,0.7232,0.963840399,0.4638,0.626248987,0.0174,,,,,,,,
0.035,0.029850746,0.7235,0.966597077,0.463,0.626098715,0.016,,,,,,,,
0.03,0.029850746,0.7216,0.953355155,0.466,0.626007523,0.0228,,,,,,,,
0.034,0.029850746,0.7232,0.965,0.4632,0.625945946,0.0168,,,,,,,,
0.029,0.029850746,0.7213,0.951817068,0.4662,0.62585582,0.0236,,,,,,,,
0.033,0.029850746,0.723,0.964196503,0.4632,0.625776817,0.0172,,,,,,,,
0.039,0.014925373,0.7204,0.968139337,0.4558,0.619798749,0.015,,,,,,,,
0.038,0.014925373,0.7203,0.967728238,0.4558,0.61971448,0.0152,,,,,,,,
0.036,0.014925373,0.7202,0.967317487,0.4558,0.619630234,0.0154,,,,,,,,
0.037,0.014925373,0.7202,0.967317487,0.4558,0.619630234,0.0154,,,,,,,,
0.04,0,0.7203,0.968125797,0.4556,0.619611043,0.015,,,,,,,,
0.043,0,0.7209,0.973424775,0.4542,0.619391791,0.0124,,,,,,,,
0.044,0,0.7209,0.973424775,0.4542,0.619391791,0.0124,,,,,,,,
0.045,0,0.7209,0.973424775,0.4542,0.619391791,0.0124,,,,,,,,
0.041,0,0.7202,0.969709898,0.4546,0.619008715,0.0142,,,,,,,,
0.042,0,0.7202,0.969709898,0.4546,0.619008715,0.0142,,,,,,,,
0.046,0,0.6619,0.969820081,0.3342,0.497099509,0.0104,,,,,,,,
0.048,0,0.6619,0.970366066,0.334,0.496949859,0.0102,,,,,,,,
0.049,0,0.6619,0.970366066,0.334,0.496949859,0.0102,,,,,,,,
0.047,0,0.6618,0.969802555,0.334,0.49687593,0.0104,,,,,,,,
