threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,8.88E-16,0.336,0.5071,0.512513218,0.2908,0.371060355,0.2766
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
-1.62,0.728,0.6278,0.584412153,0.8848,0.70389817,0.6292,,,,,,,,
-1.63,0.81,0.6085,0.567249287,0.9152,0.700390296,0.6982,,,,,,,,
-1.65,0.812,0.6069,0.565833231,0.9188,0.700358259,0.705,,,,,,,,
-1.66,0.812,0.6067,0.56569388,0.9188,0.700251505,0.7054,,,,,,,,
-1.67,0.812,0.6066,0.56562423,0.9188,0.700198141,0.7056,,,,,,,,
-1.64,0.812,0.6076,0.566534751,0.9162,0.700137552,0.701,,,,,,,,
-1.68,0.812,0.6057,0.564998155,0.9188,0.699718224,0.7074,,,,,,,,
-1.69,0.812,0.6051,0.564565671,0.919,0.699444402,0.7088,,,,,,,,
-1.7,0.812,0.6045,0.564149785,0.919,0.699125143,0.71,,,,,,,,
-1.71,0.812,0.6042,0.563942072,0.919,0.698965622,0.7106,,,,,,,,
-1.72,0.844,0.5993,0.56045294,0.9206,0.696738061,0.722,,,,,,,,
-1.73,0.844,0.5958,0.557934204,0.9226,0.695357251,0.731,,,,,,,,
-1.74,0.844,0.5277,0.514580482,0.9776,0.674253397,0.9222,,,,,,,,
-1.75,0.844,0.5076,0.503860219,0.992,0.668283482,0.9768,,,,,,,,
-1.76,0.844,0.5043,0.502171937,0.9942,0.667293107,0.9856,,,,,,,,
-1.78,0.844,0.5034,0.50171371,0.9954,0.667158177,0.9886,,,,,,,,
-1.79,0.844,0.5031,0.501561713,0.9956,0.667068677,0.9894,,,,,,,,
-1.77,0.844,0.5031,0.501563603,0.9944,0.666800778,0.9882,,,,,,,,
-1.94,1,0.5004,0.50020012,0.9998,0.666800053,0.999,,,,,,,,
-1.93,1,0.5004,0.50020012,0.9998,0.666800053,0.999,,,,,,,,
-1.92,1,0.5004,0.50020012,0.9998,0.666800053,0.999,,,,,,,,
-1.91,1,0.5004,0.50020012,0.9998,0.666800053,0.999,,,,,,,,
-1.9,1,0.5004,0.50020012,0.9998,0.666800053,0.999,,,,,,,,
-1.89,1,0.5004,0.50020012,0.9998,0.666800053,0.999,,,,,,,,
-1.88,1,0.5004,0.50020012,0.9998,0.666800053,0.999,,,,,,,,
-1.87,1,0.5004,0.50020012,0.9998,0.666800053,0.999,,,,,,,,
-1.86,1,0.5004,0.50020012,0.9998,0.666800053,0.999,,,,,,,,
-1.85,1,0.5004,0.50020012,0.9998,0.666800053,0.999,,,,,,,,
-1.84,1,0.5004,0.50020012,0.9998,0.666800053,0.999,,,,,,,,
-1.83,1,0.5004,0.50020012,0.9998,0.666800053,0.999,,,,,,,,
-1.97,1,0.5003,0.500150045,1,0.666800027,0.9994,,,,,,,,
-1.96,1,0.5003,0.500150045,1,0.666800027,0.9994,,,,,,,,
-1.95,1,0.5003,0.500150045,1,0.666800027,0.9994,,,,,,,,
-2.03,1,0.5002,0.50010002,1,0.666755567,0.9996,,,,,,,,
-2.02,1,0.5002,0.50010002,1,0.666755567,0.9996,,,,,,,,
-2.01,1,0.5002,0.50010002,1,0.666755567,0.9996,,,,,,,,
-2,1,0.5002,0.50010002,1,0.666755567,0.9996,,,,,,,,
-1.99,1,0.5002,0.50010002,1,0.666755567,0.9996,,,,,,,,
-1.98,1,0.5002,0.50010002,1,0.666755567,0.9996,,,,,,,,
-3,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.99,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.98,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.97,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.96,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.95,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.94,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.93,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.92,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.91,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.9,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.89,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.88,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.87,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.86,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.85,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.84,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.83,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.82,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.81,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.8,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.79,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.78,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.77,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.76,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.75,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.74,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.73,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.72,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.71,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.7,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.69,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.68,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.67,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.66,1,0.5,0.5,1,0.666666667,1,,,,,,,,
