threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
-0.89,0.7583,0.7788,0.919122069,0.6114,0.734326207,0.0538,,-1.72,0.0003,0.6412,0.64526749,0.6272,0.636105477,0.3448,
-0.68,0.7583,0.7809,0.932819723,0.6054,0.73426319,0.0436,,,,,,,,,
-0.7,0.7583,0.7807,0.932245149,0.6054,0.734085122,0.044,,,,,,,,,
-0.69,0.7583,0.7807,0.932245149,0.6054,0.734085122,0.044,,,,,,,,,
-0.81,0.7583,0.7803,0.930568356,0.6058,0.733858268,0.0452,,,,,,,,,
-0.82,0.7583,0.7802,0.930282555,0.6058,0.73376938,0.0454,,,,,,,,,
-0.76,0.7583,0.7803,0.931098124,0.6054,0.733729245,0.0448,,,,,,,,,
-0.75,0.7583,0.7803,0.931098124,0.6054,0.733729245,0.0448,,,,,,,,,
-0.74,0.7583,0.7803,0.931098124,0.6054,0.733729245,0.0448,,,,,,,,,
-0.73,0.7583,0.7803,0.931098124,0.6054,0.733729245,0.0448,,,,,,,,,
-0.72,0.7583,0.7803,0.931098124,0.6054,0.733729245,0.0448,,,,,,,,,
-0.71,0.7583,0.7803,0.931098124,0.6054,0.733729245,0.0448,,,,,,,,,
-0.87,0.7583,0.7797,0.927283837,0.607,0.733712075,0.0476,,,,,,,,,
-0.8,0.7583,0.7802,0.930547019,0.6056,0.73370487,0.0452,,,,,,,,,
-0.79,0.7583,0.7802,0.930547019,0.6056,0.73370487,0.0452,,,,,,,,,
-0.77,0.7583,0.7802,0.930811808,0.6054,0.73364033,0.045,,,,,,,,,
-0.78,0.7583,0.7801,0.930525669,0.6054,0.733551436,0.0452,,,,,,,,,
-0.83,0.7583,0.7799,0.929426204,0.6058,0.733502845,0.046,,,,,,,,,
-0.88,0.7583,0.779,0.923754557,0.6082,0.733478051,0.0502,,,,,,,,,
-0.86,0.7583,0.7796,0.92804654,0.6062,0.733365594,0.047,,,,,,,,,
-0.84,0.7583,0.7797,0.928856179,0.6058,0.733325263,0.0464,,,,,,,,,
-0.85,0.7583,0.7795,0.928024502,0.606,0.733212341,0.047,,,,,,,,,
-0.55,0.7583,0.7804,0.934324659,0.6032,0.733106466,0.0424,,,,,,,,,
-0.54,0.7583,0.7804,0.934324659,0.6032,0.733106466,0.0424,,,,,,,,,
-0.53,0.7583,0.7804,0.934593924,0.603,0.733041575,0.0422,,,,,,,,,
-0.52,0.7583,0.7804,0.934593924,0.603,0.733041575,0.0422,,,,,,,,,
-0.6,0.7583,0.7803,0.934035305,0.6032,0.733017378,0.0426,,,,,,,,,
-0.59,0.7583,0.7803,0.934035305,0.6032,0.733017378,0.0426,,,,,,,,,
-0.58,0.7583,0.7803,0.934035305,0.6032,0.733017378,0.0426,,,,,,,,,
-0.57,0.7583,0.7803,0.934035305,0.6032,0.733017378,0.0426,,,,,,,,,
-0.56,0.7583,0.7803,0.934035305,0.6032,0.733017378,0.0426,,,,,,,,,
-0.67,0.7583,0.7802,0.933477723,0.6034,0.732993197,0.043,,,,,,,,,
-0.66,0.7583,0.7802,0.933477723,0.6034,0.732993197,0.043,,,,,,,,,
-0.65,0.7583,0.7802,0.933477723,0.6034,0.732993197,0.043,,,,,,,,,
-0.62,0.7583,0.7802,0.93374613,0.6032,0.732928311,0.0428,,,,,,,,,
-0.61,0.7583,0.7802,0.93374613,0.6032,0.732928311,0.0428,,,,,,,,,
-0.51,0.7583,0.7804,0.935133457,0.6026,0.7329117,0.0418,,,,,,,,,
-0.64,0.7583,0.7801,0.933457134,0.6032,0.732839266,0.043,,,,,,,,,
-0.63,0.7583,0.7801,0.933457134,0.6032,0.732839266,0.043,,,,,,,,,
-0.5,0.7583,0.7803,0.93538366,0.6022,0.732692542,0.0416,,,,,,,,,
-0.49,0.7583,0.7802,0.93536358,0.602,0.73253833,0.0416,,,,,,,,,
-0.48,0.7583,0.7801,0.935343488,0.6018,0.732384082,0.0416,,,,,,,,,
