threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,-1.71,0.0927,0.492,0.488757729,0.3478,0.406403365,0.3638
-1.99,1,0.6505,0.591734731,0.9708,0.735287435,0.6698,,,,,,,,
-2,1,0.6467,0.588963008,0.9712,0.733257833,0.6778,,,,,,,,
-2.01,1,0.6425,0.585978038,0.9712,0.730940017,0.6862,,,,,,,,
-1.9,0.9999,0.642,0.591447707,0.9184,0.71952366,0.6344,,,,,,,,
-1.91,0.9999,0.6407,0.590273322,0.92,0.719143281,0.6386,,,,,,,,
-1.92,0.9999,0.6395,0.589297145,0.9206,0.718601202,0.6416,,,,,,,,
-1.94,0.9999,0.6371,0.587069732,0.9244,0.718092131,0.6502,,,,,,,,
-1.93,0.9999,0.6375,0.587590776,0.9224,0.717876878,0.6474,,,,,,,,
-1.97,1,0.6351,0.585322723,0.9268,0.717504064,0.6566,,,,,,,,
-1.95,1,0.6359,0.586154431,0.9246,0.717467215,0.6528,,,,,,,,
-1.98,1,0.6344,0.584784254,0.927,0.717159214,0.6582,,,,,,,,
-1.96,1,0.635,0.585399798,0.9254,0.717141971,0.6554,,,,,,,,
-2.02,1,0.5988,0.556366956,0.9752,0.708514967,0.7776,,,,,,,,
-2.03,1,0.5834,0.546675621,0.9768,0.70101909,0.81,,,,,,,,
-2.04,1,0.5828,0.546298367,0.977,0.700760293,0.8114,,,,,,,,
-2.05,1,0.5732,0.540087623,0.9862,0.697947629,0.8398,,,,,,,,
-2.07,1,0.5721,0.539429071,0.9864,0.697447501,0.8422,,,,,,,,
-2.06,1,0.5721,0.539429071,0.9864,0.697447501,0.8422,,,,,,,,
-2.08,1,0.5717,0.539193178,0.9864,0.6972503,0.843,,,,,,,,
-2.09,1,0.5679,0.536842105,0.9894,0.696025325,0.8536,,,,,,,,
-2.1,1,0.5333,0.517230674,0.9996,0.681715884,0.933,,,,,,,,
-2.11,1,0.533,0.517070143,0.9996,0.681576435,0.9336,,,,,,,,
-2.12,1,0.5326,0.516856256,0.9996,0.681390593,0.9344,,,,,,,,
-3,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.99,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.98,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.97,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.96,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.95,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.94,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.93,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.92,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.91,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.9,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.89,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.88,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.87,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.86,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.85,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.84,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.83,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.82,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.81,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.8,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.79,1,0.5,0.5,1,0.666666667,1,,,,,,,,
-2.78,1,0.5,0.5,1,0.666666667,1,,,,,,,,
