threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,0.3,0.2183,0.6764,0.762343843,0.5126,0.613011241,0.1598
-3,0.2738,0.7748,0.752852411,0.8182,0.784167146,0.2686,,,,,,,,
-2.98,0.2731,0.7747,0.752900018,0.8178,0.784009203,0.2684,,,,,,,,
-2.97,0.2728,0.7747,0.752900018,0.8178,0.784009203,0.2684,,,,,,,,
-2.96,0.2728,0.7747,0.752900018,0.8178,0.784009203,0.2684,,,,,,,,
-2.95,0.2728,0.7747,0.752900018,0.8178,0.784009203,0.2684,,,,,,,,
-2.99,0.2732,0.7746,0.752761414,0.8178,0.783934049,0.2686,,,,,,,,
-2.94,0.2727,0.7746,0.752854512,0.8176,0.783892617,0.2684,,,,,,,,
-2.93,0.2726,0.7746,0.752854512,0.8176,0.783892617,0.2684,,,,,,,,
-2.92,0.2725,0.7745,0.752808989,0.8174,0.783776009,0.2684,,,,,,,,
-2.91,0.2725,0.7744,0.752763449,0.8172,0.783659379,0.2684,,,,,,,,
-2.9,0.2725,0.7744,0.752763449,0.8172,0.783659379,0.2684,,,,,,,,
-2.86,0.2724,0.7743,0.75281106,0.8168,0.783501199,0.2682,,,,,,,,
-2.84,0.2722,0.7743,0.752904297,0.8166,0.783459657,0.268,,,,,,,,
-2.83,0.272,0.7743,0.752904297,0.8166,0.783459657,0.268,,,,,,,,
-2.89,0.2725,0.7742,0.752672318,0.8168,0.78342605,0.2684,,,,,,,,
-2.88,0.2725,0.7742,0.752672318,0.8168,0.78342605,0.2684,,,,,,,,
-2.87,0.2725,0.7742,0.752672318,0.8168,0.78342605,0.2684,,,,,,,,
-2.85,0.2723,0.7742,0.752765487,0.8166,0.783384497,0.2682,,,,,,,,
-2.81,0.2711,0.7743,0.753184419,0.816,0.783334933,0.2674,,,,,,,,
-2.82,0.2718,0.7742,0.75295203,0.8162,0.783301344,0.2678,,,,,,,,
-2.8,0.2711,0.7741,0.753093259,0.8156,0.783101296,0.2674,,,,,,,,
-2.79,0.271,0.7741,0.753093259,0.8156,0.783101296,0.2674,,,,,,,,
-2.75,0.2703,0.7742,0.753607103,0.8148,0.783009802,0.2664,,,,,,,,
-2.73,0.2699,0.7742,0.753700962,0.8146,0.782968089,0.2662,,,,,,,,
-2.72,0.2697,0.7742,0.753700962,0.8146,0.782968089,0.2662,,,,,,,,
-2.76,0.2704,0.7741,0.753467727,0.8148,0.782934563,0.2666,,,,,,,,
-2.74,0.2702,0.7741,0.753561517,0.8146,0.78289284,0.2664,,,,,,,,
-2.78,0.271,0.7739,0.753002032,0.8152,0.782867569,0.2674,,,,,,,,
-2.77,0.2705,0.7739,0.753189129,0.8148,0.782784129,0.267,,,,,,,,
-2.71,0.2697,0.774,0.753609774,0.8142,0.78273409,0.2662,,,,,,,,
-1.06,0.2499,0.7787,0.769796709,0.7952,0.782292179,0.2378,,,,,,,,
-1.05,0.2499,0.7787,0.769796709,0.7952,0.782292179,0.2378,,,,,,,,
-1.04,0.2499,0.7787,0.769796709,0.7952,0.782292179,0.2378,,,,,,,,
-1.03,0.2499,0.7787,0.769796709,0.7952,0.782292179,0.2378,,,,,,,,
-1.02,0.2499,0.7787,0.769796709,0.7952,0.782292179,0.2378,,,,,,,,
-2.7,0.2697,0.7736,0.753427195,0.8134,0.78226582,0.2662,,,,,,,,
-2.69,0.2697,0.7736,0.753427195,0.8134,0.78226582,0.2662,,,,,,,,
-2.68,0.2694,0.7736,0.753521127,0.8132,0.782223932,0.266,,,,,,,,
-1.11,0.2502,0.7786,0.769647696,0.7952,0.782215227,0.238,,,,,,,,
-1.1,0.2502,0.7786,0.769647696,0.7952,0.782215227,0.238,,,,,,,,
-1.09,0.2502,0.7786,0.769647696,0.7952,0.782215227,0.238,,,,,,,,
-1.08,0.2502,0.7786,0.769647696,0.7952,0.782215227,0.238,,,,,,,,
-1.07,0.2499,0.7786,0.769647696,0.7952,0.782215227,0.238,,,,,,,,
-1.15,0.2502,0.7785,0.769498742,0.7952,0.782138291,0.2382,,,,,,,,
-1.14,0.2502,0.7785,0.769498742,0.7952,0.782138291,0.2382,,,,,,,,
-1.13,0.2502,0.7785,0.769498742,0.7952,0.782138291,0.2382,,,,,,,,
-1.12,0.2502,0.7785,0.769498742,0.7952,0.782138291,0.2382,,,,,,,,
-1.18,0.2502,0.7784,0.769349845,0.7952,0.782061369,0.2384,,,,,,,,
-1.17,0.2502,0.7784,0.769349845,0.7952,0.782061369,0.2384,,,,,,,,
-1.16,0.2502,0.7784,0.769349845,0.7952,0.782061369,0.2384,,,,,,,,
-1.24,0.2502,0.7783,0.769096886,0.7954,0.782027333,0.2388,,,,,,,,
-1.23,0.2502,0.7783,0.769096886,0.7954,0.782027333,0.2388,,,,,,,,
-2.67,0.2693,0.7735,0.753663513,0.8126,0.782022904,0.2656,,,,,,,,
-1.22,0.2502,0.7783,0.769201006,0.7952,0.781984463,0.2386,,,,,,,,
-1.21,0.2502,0.7783,0.769201006,0.7952,0.781984463,0.2386,,,,,,,,
-1.2,0.2502,0.7783,0.769201006,0.7952,0.781984463,0.2386,,,,,,,,
-1.19,0.2502,0.7783,0.769201006,0.7952,0.781984463,0.2386,,,,,,,,
-1.54,0.2513,0.7775,0.766673073,0.7978,0.781926884,0.2428,,,,,,,,
-1.46,0.2508,0.7776,0.76712856,0.7972,0.781875245,0.242,,,,,,,,
-1.45,0.2507,0.7776,0.76712856,0.7972,0.781875245,0.242,,,,,,,,
-1.44,0.2507,0.7776,0.76712856,0.7972,0.781875245,0.242,,,,,,,,
-1.26,0.2502,0.7781,0.768799536,0.7954,0.781873587,0.2392,,,,,,,,
-1.25,0.2502,0.7781,0.768799536,0.7954,0.781873587,0.2392,,,,,,,,
-2.64,0.2658,0.774,0.755597015,0.81,0.781853282,0.262,,,,,,,,
-1.55,0.2513,0.7774,0.766525749,0.7978,0.781850255,0.243,,,,,,,,
-1.27,0.2502,0.778,0.768650947,0.7954,0.781796737,0.2394,,,,,,,,
-1.6,0.2513,0.7773,0.766378482,0.7978,0.78177364,0.2432,,,,,,,,
-1.59,0.2513,0.7773,0.766378482,0.7978,0.78177364,0.2432,,,,,,,,
-1.58,0.2513,0.7773,0.766378482,0.7978,0.78177364,0.2432,,,,,,,,
-1.57,0.2513,0.7773,0.766378482,0.7978,0.78177364,0.2432,,,,,,,,
-1.56,0.2513,0.7773,0.766378482,0.7978,0.78177364,0.2432,,,,,,,,
-1.43,0.2507,0.7775,0.767083734,0.797,0.781755763,0.242,,,,,,,,
-1.65,0.2522,0.7771,0.765777863,0.7984,0.781748752,0.2442,,,,,,,,
-1.42,0.2507,0.7775,0.767186597,0.7968,0.78171294,0.2418,,,,,,,,
-1.63,0.2522,0.7771,0.76587987,0.7982,0.781706003,0.244,,,,,,,,
-1.53,0.2512,0.7773,0.766583349,0.7974,0.78168807,0.2428,,,,,,,,
