threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,8.88E-16,0.46268657,0.5616,0.806772908,0.162,0.26982012,0.0388
-2.31,0.9402985,0.6966,0.629580807,0.9552,0.758938503,0.562,,,,,,,,
-2.32,1,0.6863,0.620644994,0.9584,0.75339989,0.5858,,,,,,,,
-2.33,1,0.6826,0.617503218,0.9596,0.751448708,0.5944,,,,,,,,
-2.34,1,0.6813,0.616352201,0.9604,0.750840435,0.5978,,,,,,,,
-2.35,1,0.6801,0.615404332,0.9604,0.750136687,0.6002,,,,,,,,
-2.36,1,0.6789,0.614430088,0.9606,0.749473356,0.6028,,,,,,,,
-2.37,1,0.6784,0.614037331,0.9606,0.749181095,0.6038,,,,,,,,
-2.38,1,0.6775,0.613331631,0.9606,0.7486556,0.6056,,,,,,,,
-2.39,1,0.6769,0.61283327,0.9608,0.748344887,0.607,,,,,,,,
-2.4,1,0.6722,0.608657244,0.9646,0.746363355,0.6202,,,,,,,,
-2.41,1,0.6642,0.601861042,0.9702,0.74287902,0.6418,,,,,,,,
-2.42,1,0.6606,0.599111331,0.9708,0.740955579,0.6496,,,,,,,,
-2.43,1,0.6581,0.597268365,0.9708,0.73954445,0.6546,,,,,,,,
-2.44,1,0.6531,0.593593349,0.971,0.736778208,0.6648,,,,,,,,
-2.45,1,0.6464,0.588770313,0.971,0.733051487,0.6782,,,,,,,,
-2.46,1,0.6343,0.580236587,0.9712,0.726456728,0.7026,,,,,,,,
-2.47,1,0.6254,0.573973572,0.973,0.72202434,0.7222,,,,,,,,
-2.48,1,0.6214,0.571260859,0.9732,0.719928984,0.7304,,,,,,,,
-2.49,1,0.6197,0.570123023,0.9732,0.719024751,0.7338,,,,,,,,
-2.5,1,0.6174,0.568574766,0.9734,0.717846608,0.7386,,,,,,,,
-2.51,1,0.6163,0.567845059,0.9734,0.717264756,0.7408,,,,,,,,
-2.52,1,0.6153,0.567183312,0.9734,0.716736617,0.7428,,,,,,,,
-2.53,1,0.6139,0.566259453,0.9734,0.715998529,0.7456,,,,,,,,
-2.54,1,0.6133,0.565864434,0.9734,0.71568267,0.7468,,,,,,,,
-2.55,1,0.6126,0.565404275,0.9734,0.715314521,0.7482,,,,,,,,
-2.56,1,0.612,0.565010448,0.9734,0.714999265,0.7494,,,,,,,,
-2.57,1,0.6114,0.564617169,0.9734,0.714684288,0.7506,,,,,,,,
-2.58,1,0.6101,0.563766941,0.9734,0.714002787,0.7532,,,,,,,,
-2.59,1,0.6089,0.562984384,0.9734,0.713374863,0.7556,,,,,,,,
-2.6,1,0.6084,0.56265896,0.9734,0.713113553,0.7566,,,,,,,,
-2.61,1,0.6078,0.562268946,0.9734,0.712800234,0.7578,,,,,,,,
-2.62,1,0.6072,0.561808118,0.9744,0.712697484,0.76,,,,,,,,
-2.65,1,0.6063,0.561197467,0.9748,0.712312751,0.7622,,,,,,,,
-2.63,1,0.6063,0.561211563,0.9746,0.712270701,0.762,,,,,,,,
-2.66,1,0.6062,0.561132857,0.9748,0.712260704,0.7624,,,,,,,,
-2.64,1,0.6062,0.561146937,0.9746,0.71221865,0.7622,,,,,,,,
-2.67,1,0.6061,0.561068263,0.9748,0.712208665,0.7626,,,,,,,,
-2.69,1,0.606,0.561003683,0.9748,0.712156634,0.7628,,,,,,,,
-2.68,1,0.606,0.561003683,0.9748,0.712156634,0.7628,,,,,,,,
-2.73,1,0.6058,0.560860561,0.975,0.712094654,0.7634,,,,,,,,
-2.72,1,0.6058,0.560860561,0.975,0.712094654,0.7634,,,,,,,,
-2.74,1,0.6057,0.560796043,0.975,0.71204265,0.7636,,,,,,,,
