threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,0,0,0.5006,0.75,0.0018,0.003591381,0.0006
-2.96,0.0002,0.5362,0.665447898,0.1456,0.238923531,0.0732,,,,,,,,
-2.97,0.0002,0.5361,0.664840183,0.1456,0.238884331,0.0734,,,,,,,,
-2.98,0.0002,0.5357,0.662420382,0.1456,0.23872766,0.0742,,,,,,,,
-3,0.0002,0.5348,0.656756757,0.1458,0.238625205,0.0762,,,,,,,,
-2.99,0.0002,0.5351,0.658823529,0.1456,0.238493038,0.0754,,,,,,,,
-2.95,0.0002,0.5361,0.665444546,0.1452,0.238384502,0.073,,,,,,,,
-2.94,0.0002,0.5364,0.667587477,0.145,0.238251725,0.0722,,,,,,,,
-2.93,0.0002,0.5364,0.667587477,0.145,0.238251725,0.0722,,,,,,,,
-2.91,0.0002,0.5365,0.668513389,0.1448,0.238040441,0.0718,,,,,,,,
-2.92,0.0002,0.5363,0.667281106,0.1448,0.237962202,0.0722,,,,,,,,
-2.89,0.0002,0.5367,0.670064875,0.1446,0.23786807,0.0712,,,,,,,,
-2.9,0.0002,0.5365,0.668825162,0.1446,0.237789837,0.0716,,,,,,,,
-2.87,0.0002,0.5369,0.67194781,0.1442,0.237444426,0.0704,,,,,,,,
-2.88,0.0002,0.5366,0.670074349,0.1442,0.237327189,0.071,,,,,,,,
-2.86,0.0002,0.5369,0.672268908,0.144,0.237193214,0.0702,,,,,,,,
-2.85,0.0002,0.5368,0.672284644,0.1436,0.236651285,0.07,,,,,,,,
-2.84,0.0002,0.5367,0.672300469,0.1432,0.236108821,0.0698,,,,,,,,
-2.83,0.0002,0.5366,0.671992481,0.143,0.235817942,0.0698,,,,,,,,
-2.82,0.0002,0.5365,0.671683913,0.1428,0.235526967,0.0698,,,,,,,,
-2.81,0.0002,0.5364,0.671374765,0.1426,0.235235896,0.0698,,,,,,,,
-2.8,0.0002,0.5363,0.671065033,0.1424,0.234944729,0.0698,,,,,,,,
-2.79,0.0002,0.5363,0.671065033,0.1424,0.234944729,0.0698,,,,,,,,
-2.78,0.0002,0.5363,0.671388102,0.1422,0.234692193,0.0696,,,,,,,,
-2.77,1.00E-04,0.5363,0.671388102,0.1422,0.234692193,0.0696,,,,,,,,
-2.76,1.00E-04,0.5363,0.671388102,0.1422,0.234692193,0.0696,,,,,,,,
-2.75,1.00E-04,0.536,0.670454545,0.1416,0.233817701,0.0696,,,,,,,,
-2.73,0,0.536,0.670777989,0.1414,0.233564585,0.0694,,,,,,,,
-2.74,1.00E-04,0.5359,0.67014218,0.1414,0.233526012,0.0696,,,,,,,,
-2.71,0,0.5361,0.672068637,0.141,0.23309638,0.0688,,,,,,,,
-2.72,0,0.5359,0.670789724,0.141,0.233019336,0.0692,,,,,,,,
-2.7,0,0.5361,0.672397326,0.1408,0.232842732,0.0686,,,,,,,,
-2.69,0,0.5359,0.672099712,0.1402,0.232003972,0.0684,,,,,,,,
-2.68,0,0.5357,0.671469741,0.1398,0.231418639,0.0684,,,,,,,,
-2.67,0,0.5357,0.671799808,0.1396,0.2311641,0.0682,,,,,,,,
-2.65,0,0.536,0.674081238,0.1394,0.231024196,0.0674,,,,,,,,
-2.64,0,0.536,0.674081238,0.1394,0.231024196,0.0674,,,,,,,,
-2.66,0,0.5356,0.671483622,0.1394,0.230871149,0.0682,,,,,,,,
-2.61,0,0.5359,0.674441205,0.1388,0.2302206,0.067,,,,,,,,
-2.62,0,0.5358,0.673786408,0.1388,0.230182421,0.0672,,,,,,,,
-2.63,0,0.5357,0.673132881,0.1388,0.230144255,0.0674,,,,,,,,
-2.6,0,0.536,0.67578125,0.1384,0.229747676,0.0664,,,,,,,,
