threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
-3,0.196,0.3404,0.238360656,0.1454,0.180621118,0.4646,,8.88E-16,0,0.501,0.65625,0.0042,0.008346582,0.0022
-2.99,0.196,0.3403,0.237938956,0.145,0.180191376,0.4644,,,,,,,,
-2.98,0.196,0.3402,0.237688772,0.1448,0.1799652,0.4644,,,,,,,,
-2.97,0.196,0.3402,0.237688772,0.1448,0.1799652,0.4644,,,,,,,,
-2.96,0.196,0.34,0.236668861,0.1438,0.178900224,0.4638,,,,,,,,
-2.9,0.196,0.3407,0.236868186,0.1434,0.178647066,0.462,,,,,,,,
-2.89,0.196,0.3407,0.236868186,0.1434,0.178647066,0.462,,,,,,,,
-2.91,0.196,0.3406,0.23678996,0.1434,0.178624813,0.4622,,,,,,,,
-2.92,0.196,0.3405,0.236711786,0.1434,0.178602566,0.4624,,,,,,,,
-2.94,0.196,0.3402,0.236477573,0.1434,0.178535857,0.463,,,,,,,,
-2.93,0.196,0.3402,0.236477573,0.1434,0.178535857,0.463,,,,,,,,
-2.95,0.196,0.34,0.236321688,0.1434,0.178491412,0.4634,,,,,,,,
-2.88,0.196,0.3407,0.236694215,0.1432,0.178442368,0.4618,,,,,,,,
-2.87,0.196,0.3407,0.236694215,0.1432,0.178442368,0.4618,,,,,,,,
-2.86,0.196,0.3407,0.236694215,0.1432,0.178442368,0.4618,,,,,,,,
-2.85,0.196,0.3392,0.228194726,0.135,0.169640613,0.4566,,,,,,,,
-2.84,0.196,0.337,0.220699109,0.1288,0.16266734,0.4548,,,,,,,,
-2.83,0.196,0.3368,0.219972546,0.1282,0.161991408,0.4546,,,,,,,,
-2.82,0.196,0.3368,0.219587629,0.1278,0.161567636,0.4542,,,,,,,,
-2.81,0.164,0.3403,0.221096752,0.1266,0.161007249,0.446,,,,,,,,
-2.78,0.164,0.34,0.219887955,0.1256,0.1598778,0.4456,,,,,,,,
-2.8,0.164,0.3398,0.21973408,0.1256,0.159837109,0.446,,,,,,,,
-2.79,0.164,0.3398,0.21973408,0.1256,0.159837109,0.446,,,,,,,,
-2.77,0.164,0.34,0.219691661,0.1254,0.159663866,0.4454,,,,,,,,
-2.76,0.164,0.34,0.219691661,0.1254,0.159663866,0.4454,,,,,,,,
-2.75,0.164,0.3398,0.218947368,0.1248,0.158980892,0.4452,,,,,,,,
-2.74,0.164,0.3399,0.218826835,0.1246,0.158786798,0.4448,,,,,,,,
-2.73,0.164,0.3398,0.218156228,0.124,0.158122928,0.4444,,,,,,,,
-2.72,0.164,0.3398,0.217758985,0.1236,0.157693289,0.444,,,,,,,,
-2.71,0.164,0.3398,0.217758985,0.1236,0.157693289,0.444,,,,,,,,
-2.7,0.164,0.3396,0.217207334,0.1232,0.157223073,0.444,,,,,,,,
-2.69,0.164,0.3396,0.217007763,0.123,0.157007914,0.4438,,,,,,,,
-2.68,0.164,0.3395,0.21673138,0.1228,0.156772629,0.4438,,,,,,,,
-2.67,0.164,0.3395,0.21673138,0.1228,0.156772629,0.4438,,,,,,,,
-2.66,0.164,0.3396,0.216607774,0.1226,0.156577267,0.4434,,,,,,,,
-2.63,0.164,0.3396,0.216407355,0.1224,0.156361778,0.4432,,,,,,,,
-2.65,0.164,0.3395,0.216330859,0.1224,0.156341806,0.4434,,,,,,,,
-2.64,0.164,0.3395,0.216330859,0.1224,0.156341806,0.4434,,,,,,,,
-2.62,0.164,0.3395,0.216130173,0.1222,0.15612623,0.4432,,,,,,,,
-2.61,0.164,0.3394,0.215651558,0.1218,0.155674847,0.443,,,,,,,,
-2.6,0.164,0.3394,0.215651558,0.1218,0.155674847,0.443,,,,,,,,
-2.59,0.164,0.3394,0.215450035,0.1216,0.155458962,0.4428,,,,,,,,
-2.58,0.164,0.3394,0.215248227,0.1214,0.155242967,0.4426,,,,,,,,
-2.57,0.164,0.3394,0.215046132,0.1212,0.155026861,0.4424,,,,,,,,
