threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
-3,0,0.4082,0.389928058,0.3252,0.354634678,0.5088,,8.88E-16,0,0.4982,0.469594595,0.0278,0.052492447,0.0314
-2.99,0,0.408,0.389635317,0.3248,0.354275742,0.5088,,,,,,,,
-2.97,0,0.3493,0.28875806,0.206,0.24045757,0.5074,,,,,,,,
-2.98,0,0.3488,0.288353863,0.206,0.240317312,0.5084,,,,,,,,
-2.96,0,0.3493,0.288520909,0.2056,0.240102768,0.507,,,,,,,,
-2.92,0,0.3497,0.288726455,0.2054,0.240037396,0.506,,,,,,,,
-2.94,0,0.3496,0.288645306,0.2054,0.240009348,0.5062,,,,,,,,
-2.93,0,0.3496,0.288645306,0.2054,0.240009348,0.5062,,,,,,,,
-2.95,0,0.3494,0.288483146,0.2054,0.239953271,0.5066,,,,,,,,
-2.91,0,0.3492,0.287725225,0.2044,0.239008419,0.506,,,,,,,,
-2.9,0,0.3491,0.287044877,0.2034,0.238089664,0.5052,,,,,,,,
-2.89,0,0.3489,0.286521616,0.2028,0.237498536,0.505,,,,,,,,
-2.87,0,0.3493,0.286604361,0.2024,0.237252374,0.5038,,,,,,,,
-2.88,0,0.349,0.286361064,0.2024,0.237168971,0.5044,,,,,,,,
-2.86,0,0.3487,0.285390071,0.2012,0.23601173,0.5038,,,,,,,,
-2.85,0,0.3487,0.285268237,0.201,0.235832453,0.5036,,,,,,,,
-2.84,0,0.3489,0.285308326,0.2008,0.235708416,0.503,,,,,,,,
-2.83,0,0.3484,0.283922463,0.1992,0.234132581,0.5024,,,,,,,,
-2.82,0,0.3486,0.283714286,0.1986,0.233647059,0.5014,,,,,,,,
-2.81,0,0.3486,0.283466819,0.1982,0.233286252,0.501,,,,,,,,
-2.78,0,0.3486,0.28272101,0.197,0.232201792,0.4998,,,,,,,,
-2.79,0,0.3482,0.282396789,0.197,0.232092366,0.5006,,,,,,,,
-2.8,0,0.348,0.282234957,0.197,0.232037691,0.501,,,,,,,,
-2.77,0,0.3487,0.282552458,0.1966,0.231866965,0.4992,,,,,,,,
-2.76,0,0.349,0.282671272,0.1964,0.23176776,0.4984,,,,,,,,
-2.74,0,0.3495,0.282953562,0.1962,0.231723161,0.4972,,,,,,,,
-2.75,0,0.349,0.282546083,0.1962,0.231586402,0.4982,,,,,,,,
-2.73,0,0.3493,0.282414092,0.1956,0.231123715,0.497,,,,,,,,
-2.72,0,0.3494,0.282244072,0.1952,0.23078742,0.4964,,,,,,,,
-2.71,0,0.3494,0.282118056,0.195,0.230605487,0.4962,,,,,,,,
-2.7,0,0.3494,0.281865585,0.1946,0.230241363,0.4958,,,,,,,,
-2.69,0,0.3495,0.281820818,0.1944,0.230086401,0.4954,,,,,,,,
-2.68,0,0.3495,0.281694227,0.1942,0.229904108,0.4952,,,,,,,,
-2.67,0,0.3376,0.255274262,0.1694,0.203654725,0.4942,,,,,,,,
-2.66,0,0.3379,0.255357682,0.1692,0.203536629,0.4934,,,,,,,,
-2.65,0,0.3379,0.255061952,0.1688,0.203153207,0.493,,,,,,,,
-2.64,0,0.3379,0.255061952,0.1688,0.203153207,0.493,,,,,,,,
-2.63,0,0.3377,0.25431426,0.168,0.202336505,0.4926,,,,,,,,
-2.62,0,0.3374,0.253486962,0.1672,0.201494336,0.4924,,,,,,,,
-2.61,0,0.3372,0.253033981,0.1668,0.201060752,0.4924,,,,,,,,
-2.6,0,0.3369,0.252202978,0.166,0.200217103,0.4922,,,,,,,,
-2.59,0,0.3368,0.250915751,0.1644,0.198646689,0.4908,,,,,,,,
-2.58,0,0.3368,0.250763592,0.1642,0.198452985,0.4906,,,,,,,,
-2.57,0,0.3369,0.250687863,0.164,0.198283158,0.4902,,,,,,,,
-2.56,0,0.3371,0.250076711,0.163,0.197360455,0.4888,,,,,,,,
-2.55,0,0.3366,0.248460591,0.1614,0.195683802,0.4882,,,,,,,,
