threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,-0.52,0.019,0.3884,0.20846395,0.0798,0.115417992,0.303
-3,0.7118,0.368,0.396907216,0.5082,0.445711279,0.7722,,,,,,,,
-2.99,0.7118,0.3681,0.396937021,0.508,0.445653127,0.7718,,,,,,,,
-2.98,0.7118,0.3682,0.396902378,0.5074,0.445400281,0.771,,,,,,,,
-2.95,0.7118,0.3687,0.397084182,0.5066,0.445206081,0.7692,,,,,,,,
-2.97,0.7118,0.3684,0.396929825,0.5068,0.445186226,0.77,,,,,,,,
-2.96,0.7118,0.3684,0.396897524,0.5066,0.445088737,0.7698,,,,,,,,
-2.91,0.7106,0.3696,0.397355164,0.5048,0.444679352,0.7656,,,,,,,,
-2.92,0.7107,0.369,0.397044954,0.5052,0.444640028,0.7672,,,,,,,,
-2.94,0.7107,0.3685,0.396797991,0.5056,0.444639873,0.7686,,,,,,,,
-2.93,0.7107,0.3686,0.396795476,0.5052,0.444483547,0.768,,,,,,,,
-2.9,0.7106,0.3696,0.397258115,0.5042,0.444385687,0.765,,,,,,,,
-2.89,0.7106,0.3697,0.397255953,0.5038,0.444228904,0.7644,,,,,,,,
-2.88,0.7106,0.3691,0.396587139,0.502,0.443110601,0.7638,,,,,,,,
-2.87,0.7106,0.3226,0.345308685,0.396,0.368921185,0.7508,,,,,,,,
-2.84,0.7106,0.3261,0.346784141,0.3936,0.368711944,0.7414,,,,,,,,
-2.83,0.7106,0.3262,0.346791255,0.3934,0.368628186,0.741,,,,,,,,
-2.85,0.7106,0.3254,0.346410978,0.3938,0.368588544,0.743,,,,,,,,
-2.86,0.7106,0.3232,0.345238095,0.3944,0.368185213,0.748,,,,,,,,
-2.82,0.7106,0.3257,0.345943079,0.3914,0.367270339,0.74,,,,,,,,
-2.77,0.7106,0.3331,0.349232159,0.3866,0.366967252,0.7204,,,,,,,,
-2.8,0.7106,0.3261,0.345805994,0.39,0.366575806,0.7378,,,,,,,,
-2.81,0.7106,0.3253,0.345316097,0.39,0.366300366,0.7394,,,,,,,,
-2.79,0.7106,0.326,0.345470693,0.389,0.365945437,0.737,,,,,,,,
-2.76,0.7106,0.3329,0.348613879,0.3848,0.365814241,0.719,,,,,,,,
-2.78,0.7106,0.3265,0.345613098,0.3884,0.365759488,0.7354,,,,,,,,
-2.75,0.7106,0.3313,0.346048549,0.3792,0.36186659,0.7166,,,,,,,,
-2.74,0.7106,0.3304,0.344688645,0.3764,0.359847036,0.7156,,,,,,,,
-2.73,0.7106,0.3303,0.344054402,0.3744,0.358586342,0.7138,,,,,,,,
-2.72,0.7106,0.3301,0.343698252,0.3736,0.358025874,0.7134,,,,,,,,
-2.71,0.0638,0.2512,0.231201383,0.214,0.222268384,0.7116,,,,,,,,
-2.69,0.0217,0.2484,0.224001755,0.2042,0.213643022,0.7074,,,,,,,,
-2.7,0.0232,0.2474,0.223632385,0.2044,0.213584117,0.7096,,,,,,,,
-2.58,0.0209,0.2529,0.2163031,0.1884,0.201389631,0.6826,,,,,,,,
-2.66,0.0211,0.2447,0.213468013,0.1902,0.201163406,0.7008,,,,,,,,
-2.59,0.0209,0.2515,0.215609979,0.1884,0.201088697,0.6854,,,,,,,,
-2.6,0.0209,0.2506,0.215296804,0.1886,0.201066098,0.6874,,,,,,,,
-2.68,0.0214,0.2426,0.212723214,0.1906,0.201054852,0.7054,,,,,,,,
-2.67,0.0212,0.2433,0.212927757,0.1904,0.201034738,0.7038,,,,,,,,
-2.61,0.0209,0.2497,0.21485532,0.1886,0.200873362,0.6892,,,,,,,,
-2.65,0.0211,0.2457,0.213561613,0.1896,0.200868736,0.6982,,,,,,,,
-2.55,0.0209,0.2814,0.226065163,0.1804,0.200667408,0.6176,,,,,,,,
-2.62,0.021,0.2483,0.214172155,0.1886,0.200574285,0.692,,,,,,,,
-2.64,0.021,0.2466,0.213607595,0.189,0.200551783,0.6958,,,,,,,,
-2.54,0.0209,0.2835,0.226710427,0.1796,0.20042406,0.6126,,,,,,,,
-2.57,0.0209,0.2559,0.216492451,0.1864,0.200322407,0.6746,,,,,,,,
-2.37,0.0208,0.3014,0.234207709,0.175,0.200320513,0.5722,,,,,,,,
-2.63,0.021,0.2471,0.213590034,0.1886,0.20031864,0.6944,,,,,,,,
-2.34,0.0208,0.3037,0.235230645,0.1744,0.20029861,0.567,,,,,,,,
-2.33,0.0208,0.3042,0.235405405,0.1742,0.200229885,0.5658,,,,,,,,
-2.35,0.0208,0.3032,0.234913793,0.1744,0.200183655,0.568,,,,,,,,
-2.38,0.0208,0.3004,0.233582488,0.175,0.20009147,0.5742,,,,,,,,
-2.52,0.0209,0.2874,0.227993859,0.1782,0.200044903,0.6034,,,,,,,,
-2.53,0.0209,0.2855,0.227168659,0.1786,0.199977606,0.6076,,,,,,,,
-2.32,0.0208,0.3046,0.235373781,0.1738,0.199953981,0.5646,,,,,,,,
-2.39,0.0208,0.2997,0.233146816,0.175,0.199931452,0.5756,,,,,,,,
-2.36,0.0208,0.302,0.234156821,0.1744,0.199908299,0.5704,,,,,,,,
-2.4,0.0208,0.2985,0.232545792,0.1752,0.19984031,0.5782,,,,,,,,
-2.44,0.0209,0.2952,0.231092437,0.176,0.199818347,0.5856,,,,,,,,
-2.42,0.0208,0.2961,0.231357049,0.1756,0.199658897,0.5834,,,,,,,,
-2.3,0.0208,0.3048,0.235214324,0.1734,0.199631591,0.5638,,,,,,,,
-2.45,0.0209,0.2943,0.23054755,0.176,0.199614381,0.5874,,,,,,,,
-2.51,0.0209,0.2878,0.227809133,0.1776,0.199595415,0.602,,,,,,,,
-2.43,0.0208,0.2958,0.231174302,0.1756,0.199590816,0.584,,,,,,,,
-2.41,0.0208,0.2974,0.231868714,0.1752,0.199589884,0.5804,,,,,,,,
-2.31,0.0208,0.3045,0.235023041,0.1734,0.199562665,0.5644,,,,,,,,
-2.47,0.0209,0.2925,0.229606463,0.1762,0.199388933,0.5912,,,,,,,,
-2.46,0.0209,0.2932,0.229885057,0.176,0.199365655,0.5896,,,,,,,,
-2.48,0.0209,0.2914,0.229090909,0.1764,0.199322034,0.5936,,,,,,,,
-2.56,0.0209,0.2693,0.220363636,0.1818,0.199232877,0.6432,,,,,,,,
-2.49,0.0209,0.2901,0.228460543,0.1766,0.199210378,0.5964,,,,,,,,
-2.5,0.0209,0.2886,0.227717671,0.1768,0.199054267,0.5996,,,,,,,,
-2.29,0.0208,0.3047,0.234574613,0.1726,0.198870838,0.5632,,,,,,,,
-2.27,0.0208,0.3051,0.234685543,0.1724,0.198777816,0.5622,,,,,,,,
-2.28,0.0208,0.3049,0.234557823,0.1724,0.198731988,0.5626,,,,,,,,
-2.26,0.0208,0.3051,0.234251432,0.1718,0.198223145,0.5616,,,,,,,,
-2.25,0.0208,0.305,0.23389738,0.1714,0.197830102,0.5614,,,,,,,,
-2.24,0.0208,0.3053,0.2339437,0.1712,0.197713362,0.5606,,,,,,,,
-2.23,0.0208,0.3051,0.232794077,0.1698,0.196368683,0.5596,,,,,,,,
