threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
-1,0.0004,0.5018,0.875,0.0042,0.008359873,0.0006,,8.88E-16,0.0003,0.5013,0.842105263,0.0032,0.006375772,0.0006
-0.99,0.0004,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.98,0.0004,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.97,0.0004,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.96,0.0004,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.95,0.0004,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.94,0.0004,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.93,0.0004,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.92,0.0004,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.91,0.0004,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.9,0.0004,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.89,0.0004,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.88,0.0004,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.87,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.86,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.85,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.84,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.83,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.82,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.81,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.8,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.79,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.78,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.77,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.76,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.75,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.74,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.73,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.72,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.71,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.7,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.69,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.68,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.67,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.66,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.65,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.64,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.63,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.62,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.61,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.6,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.59,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.58,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.57,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
-0.56,0.0003,0.5018,0.875,0.0042,0.008359873,0.0006,,,,,,,,
