threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,-0.5,0,0.4995,0.435897436,0.0034,0.006747371,0.0044
-3,0.73134327,0.3632,0.375816993,0.414,0.393985535,0.6876,,,,,,,,
-2.99,0.73134327,0.3633,0.375840145,0.4138,0.393907663,0.6872,,,,,,,,
-2.98,0.73134327,0.3633,0.375795021,0.4136,0.39379225,0.687,,,,,,,,
-2.75,0.64179105,0.3628,0.371727749,0.3976,0.384228836,0.672,,,,,,,,
-2.76,0.64179105,0.3627,0.371658254,0.3976,0.384191709,0.6722,,,,,,,,
-2.73,0.64179105,0.363,0.371818862,0.3974,0.384184068,0.6714,,,,,,,,
-2.79,0.64179105,0.3623,0.371428571,0.3978,0.38416224,0.6732,,,,,,,,
-2.74,0.64179105,0.3629,0.371749298,0.3974,0.384146931,0.6716,,,,,,,,
-2.8,0.64179105,0.3618,0.371130175,0.398,0.384095734,0.6744,,,,,,,,
-2.77,0.64179105,0.3623,0.371380534,0.3976,0.384043272,0.673,,,,,,,,
-2.81,0.64179105,0.3616,0.370991797,0.398,0.384021613,0.6748,,,,,,,,
-2.78,0.64179105,0.3622,0.371311169,0.3976,0.384006181,0.6732,,,,,,,,
-2.89,0.64179105,0.3595,0.369835094,0.3992,0.383956911,0.6802,,,,,,,,
-2.85,0.64179105,0.3605,0.370329057,0.3984,0.383852009,0.6774,,,,,,,,
-2.9,0.64179105,0.3592,0.36962963,0.3992,0.383846154,0.6808,,,,,,,,
-2.87,0.64179105,0.3601,0.370102136,0.3986,0.383822821,0.6784,,,,,,,,
-2.91,0.64179105,0.3591,0.369561192,0.3992,0.383809249,0.681,,,,,,,,
-2.82,0.64179105,0.361,0.370577281,0.398,0.383799421,0.676,,,,,,,,
-2.88,0.64179105,0.3596,0.369807122,0.3988,0.383756736,0.6796,,,,,,,,
-2.84,0.64179105,0.3605,0.370280826,0.3982,0.383733256,0.6772,,,,,,,,
-2.83,0.64179105,0.3607,0.37037037,0.398,0.383688422,0.6766,,,,,,,,
-2.93,0.6567164,0.3584,0.369131238,0.3994,0.383669549,0.6826,,,,,,,,
-2.86,0.64179105,0.36,0.369985141,0.3984,0.38366718,0.6784,,,,,,,,
-2.92,0.6567164,0.3585,0.3691511,0.3992,0.38358797,0.6822,,,,,,,,
-2.94,0.6567164,0.3569,0.368110599,0.3994,0.383117506,0.6856,,,,,,,,
-2.95,0.67164177,0.3568,0.368042757,0.3994,0.38308076,0.6858,,,,,,,,
-2.96,0.67164177,0.3566,0.367907148,0.3994,0.383007288,0.6862,,,,,,,,
-2.97,0.67164177,0.3563,0.367703922,0.3994,0.382897134,0.6868,,,,,,,,
-2.62,0.64179105,0.3572,0.36353211,0.3804,0.371774824,0.666,,,,,,,,
-2.63,0.64179105,0.3571,0.363462641,0.3804,0.371738493,0.6662,,,,,,,,
-2.64,0.64179105,0.3566,0.363115693,0.3804,0.371556945,0.6672,,,,,,,,
-2.65,0.64179105,0.3564,0.362977099,0.3804,0.371484375,0.6676,,,,,,,,
-2.66,0.64179105,0.3563,0.362907842,0.3804,0.371448101,0.6678,,,,,,,,
-2.6,0.64179105,0.3572,0.363375431,0.3798,0.371406219,0.6654,,,,,,,,
-2.67,0.64179105,0.3558,0.362614329,0.3806,0.371389539,0.669,,,,,,,,
-2.61,0.64179105,0.357,0.363236419,0.3798,0.371333594,0.6658,,,,,,,,
-2.68,0.64179105,0.3554,0.362338157,0.3806,0.371244635,0.6698,,,,,,,,
-2.71,0.64179105,0.3549,0.362046016,0.3808,0.371186275,0.671,,,,,,,,
-2.69,0.64179105,0.3551,0.362131304,0.3806,0.371136031,0.6704,,,,,,,,
-2.58,0.64179105,0.3571,0.363201225,0.3794,0.371123936,0.6652,,,,,,,,
