threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
-3,0.204,0.364,0.309630459,0.2212,0.258049463,0.4932,,8.88E-16,0,0.5004,0.833333333,0.001,0.001997603,0.0002
-2.99,0.204,0.3643,0.309677419,0.2208,0.257793345,0.4922,,,,,,,,
-2.98,0.204,0.3641,0.309075583,0.22,0.257039374,0.4918,,,,,,,,
-2.97,0.204,0.3645,0.309316071,0.2198,0.256985853,0.4908,,,,,,,,
-2.96,0.204,0.3642,0.308300395,0.2184,0.255677827,0.49,,,,,,,,
-2.95,0.204,0.3642,0.307975113,0.2178,0.255154639,0.4894,,,,,,,,
-2.94,0.204,0.3642,0.307757644,0.2174,0.254805438,0.489,,,,,,,,
-2.93,0.204,0.3633,0.305768684,0.2152,0.252611809,0.4886,,,,,,,,
-2.92,0.204,0.3628,0.304558405,0.2138,0.251233843,0.4882,,,,,,,,
-2.91,0.204,0.3621,0.302943698,0.212,0.249441111,0.4878,,,,,,,,
-2.9,0.204,0.3574,0.292249417,0.2006,0.237903226,0.4858,,,,,,,,
-2.89,0.202,0.3571,0.291508608,0.1998,0.237095052,0.4856,,,,,,,,
-2.88,0.202,0.357,0.291057861,0.1992,0.236523391,0.4852,,,,,,,,
-2.87,0.202,0.357,0.290690867,0.1986,0.235979087,0.4846,,,,,,,,
-2.86,0.202,0.3488,0.272836538,0.1816,0.218059558,0.484,,,,,,,,
-2.85,0.202,0.3489,0.272371196,0.1808,0.217333814,0.483,,,,,,,,
-2.84,0.202,0.3492,0.271929825,0.1798,0.216470022,0.4814,,,,,,,,
-2.83,0.202,0.349,0.271350697,0.1792,0.215851602,0.4812,,,,,,,,
-2.82,0.202,0.3488,0.270909091,0.1788,0.215421687,0.4812,,,,,,,,
-2.8,0.202,0.3494,0.270985401,0.1782,0.215009653,0.4794,,,,,,,,
-2.81,0.202,0.3488,0.270491803,0.1782,0.214854111,0.4806,,,,,,,,
-2.79,0.202,0.35,0.271201952,0.1778,0.21478618,0.4778,,,,,,,,
-2.78,0.202,0.3496,0.269889841,0.1764,0.213352685,0.4772,,,,,,,,
-2.77,0.202,0.3493,0.268794109,0.1752,0.212132219,0.4766,,,,,,,,
-2.76,0.202,0.3487,0.266440259,0.1726,0.209491443,0.4752,,,,,,,,
-2.75,0.202,0.3498,0.266625233,0.1716,0.208809929,0.472,,,,,,,,
-2.74,0.202,0.3506,0.26641651,0.1704,0.207855575,0.4692,,,,,,,,
-2.73,0.202,0.3503,0.264844486,0.1686,0.206036906,0.468,,,,,,,,
-2.72,0.202,0.3507,0.264585304,0.1678,0.205360421,0.4664,,,,,,,,
-2.71,0.202,0.3516,0.265041165,0.1674,0.205197352,0.4642,,,,,,,,
-2.7,0.202,0.3569,0.267014002,0.164,0.20319663,0.4502,,,,,,,,
-2.69,0.202,0.3569,0.266405485,0.1632,0.202406052,0.4494,,,,,,,,
-2.68,0.202,0.3562,0.264571054,0.1616,0.200645642,0.4492,,,,,,,,
-2.67,0.202,0.3546,0.260540184,0.1582,0.196864111,0.449,,,,,,,,
-2.66,0.202,0.3544,0.258940397,0.1564,0.195012469,0.4476,,,,,,,,
-2.65,0.202,0.3544,0.25862069,0.156,0.194610778,0.4472,,,,,,,,
-2.63,0.202,0.3546,0.25831117,0.1554,0.194055944,0.4462,,,,,,,,
-2.64,0.202,0.3544,0.258139535,0.1554,0.194007491,0.4466,,,,,,,,
-2.59,0.202,0.3551,0.258419473,0.155,0.193774222,0.4448,,,,,,,,
-2.58,0.202,0.3551,0.258419473,0.155,0.193774222,0.4448,,,,,,,,
-2.6,0.202,0.355,0.258333333,0.155,0.19375,0.445,,,,,,,,
-2.62,0.202,0.3547,0.258075258,0.155,0.193677371,0.4456,,,,,,,,
-2.61,0.202,0.3547,0.258075258,0.155,0.193677371,0.4456,,,,,,,,
-2.57,0.202,0.3549,0.257924591,0.1546,0.193322496,0.4448,,,,,,,,
-2.56,0.202,0.3549,0.257601069,0.1542,0.192918804,0.4444,,,,,,,,
-2.55,0.202,0.3549,0.257276681,0.1538,0.192514708,0.444,,,,,,,,
-2.54,0.202,0.3551,0.257123701,0.1534,0.192158336,0.4432,,,,,,,,
-2.53,0.202,0.3552,0.25704698,0.1532,0.19197995,0.4428,,,,,,,,
-2.51,0.202,0.3553,0.256970104,0.153,0.191801429,0.4424,,,,,,,,
-2.52,0.202,0.3552,0.256883815,0.153,0.191777388,0.4426,,,,,,,,
-2.5,0.202,0.3552,0.256393001,0.1524,0.191169092,0.442,,,,,,,,
-2.49,0.202,0.3551,0.255813953,0.1518,0.190535961,0.4416,,,,,,,,
-2.45,0.202,0.3552,0.25557056,0.1514,0.190153228,0.441,,,,,,,,
-2.47,0.202,0.3551,0.255484306,0.1514,0.190129348,0.4412,,,,,,,,
-2.46,0.202,0.3551,0.255484306,0.1514,0.190129348,0.4412,,,,,,,,
-2.48,0.202,0.355,0.255398111,0.1514,0.190105475,0.4414,,,,,,,,
-2.43,0.202,0.3554,0.255578093,0.1512,0.189997487,0.4404,,,,,,,,
-2.42,0.202,0.3554,0.255578093,0.1512,0.189997487,0.4404,,,,,,,,
-2.44,0.202,0.3553,0.25549172,0.1512,0.189973615,0.4406,,,,,,,,
-2.41,0.202,0.3555,0.255499154,0.151,0.189817725,0.44,,,,,,,,
-2.4,0.202,0.3554,0.255247123,0.1508,0.189590143,0.44,,,,,,,,
-2.39,0.202,0.3554,0.255247123,0.1508,0.189590143,0.44,,,,,,,,
-2.38,0.202,0.3554,0.255247123,0.1508,0.189590143,0.44,,,,,,,,
-2.37,0.202,0.3553,0.254828872,0.1504,0.189158596,0.4398,,,,,,,,
-2.36,0.202,0.3552,0.254409769,0.15,0.188726724,0.4396,,,,,,,,
-2.35,0.202,0.3552,0.254409769,0.15,0.188726724,0.4396,,,,,,,,
-2.27,0.192,0.3559,0.254848588,0.1498,0.188688752,0.438,,,,,,,,
-2.26,0.192,0.3559,0.254848588,0.1498,0.188688752,0.438,,,,,,,,
-2.28,0.192,0.3558,0.254761905,0.1498,0.188664987,0.4382,,,,,,,,
