threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
-2.94,0,0.5143,0.513994911,0.5252,0.519537046,0.4966,,8.88E-16,0,0.5011,0.517799353,0.032,0.060275005,0.0298
-2.92,0,0.5144,0.514112113,0.5246,0.519303108,0.4958,,,,,,,,
-2.93,0,0.5142,0.51390521,0.5248,0.519295468,0.4964,,,,,,,,
-2.9,0,0.5145,0.514218474,0.5244,0.519259333,0.4954,,,,,,,,
-2.91,0,0.5144,0.514117647,0.5244,0.519207921,0.4956,,,,,,,,
-2.96,0,0.513,0.512680453,0.5256,0.519059846,0.4996,,,,,,,,
-2.95,0,0.513,0.512685402,0.5254,0.518964836,0.4994,,,,,,,,
-2.97,0,0.5128,0.512480499,0.5256,0.518957346,0.5,,,,,,,,
-2.98,0,0.5126,0.512280702,0.5256,0.518854886,0.5004,,,,,,,,
-3,0,0.5125,0.512180861,0.5256,0.518803672,0.5006,,,,,,,,
-2.99,0,0.5125,0.512180861,0.5256,0.518803672,0.5006,,,,,,,,
-2.86,0,0.514,0.513747054,0.5232,0.51843044,0.4952,,,,,,,,
-2.89,0,0.5139,0.513646181,0.5232,0.518379075,0.4954,,,,,,,,
-2.88,0,0.5139,0.513646181,0.5232,0.518379075,0.4954,,,,,,,,
-2.87,0,0.5139,0.513646181,0.5232,0.518379075,0.4954,,,,,,,,
-2.85,0,0.5138,0.513555992,0.5228,0.518136769,0.4952,,,,,,,,
-2.79,0,0.5141,0.513891626,0.5216,0.517717122,0.4934,,,,,,,,
-2.81,0,0.5139,0.513683796,0.5218,0.51771009,0.494,,,,,,,,
-2.8,0,0.514,0.513790386,0.5216,0.51766574,0.4936,,,,,,,,
-2.82,0,0.5137,0.513481598,0.5218,0.51760738,0.4944,,,,,,,,
-2.83,0,0.5135,0.513279559,0.5218,0.517504711,0.4948,,,,,,,,
-2.84,0,0.5134,0.5131786,0.5218,0.517453392,0.495,,,,,,,,
-2.76,0,0.5134,0.513241107,0.5194,0.516302187,0.4926,,,,,,,,
-2.77,0,0.5132,0.513033175,0.5196,0.516295707,0.4932,,,,,,,,
-2.78,0,0.5131,0.512931885,0.5196,0.516244411,0.4934,,,,,,,,
-2.75,0,0.5128,0.512663237,0.5182,0.51541675,0.4926,,,,,,,,
-2.74,0,0.5126,0.512475248,0.5176,0.515024876,0.4924,,,,,,,,
-2.72,0,0.4296,0.416468913,0.351,0.380942045,0.4918,,,,,,,,
-2.71,0,0.4296,0.416468913,0.351,0.380942045,0.4918,,,,,,,,
-2.7,0,0.4296,0.416468913,0.351,0.380942045,0.4918,,,,,,,,
-2.73,0,0.4295,0.416370107,0.351,0.380900705,0.492,,,,,,,,
-2.68,0,0.4298,0.416627078,0.3508,0.380890337,0.4912,,,,,,,,
