threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,-0.52,0.019,0.3585,0.217113155,0.1086,0.144780696,0.3916
-2.97,0.7153,0.4015,0.434966328,0.6588,0.523979957,0.8558,,,,,,,,
-2.98,0.7153,0.4012,0.434811296,0.659,0.523930673,0.8566,,,,,,,,
-2.99,0.7153,0.4011,0.434753925,0.659,0.523889021,0.8568,,,,,,,,
-3,0.7153,0.401,0.43469657,0.659,0.523847377,0.857,,,,,,,,
-2.95,0.7153,0.4011,0.434650456,0.6578,0.523434392,0.8556,,,,,,,,
-2.96,0.7153,0.401,0.434593023,0.6578,0.523392743,0.8558,,,,,,,,
-2.94,0.7153,0.401,0.434558435,0.6574,0.523241006,0.8554,,,,,,,,
-2.93,0.7153,0.401,0.43452381,0.657,0.523089172,0.855,,,,,,,,
-1.83,0.7106,0.39,0.410685287,0.5058,0.453307044,0.7258,,,,,,,,
-1.82,0.7106,0.3903,0.410565792,0.5036,0.452348873,0.723,,,,,,,,
-1.81,0.7106,0.3908,0.410784314,0.5028,0.452158273,0.7212,,,,,,,,
-1.84,0.7106,0.3846,0.40741335,0.5078,0.45210114,0.7386,,,,,,,,
-1.96,0.7106,0.3695,0.399661695,0.5198,0.451882118,0.7808,,,,,,,,
-1.8,0.7106,0.3914,0.411012783,0.5016,0.451810485,0.7188,,,,,,,,
-1.95,0.7106,0.3697,0.399722949,0.5194,0.451770027,0.78,,,,,,,,
-1.79,0.7106,0.3917,0.411156686,0.5012,0.451735016,0.7178,,,,,,,,
-1.78,0.7106,0.3923,0.411474601,0.5006,0.451682757,0.716,,,,,,,,
-1.98,0.7106,0.3645,0.397083397,0.5228,0.451351118,0.7938,,,,,,,,
-1.99,0.7106,0.3644,0.397023086,0.5228,0.451312155,0.794,,,,,,,,
-1.85,0.7106,0.3797,0.404599524,0.5102,0.451304732,0.7508,,,,,,,,
-1.97,0.7106,0.3645,0.39705212,0.5226,0.451256368,0.7936,,,,,,,,
-2,0.7106,0.3637,0.396664139,0.5232,0.451228978,0.7958,,,,,,,,
-2.19,0.7134,0.3556,0.392910116,0.5298,0.451200818,0.8186,,,,,,,,
-2.22,0.7134,0.3553,0.392767156,0.53,0.451179024,0.8194,,,,,,,,
-2.1,0.7134,0.3586,0.394256656,0.5272,0.451138114,0.81,,,,,,,,
-1.77,0.7106,0.3924,0.411367381,0.4994,0.451129178,0.7146,,,,,,,,
-2.18,0.7134,0.3556,0.392878338,0.5296,0.451107325,0.8184,,,,,,,,
-2.21,0.7134,0.3553,0.39273536,0.5298,0.451085568,0.8192,,,,,,,,
-2.2,0.7134,0.3553,0.39273536,0.5298,0.451085568,0.8192,,,,,,,,
-2.16,0.7134,0.3562,0.393133175,0.529,0.451057299,0.8166,,,,,,,,
-2.09,0.7134,0.3586,0.394225015,0.527,0.451044163,0.8098,,,,,,,,
-1.76,0.7106,0.3927,0.411483254,0.4988,0.450953802,0.7134,,,,,,,,
-1.94,0.7106,0.3693,0.399260059,0.518,0.450944546,0.7794,,,,,,,,
-2.17,0.7134,0.3559,0.392957956,0.529,0.450941949,0.8172,,,,,,,,
-2.07,0.7134,0.3588,0.394279724,0.5266,0.450933379,0.809,,,,,,,,
-2.11,0.7134,0.3579,0.393844315,0.5272,0.450868041,0.8114,,,,,,,,
-2.14,0.7134,0.3566,0.393240024,0.5282,0.450836463,0.815,,,,,,,,
-2.08,0.7134,0.3584,0.394043699,0.5266,0.450778976,0.8098,,,,,,,,
-2.13,0.7134,0.3567,0.393234987,0.5278,0.450687388,0.8144,,,,,,,,
-2.15,0.7134,0.356,0.392889021,0.5282,0.450605699,0.8162,,,,,,,,
-2.12,0.7134,0.3567,0.393171314,0.5274,0.450499701,0.814,,,,,,,,
-2.01,0.7106,0.3618,0.395524645,0.5232,0.450490787,0.7996,,,,,,,,
-1.86,0.7106,0.3765,0.402679275,0.511,0.450418687,0.758,,,,,,,,
-1.93,0.7106,0.3698,0.399288366,0.5162,0.450279135,0.7766,,,,,,,,
-1.87,0.7106,0.3754,0.402074819,0.5116,0.450272839,0.7608,,,,,,,,
-2.92,0.7153,0.3419,0.386569092,0.5388,0.450162921,0.855,,,,,,,,
-1.9,0.7106,0.3743,0.401473585,0.5122,0.450127428,0.7636,,,,,,,,
-1.88,0.7106,0.3747,0.401663789,0.5118,0.45009234,0.7624,,,,,,,,
-1.89,0.7106,0.3744,0.401505646,0.512,0.450070323,0.7632,,,,,,,,
-2.05,0.7133,0.359,0.394080529,0.5246,0.450068634,0.8066,,,,,,,,
-1.92,0.7106,0.3713,0.399937801,0.5144,0.450004374,0.7718,,,,,,,,
-2.06,0.7133,0.3585,0.393816599,0.5248,0.449969991,0.8078,,,,,,,,
-2.03,0.7133,0.3594,0.394222088,0.524,0.449939894,0.8052,,,,,,,,
-2.04,0.7133,0.3591,0.394076079,0.5242,0.449918462,0.806,,,,,,,,
-1.91,0.7106,0.3728,0.400625,0.5128,0.449824561,0.7672,,,,,,,,
-2.46,0.7146,0.3458,0.388098694,0.5348,0.449789739,0.8432,,,,,,,,
-2.47,0.7146,0.3455,0.387962292,0.535,0.44976881,0.844,,,,,,,,
-2.43,0.7146,0.3459,0.38812255,0.5346,0.449735005,0.8428,,,,,,,,
-2.48,0.7146,0.3454,0.387906032,0.535,0.449731002,0.8442,,,,,,,,
-2.4,0.7146,0.3461,0.388202819,0.5344,0.449718085,0.8422,,,,,,,,
-2.44,0.7146,0.3458,0.388066202,0.5346,0.449697174,0.843,,,,,,,,
-2.5,0.7146,0.3453,0.38784979,0.535,0.4496932,0.8444,,,,,,,,
-2.49,0.7146,0.3453,0.38784979,0.535,0.4496932,0.8444,,,,,,,,
-2.41,0.7146,0.346,0.388146426,0.5344,0.449680242,0.8424,,,,,,,,
-2.45,0.7146,0.3457,0.388009871,0.5346,0.449659349,0.8432,,,,,,,,
-2.52,0.7146,0.3452,0.387793563,0.535,0.449655404,0.8446,,,,,,,,
-2.51,0.7146,0.3452,0.387793563,0.535,0.449655404,0.8446,,,,,,,,
-2.42,0.7146,0.3459,0.388090051,0.5344,0.449642406,0.8426,,,,,,,,
-2.02,0.7106,0.3596,0.394213382,0.5232,0.449639051,0.804,,,,,,,,
-2.53,0.7146,0.3448,0.38760139,0.5352,0.449596774,0.8456,,,,,,,,
-2.36,0.7146,0.3463,0.388218182,0.5338,0.449515789,0.8412,,,,,,,,
-2.38,0.7146,0.346,0.388081395,0.534,0.449494949,0.842,,,,,,,,
-2.54,0.7146,0.3445,0.387433039,0.5352,0.449483497,0.8462,,,,,,,,
-2.39,0.7146,0.3459,0.388024996,0.534,0.449457116,0.8422,,,,,,,,
-2.37,0.7146,0.3461,0.388105278,0.5338,0.449440094,0.8416,,,,,,,,
-2.56,0.7146,0.3443,0.387320886,0.5352,0.449408011,0.8466,,,,,,,,
-2.55,0.7146,0.3443,0.387320886,0.5352,0.449408011,0.8466,,,,,,,,
-2.57,0.7146,0.3442,0.387264834,0.5352,0.449370277,0.8468,,,,,,,,
-2.58,0.7146,0.3441,0.387208798,0.5352,0.44933255,0.847,,,,,,,,
-2.89,0.7153,0.3416,0.386141461,0.5372,0.449314152,0.854,,,,,,,,
-2.35,0.7146,0.3462,0.388096624,0.5334,0.449292453,0.841,,,,,,,,
-2.59,0.7146,0.3439,0.387096774,0.5352,0.449257114,0.8474,,,,,,,,
-2.9,0.7153,0.3414,0.386030469,0.5372,0.449239003,0.8544,,,,,,,,
-2.6,0.7146,0.3438,0.387040787,0.5352,0.449219406,0.8476,,,,,,,,
-2.91,0.7153,0.3413,0.385974996,0.5372,0.449201438,0.8546,,,,,,,,
-2.63,0.7147,0.3435,0.386905622,0.5354,0.449198758,0.8484,,,,,,,,
-2.68,0.7147,0.3432,0.386770653,0.5356,0.449178128,0.8492,,,,,,,,
-2.67,0.7147,0.3432,0.386770653,0.5356,0.449178128,0.8492,,,,,,,,
-2.64,0.7147,0.3434,0.386849711,0.5354,0.449161074,0.8486,,,,,,,,
-2.61,0.7147,0.3436,0.386928861,0.5352,0.449144008,0.848,,,,,,,,
-2.7,0.7149,0.3431,0.386714801,0.5356,0.449140461,0.8494,,,,,,,,
-2.69,0.7149,0.3431,0.386714801,0.5356,0.449140461,0.8494,,,,,,,,
-2.34,0.7146,0.3462,0.38803145,0.533,0.449106842,0.8406,,,,,,,,
-2.62,0.7147,0.3435,0.386872922,0.5352,0.449106319,0.8482,,,,,,,,
-2.65,0.7147,0.3432,0.386737937,0.5354,0.449085724,0.849,,,,,,,,
-2.73,0.7149,0.3427,0.386524311,0.5358,0.449082223,0.8504,,,,,,,,
-2.87,0.7153,0.3417,0.386098719,0.5366,0.449075236,0.8532,,,,,,,,
-2.71,0.7149,0.3429,0.386603147,0.5356,0.449065146,0.8498,,,,,,,,
-2.66,0.7147,0.3431,0.386682074,0.5354,0.449048058,0.8492,,,,,,,,
-2.75,0.7152,0.3426,0.386468552,0.5358,0.449044586,0.8506,,,,,,,,
-2.74,0.7151,0.3426,0.386468552,0.5358,0.449044586,0.8506,,,,,,,,
-2.72,0.7149,0.3427,0.386491557,0.5356,0.448989857,0.8502,,,,,,,,
-2.88,0.7153,0.3414,0.385932106,0.5366,0.448962517,0.8538,,,,,,,,
-2.86,0.7152,0.3416,0.386010363,0.5364,0.44894543,0.8532,,,,,,,,
-2.76,0.7152,0.3423,0.38630137,0.5358,0.448931713,0.8512,,,,,,,,
-2.77,0.7152,0.3422,0.386245675,0.5358,0.448894102,0.8514,,,,,,,,
-2.78,0.7152,0.342,0.386134333,0.5358,0.448818898,0.8518,,,,,,,,
-2.79,0.7152,0.3418,0.386023055,0.5358,0.448743719,0.8522,,,,,,,,
-2.82,0.7152,0.3416,0.385911841,0.5358,0.448668565,0.8526,,,,,,,,
-2.81,0.7152,0.3416,0.385911841,0.5358,0.448668565,0.8526,,,,,,,,
-2.8,0.7152,0.3416,0.385911841,0.5358,0.448668565,0.8526,,,,,,,,
