threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
-3,0.0009,0.5017,0.84,0.0042,0.008358209,0.0008,,8.88E-16,0.0002,0.5012,0.833333333,0.003,0.005978477,0.0006
-2.9,0.0003,0.5018,0.909090909,0.004,0.007964954,0.0004,,,,,,,,
-2.89,0.0003,0.5018,0.909090909,0.004,0.007964954,0.0004,,,,,,,,
-2.92,0.0003,0.5017,0.869565217,0.004,0.007963369,0.0006,,,,,,,,
-2.91,0.0003,0.5017,0.869565217,0.004,0.007963369,0.0006,,,,,,,,
-2.99,0.0004,0.5016,0.833333333,0.004,0.007961783,0.0008,,,,,,,,
-2.98,0.0003,0.5016,0.833333333,0.004,0.007961783,0.0008,,,,,,,,
-2.97,0.0003,0.5016,0.833333333,0.004,0.007961783,0.0008,,,,,,,,
-2.96,0.0003,0.5016,0.833333333,0.004,0.007961783,0.0008,,,,,,,,
-2.95,0.0003,0.5016,0.833333333,0.004,0.007961783,0.0008,,,,,,,,
-2.94,0.0003,0.5016,0.833333333,0.004,0.007961783,0.0008,,,,,,,,
-2.93,0.0003,0.5016,0.833333333,0.004,0.007961783,0.0008,,,,,,,,
-2.88,0.0003,0.5017,0.904761905,0.0038,0.007568214,0.0004,,,,,,,,
-2.87,0.0003,0.5016,0.9,0.0036,0.007171315,0.0004,,,,,,,,
-2.86,0.0003,0.5016,0.9,0.0036,0.007171315,0.0004,,,,,,,,
-2.85,0.0003,0.5015,0.894736842,0.0034,0.006774258,0.0004,,,,,,,,
-2.84,0.0003,0.5014,0.888888889,0.0032,0.006377043,0.0004,,,,,,,,
-2.83,0.0003,0.5014,0.888888889,0.0032,0.006377043,0.0004,,,,,,,,
-2.82,0.0003,0.5014,0.888888889,0.0032,0.006377043,0.0004,,,,,,,,
0.16,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.17,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.18,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.19,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.2,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.21,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.22,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.23,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.24,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.25,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.26,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.27,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.28,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.29,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.3,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.31,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.32,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.33,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.34,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.35,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.36,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.37,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.38,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.39,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.4,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.41,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.42,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.43,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.44,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.45,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.46,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.47,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.48,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.49,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.5,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.51,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.52,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.53,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.54,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.55,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.56,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.57,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.58,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.59,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.6,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.61,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.62,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.63,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.64,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.65,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.66,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.67,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.68,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.69,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.7,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.71,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.72,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.73,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.74,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.75,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.76,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.77,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.78,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.79,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.8,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.81,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.82,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.83,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.84,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.85,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.86,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.87,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.88,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.89,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.9,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.91,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.92,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.93,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.94,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.95,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.96,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.97,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.98,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
0.99,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
1,0.0002,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
-2.81,0.0003,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
-2.8,0.0003,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
-2.79,0.0003,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
-2.78,0.0003,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
-2.77,0.0003,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
-2.76,0.0003,0.5013,0.882352941,0.003,0.005979669,0.0004,,,,,,,,
