threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
-3,0.07462686,0.3386,0.216244726,0.123,0.156807751,0.4458,,8.88E-16,0,0.4997,0.476923077,0.0062,0.012240869,0.0068
-2.96,0.07462686,0.3402,0.216465578,0.122,0.156050141,0.4416,,,,,,,,
-2.95,0.07462686,0.3402,0.216465578,0.122,0.156050141,0.4416,,,,,,,,
-2.94,0,0.3402,0.216465578,0.122,0.156050141,0.4416,,,,,,,,
-2.93,0,0.3402,0.216465578,0.122,0.156050141,0.4416,,,,,,,,
-2.97,0.07462686,0.3401,0.21638879,0.122,0.156030183,0.4418,,,,,,,,
-2.98,0.07462686,0.3399,0.216235378,0.122,0.155990283,0.4422,,,,,,,,
-2.99,0.07462686,0.3397,0.216082182,0.122,0.155950403,0.4426,,,,,,,,
-2.9,0,0.3403,0.215735137,0.1212,0.155205532,0.4406,,,,,,,,
-2.91,0,0.34,0.215504979,0.1212,0.155145929,0.4412,,,,,,,,
-2.92,0,0.3399,0.215428368,0.1212,0.155126072,0.4414,,,,,,,,
-2.86,0,0.3406,0.215763195,0.121,0.155048693,0.4398,,,,,,,,
-2.88,0,0.3404,0.215609408,0.121,0.155008967,0.4402,,,,,,,,
-2.87,0,0.3404,0.215609408,0.121,0.155008967,0.4402,,,,,,,,
-2.89,0,0.3402,0.21545584,0.121,0.154969262,0.4406,,,,,,,,
-2.85,0,0.3403,0.214719543,0.1202,0.154122323,0.4396,,,,,,,,
-2.84,0,0.3403,0.214515552,0.12,0.153905348,0.4394,,,,,,,,
-2.82,0,0.3402,0.214030064,0.1196,0.153451373,0.4392,,,,,,,,
-2.83,0,0.3401,0.213953488,0.1196,0.153431687,0.4394,,,,,,,,
-2.81,0,0.3406,0.214131994,0.1194,0.153312789,0.4382,,,,,,,,
-2.8,0,0.3404,0.212536023,0.118,0.151748971,0.4372,,,,,,,,
-2.79,0,0.3402,0.211968277,0.1176,0.151273476,0.4372,,,,,,,,
-2.77,0,0.3403,0.211836882,0.1174,0.151074508,0.4368,,,,,,,,
-2.78,0,0.3401,0.211684097,0.1174,0.151035636,0.4372,,,,,,,,
-2.76,0,0.3402,0.211552347,0.1172,0.150836551,0.4368,,,,,,,,
-2.75,0,0.3402,0.211552347,0.1172,0.150836551,0.4368,,,,,,,,
-2.73,0,0.3407,0.211517566,0.1168,0.15049607,0.4354,,,,,,,,
-2.74,0,0.3404,0.211287988,0.1168,0.150437919,0.436,,,,,,,,
-2.71,0,0.341,0.211538462,0.1166,0.150335224,0.4346,,,,,,,,
-2.72,0,0.3409,0.211461734,0.1166,0.150315844,0.4348,,,,,,,,
-2.7,0,0.341,0.211328976,0.1164,0.150116069,0.4344,,,,,,,,
-2.67,0,0.341,0.211119186,0.1162,0.149896801,0.4342,,,,,,,,
-2.69,0,0.3409,0.211042499,0.1162,0.149877467,0.4344,,,,,,,,
-2.68,0,0.3409,0.211042499,0.1162,0.149877467,0.4344,,,,,,,,
-2.66,0,0.3409,0.210622044,0.1158,0.149438637,0.434,,,,,,,,
-2.65,0,0.3409,0.210411358,0.1156,0.149219053,0.4338,,,,,,,,
-2.64,0,0.3409,0.210411358,0.1156,0.149219053,0.4338,,,,,,,,
-2.63,0,0.3409,0.210411358,0.1156,0.149219053,0.4338,,,,,,,,
-2.61,0,0.3411,0.210353627,0.1154,0.149037841,0.4332,,,,,,,,
-2.62,0,0.3409,0.210200364,0.1154,0.148999354,0.4336,,,,,,,,
