self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.08,36,0.9973,0.6683,0.625803558,0.8372,0.716228933,0.5006,,,,,,,,,
0.05,21,0.9989,0.6321,0.584951768,0.9096,0.712015656,0.6454,,0.04,93,0.4985,0.4899,0.482385769,0.2766,0.351595271,0.2968
0.03,32,0.9989,0.6169,0.572455684,0.9236,0.706818704,0.6898,,,,,,,,,
0.07,21,0.9985,0.6256,0.581053175,0.9004,0.706306872,0.6492,,,,,,,,,
0.04,53,0.9989,0.6325,0.588321557,0.8826,0.706023518,0.6176,,,,,,,,,
0.07,19,0.9989,0.6165,0.573613042,0.9078,0.703012468,0.6748,,,,,,,,,
0.01,12,0.9989,0.6188,0.576783868,0.8924,0.700690955,0.6548,,,,,,,,,
0.02,27,0.9989,0.6087,0.56735655,0.9156,0.700589181,0.6982,,,,,,,,,
0.01,37,0.9989,0.6003,0.560869038,0.9242,0.69808898,0.7236,,,,,,,,,
0.03,15,0.9989,0.6155,0.574776641,0.8878,0.697791401,0.6568,,,,,,,,,
0.03,8,0.9989,0.5972,0.55856833,0.927,0.697097308,0.7326,,,,,,,,,
0.04,28,0.9989,0.5959,0.557666867,0.9274,0.696507698,0.7356,,,,,,,,,
0.03,41,0.9977,0.5997,0.56117315,0.9146,0.695566203,0.7152,,,,,,,,,
0.01,18,0.9989,0.6105,0.571134286,0.8872,0.694916582,0.6662,,,,,,,,,
0.05,12,0.9989,0.5914,0.554456625,0.9306,0.694892473,0.7478,,,,,,,,,
0.06,26,0.9973,0.6065,0.568488746,0.884,0.691976517,0.671,,,,,,,,,
0.02,32,0.9987,0.5965,0.559767125,0.9038,0.691348581,0.7108,,,,,,,,,
0.21,3,0.9985,0.5886,0.553219606,0.921,0.691233864,0.7438,,,,,,,,,
0.01,14,0.9989,0.5902,0.554946394,0.911,0.689733495,0.7306,,,,,,,,,
0.04,13,0.9977,0.6086,0.571334735,0.8698,0.689660641,0.6526,,,,,,,,,
0.01,13,0.9989,0.5888,0.553909665,0.9124,0.689332125,0.7348,,,,,,,,,
0.07,10,0.9989,0.5951,0.559193328,0.8984,0.689327093,0.7082,,,,,,,,,
0.01,22,0.9989,0.59,0.554985337,0.9084,0.68901699,0.7284,,,,,,,,,
0.11,27,0.9969,0.6477,0.61731533,0.7772,0.688092076,0.4818,,,,,,,,,
0.07,14,0.9974,0.592,0.55731373,0.8946,0.686780286,0.7106,,,,,,,,,
0.03,40,0.9989,0.579,0.546956728,0.9202,0.686101998,0.7622,,,,,,,,,
0.02,44,0.9978,0.5919,0.557444681,0.8918,0.686052773,0.708,,,,,,,,,
0.01,39,0.9989,0.5668,0.537997725,0.9458,0.685859318,0.8122,,,,,,,,,
0.03,9,0.9989,0.5818,0.54921781,0.9128,0.68580015,0.7492,,,,,,,,,
0.02,26,0.9989,0.5654,0.537142208,0.9458,0.685163721,0.815,,,,,,,,,
0.01,36,0.9989,0.5842,0.551429269,0.9028,0.684665554,0.7344,,,,,,,,,
0.14,5,0.9978,0.5827,0.550371543,0.9036,0.684079037,0.7382,,,,,,,,,
0.16,6,0.9985,0.6379,0.606849527,0.7832,0.683838296,0.5074,,,,,,,,,
0.03,10,0.9989,0.5754,0.544988067,0.9134,0.682660688,0.7626,,,,,,,,,
0.06,17,0.9989,0.5577,0.532295981,0.951,0.682552214,0.8356,,,,,,,,,
