self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.18,24,0.9976,0.6556,0.60602344,0.8894,0.720862376,0.5782,,,,,,,,,
0.01,12,1,0.6283,0.581938945,0.9112,0.710265804,0.6546,,,,,,,,,
0.07,16,1,0.6307,0.58536904,0.8962,0.708178586,0.6348,,,,,,,,,
0.03,32,1,0.6255,0.581695092,0.8936,0.704676287,0.6426,,,,,,,,,
0.01,22,1,0.6386,0.595771144,0.8622,0.70464204,0.585,,,,,,,,,
0.02,28,1,0.6209,0.577212926,0.9038,0.704497623,0.662,,0.09,48,0.9976,0.5281,0.545307965,0.3382,0.417479324,0.282
0.02,10,1,0.6137,0.570507255,0.92,0.704279262,0.6926,,,,,,,,,
0.13,39,0.9998,0.628,0.584477297,0.8856,0.704198473,0.6296,,,,,,,,,
0.01,70,1,0.6314,0.588952071,0.87,0.702405942,0.6072,,,,,,,,,
0.11,19,1,0.627,0.58437417,0.8796,0.702219384,0.6256,,,,,,,,,
0.02,25,1,0.6,0.560562016,0.9256,0.698249849,0.7256,,,,,,,,,
0.05,25,1,0.5993,0.560029017,0.9264,0.698063447,0.7278,,,,,,,,,
0.07,28,1,0.6022,0.562622549,0.9182,0.697720365,0.7138,,,,,,,,,
0.21,5,1,0.5983,0.55939577,0.9258,0.69740113,0.7292,,,,,,,,,
0.13,4,1,0.5999,0.560759032,0.922,0.697375388,0.7222,,,,,,,,,
0.02,31,1,0.6098,0.569634703,0.8982,0.697143744,0.6786,,,,,,,,,
0.03,18,0.9994,0.6182,0.577865613,0.8772,0.696743447,0.6408,,,,,,,,,
0.05,32,0.9997,0.5951,0.556993887,0.9294,0.696545005,0.7392,,,,,,,,,
0.04,9,1,0.5923,0.555065028,0.9304,0.695314252,0.7458,,,,,,,,,
0.02,29,1,0.6105,0.571391653,0.8844,0.694246016,0.6634,,,,,,,,,
0.11,27,0.9985,0.6161,0.57697918,0.8702,0.69388406,0.638,,,,,,,,,
0.01,37,1,0.6153,0.576917945,0.8648,0.692116847,0.6342,,,,,,,,,
0.02,12,1,0.5835,0.549088771,0.934,0.691595705,0.767,,,,,,,,,
0.05,30,1,0.6056,0.568322981,0.8784,0.690131992,0.6672,,,,,,,,,
0.06,22,1,0.597,0.560822674,0.8944,0.689378758,0.7004,,,,,,,,,
0.06,7,1,0.6006,0.564207302,0.884,0.688795387,0.6828,,,,,,,,,
0.22,3,0.9303,0.6123,0.575500874,0.856,0.688268875,0.6314,,,,,,,,,
0.02,9,1,0.5938,0.558420528,0.8966,0.688210009,0.709,,,,,,,,,
0.06,12,0.9997,0.5974,0.561583207,0.8882,0.688100403,0.6934,,,,,,,,,
0.05,10,1,0.5989,0.562921491,0.8848,0.688078389,0.687,,,,,,,,,
0.03,21,1,0.5991,0.563177356,0.8834,0.687845519,0.6852,,,,,,,,,
0.17,2,1,0.5636,0.535859269,0.9504,0.685318719,0.8232,,,,,,,,,
0.28,1,0.9997,0.5684,0.539292279,0.9388,0.685055458,0.802,,,,,,,,,
0.01,14,1,0.5835,0.550809298,0.9052,0.684875539,0.7382,,,,,,,,,
0.01,10,1,0.6006,0.565545999,0.868,0.684866656,0.6668,,,,,,,,,
0.04,29,1,0.593,0.558756634,0.8844,0.68483816,0.6984,,,,,,,,,
0.02,8,1,0.5787,0.547029999,0.9154,0.684820827,0.758,,,,,,,,,
0.28,2,1,0.5853,0.552544043,0.897,0.683845391,0.7264,,,,,,,,,
0.01,16,1,0.5643,0.536797528,0.938,0.6828274,0.8094,,,,,,,,,
0.07,7,1,0.5569,0.531812591,0.9512,0.682206125,0.8374,,,,,,,,,
0.01,19,1,0.5725,0.542924808,0.917,0.682037932,0.772,,,,,,,,,
0.08,22,1,0.5702,0.541518808,0.9156,0.680541103,0.7752,,,,,,,,,
0.03,20,1,0.5362,0.519104919,0.9836,0.679563355,0.9112,,,,,,,,,
0.02,93,1,0.6184,0.586071532,0.8062,0.678733794,0.5694,,,,,,,,,
0.03,8,1,0.5675,0.539888902,0.9136,0.678701434,0.7786,,,,,,,,,
0.04,31,1,0.5425,0.523025247,0.9654,0.67847354,0.8804,,,,,,,,,
0.07,24,1,0.5878,0.556310929,0.8674,0.677868084,0.6918,,,,,,,,,
0.01,29,1,0.5404,0.521880416,0.9636,0.677065767,0.8828,,,,,,,,,
0.1,36,0.9997,0.6156,0.584084958,0.803,0.676267475,0.5718,,,,,,,,,
0.09,12,0.9978,0.6163,0.585880963,0.7934,0.674029394,0.5608,,,,,,,,,
0.01,7,1,0.518,0.509204336,0.9958,0.673839491,0.9598,,,,,,,,,
0.02,74,1,0.5656,0.539499037,0.896,0.67348166,0.7648,,,,,,,,,
0.19,5,1,0.5231,0.512067705,0.9802,0.67270606,0.934,,,,,,,,,
0.03,36,1,0.5343,0.51859885,0.9564,0.672526545,0.8878,,,,,,,,,
0.01,6,1,0.5268,0.514200933,0.9704,0.672208368,0.9168,,,,,,,,,
0.05,7,1,0.516,0.508227067,0.9884,0.671284977,0.9564,,,,,,,,,
0.02,7,1,0.5119,0.506044905,0.9962,0.671158122,0.9724,,,,,,,,,
0.07,4,1,0.514,0.50716479,0.991,0.670954638,0.963,,,,,,,,,
0.21,3,1,0.5116,0.505894309,0.9956,0.670889488,0.9724,,,,,,,,,
0.25,2,1,0.5097,0.504919363,0.9956,0.670031631,0.9762,,,,,,,,,
0.02,20,1,0.5084,0.504248432,0.997,0.669756818,0.9802,,,,,,,,,
0.04,21,1,0.5076,0.503835285,0.9984,0.66970754,0.9832,,,,,,,,,
0.26,1,1,0.5088,0.504457953,0.9958,0.669670477,0.9782,,,,,,,,,
0.28,4,1,0.5144,0.507434944,0.9828,0.669299918,0.954,,,,,,,,,
0.22,2,1,0.5088,0.504467005,0.9938,0.669225589,0.9762,,,,,,,,,
0.01,28,1,0.5057,0.502871537,0.9982,0.66881072,0.9868,,,,,,,,,
0.01,32,1,0.5057,0.502872115,0.998,0.668766334,0.9866,,,,,,,,,
0.21,1,1,0.5061,0.50307801,0.997,0.66872359,0.9848,,,,,,,,,
0.02,11,1,0.5055,0.502770223,0.9982,0.668721109,0.9872,,,,,,,,,
0.14,5,1,0.5055,0.502770223,0.9982,0.668721109,0.9872,,,,,,,,,
0.01,15,1,0.5056,0.502822012,0.9978,0.668677121,0.9866,,,,,,,,,
0.02,24,1,0.5055,0.502771339,0.9978,0.668632313,0.9868,,,,,,,,,
0.25,1,1,0.5055,0.502771339,0.9978,0.668632313,0.9868,,,,,,,,,
0.03,30,1,0.5055,0.502771898,0.9976,0.668587896,0.9866,,,,,,,,,
0.01,34,1,0.5053,0.502669487,0.998,0.668587124,0.9874,,,,,,,,,
0.17,32,1,0.6027,0.573514674,0.8012,0.668502295,0.5958,,,,,,,,,
0.12,4,1,0.5063,0.503189873,0.9938,0.66810084,0.9812,,,,,,,,,
0.09,4,1,0.5046,0.502317147,0.9972,0.66809594,0.988,,,,,,,,,
0.18,3,1,0.5042,0.502113527,0.9978,0.668050348,0.9894,,,,,,,,,
0.02,22,1,0.5035,0.501757911,0.999,0.668004012,0.992,,,,,,,,,
0.2,5,1,0.5033,0.501657792,0.9986,0.667825854,0.992,,,,,,,,,
0.06,16,0.9995,0.5048,0.502422774,0.9954,0.667784785,0.9858,,,,,,,,,
0.17,4,1,0.5056,0.502836305,0.9928,0.667563206,0.9816,,,,,,,,,
0.06,6,1,0.5055,0.502785374,0.9928,0.667518322,0.9818,,,,,,,,,
0.16,4,0.9998,0.5008,0.5004004,0.9998,0.666977985,0.9982,,,,,,,,,
0.23,2,1,0.5025,0.501258938,0.9954,0.666755978,0.9904,,,,,,,,,
0.11,4,1,0.5001,0.500050005,1,0.666711114,0.9998,,,,,,,,,
0.01,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.06,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.06,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.06,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.06,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.06,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.07,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.07,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.07,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.08,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.08,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.08,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.08,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.08,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.09,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.09,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.09,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.09,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.1,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.1,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.1,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.1,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.1,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.11,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.11,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.11,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.11,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.12,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.12,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.13,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.13,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.14,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.14,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.14,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.15,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.16,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.17,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.18,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.18,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.2,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.23,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.27,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.31,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.16,5,1,0.5,0.5,0.9998,0.666622216,0.9998,,,,,,,,,
0.07,5,1,0.5001,0.500050025,0.9996,0.666622207,0.9994,,,,,,,,,
0.13,1,1,0.4998,0.49989998,0.9996,0.666488865,1,,,,,,,,,
0.23,3,1,0.5001,0.500050055,0.999,0.666488758,0.9988,,,,,,,,,
0.14,4,1,0.5,0.5,0.999,0.666444296,0.999,,,,,,,,,
0.19,1,1,0.5,0.5,0.999,0.666444296,0.999,,,,,,,,,
0.01,31,1,0.4998,0.49989994,0.9992,0.666399893,0.9996,,,,,,,,,
0.16,2,1,0.5,0.5,0.9988,0.666399786,0.9988,,,,,,,,,
0.31,2,1,0.5073,0.503745511,0.9818,0.665852831,0.9672,,,,,,,,,
0.29,2,1,0.5015,0.500756277,0.9932,0.665817524,0.9902,,,,,,,,,
0.35,1,1,0.5024,0.501213838,0.991,0.665726186,0.9862,,,,,,,,,
0.15,5,1,0.5194,0.510352188,0.9564,0.665553236,0.9176,,,,,,,,,
0.15,1,1,0.4993,0.49964863,0.9954,0.665329858,0.9968,,,,,,,,,
0.2,1,1,0.5003,0.500151073,0.9932,0.665282336,0.9926,,,,,,,,,
0.26,2,1,0.4991,0.499547238,0.993,0.664703126,0.9948,,,,,,,,,
0.01,18,1,0.505,0.502573605,0.9764,0.663585701,0.9664,,,,,,,,,
0.03,7,1,0.5037,0.50189802,0.9784,0.663456974,0.971,,,,,,,,,
