self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,
0.04,8,1,0.636,0.589028542,0.8998,0.711979744,0.6278,,,,,,,,,,
0.16,21,1,0.625,0.580087135,0.9054,0.707122774,0.6554,,,,,,,,,,
0.07,25,1,0.6187,0.574795211,0.9122,0.7052184,0.6748,,,0.2,42,0.2765,0.5462,0.582382311,0.3266,0.418503332,0.2342
0.06,41,0.9679,0.6302,0.58677686,0.8804,0.704207327,0.62,,,,,,,,,,
0.03,9,1,0.61,0.56773399,0.922,0.702743902,0.702,,,,,,,,,,
0.08,10,1,0.6134,0.570892723,0.9132,0.702569626,0.6864,,,,,,,,,,
0.06,11,0.9995,0.6104,0.568690891,0.914,0.701135318,0.6932,,,,,,,,,,
0.03,11,0.9992,0.6125,0.570656953,0.9086,0.701026155,0.6836,,,,,,,,,,
0.05,9,0.9923,0.6175,0.575407521,0.8966,0.700961614,0.6616,,,,,,,,,,
0.02,30,1,0.6048,0.564357652,0.919,0.699284736,0.7094,,,,,,,,,,
0.06,24,1,0.6008,0.56122449,0.924,0.698307134,0.7224,,,,,,,,,,
0.02,34,1,0.5986,0.55968523,0.9246,0.697285068,0.7274,,,,,,,,,,
0.04,13,1,0.5964,0.55798845,0.9276,0.696814904,0.7348,,,,,,,,,,
0.04,29,1,0.5964,0.55803034,0.927,0.69667819,0.7342,,,,,,,,,,
0.05,61,0.9681,0.6105,0.570878768,0.89,0.695584213,0.669,,,,,,,,,,
0.09,20,1,0.5877,0.551887351,0.9328,0.693480039,0.7574,,,,,,,,,,
0.06,28,1,0.603,0.564845127,0.8972,0.693246793,0.6912,,,,,,,,,,
0.01,9,0.9996,0.6007,0.562819713,0.9022,0.693200154,0.7008,,,,,,,,,,
0.06,7,1,0.5865,0.551080666,0.9332,0.692953145,0.7602,,,,,,,,,,
0.01,15,1,0.5857,0.550524702,0.9338,0.692678585,0.7624,,,,,,,,,,
0.01,18,0.9683,0.606,0.568334193,0.8816,0.691125745,0.6696,,,,,,,,,,
0.02,13,1,0.5794,0.546184272,0.939,0.690644307,0.7802,,,,,,,,,,
0.07,10,1,0.5899,0.554650456,0.9124,0.689905482,0.7326,,,,,,,,,,
0.03,18,0.9966,0.5952,0.55917454,0.8996,0.689665747,0.7092,,,,,,,,,,
0.02,28,0.9733,0.6038,0.566846986,0.8802,0.689595738,0.6726,,,,,,,,,,
0.05,29,0.9991,0.5816,0.548135913,0.9292,0.689522113,0.766,,,,,,,,,,
0.06,12,0.9763,0.5938,0.558246398,0.899,0.688783328,0.7114,,,,,,,,,,
0.26,2,1,0.5746,0.543121387,0.9396,0.688351648,0.7904,,,,,,,,,,
0.05,7,1,0.5714,0.540987371,0.9424,0.687381473,0.7996,,,,,,,,,,
0.05,32,1,0.5871,0.553507802,0.901,0.685744729,0.7268,,,,,,,,,,
0.24,4,0.9993,0.5883,0.55470202,0.8954,0.685027924,0.7188,,,,,,,,,,
0.02,29,0.9486,0.5904,0.556755399,0.8868,0.684048133,0.706,,,,,,,,,,
0.12,9,1,0.5601,0.533813435,0.9488,0.683228919,0.8286,,,,,,,,,,
0.04,11,0.9484,0.5907,0.557412331,0.8806,0.682688581,0.6992,,,,,,,,,,
0.02,10,0.9996,0.5543,0.530297958,0.9504,0.680753528,0.8418,,,,,,,,,,
0.25,3,0.9994,0.5406,0.521655643,0.978,0.680395158,0.8968,,,,,,,,,,
0.04,34,1,0.5453,0.524632953,0.9648,0.679675942,0.8742,,,,,,,,,,
0.2,5,1,0.5681,0.540434628,0.9102,0.678190895,0.774,,,,,,,,,,
0.01,17,1,0.5307,0.516068251,0.986,0.677523535,0.9246,,,,,,,,,,
0.01,32,1,0.5244,0.512554023,0.9962,0.676858269,0.9474,,,,,,,,,,
0.22,2,1,0.5447,0.524638959,0.9518,0.676426693,0.8624,,,,,,,,,,
0.01,13,1,0.5322,0.517055085,0.9762,0.676038781,0.9118,,,,,,,,,,
0.2,3,1,0.5273,0.514235061,0.9862,0.675988759,0.9316,,,,,,,,,,
0.03,21,0.9713,0.5543,0.531032118,0.9292,0.67583097,0.8206,,,,,,,,,,
0.05,23,0.9985,0.5465,0.525864946,0.9454,0.675816713,0.8524,,,,,,,,,,
0.19,3,1,0.5314,0.516645462,0.9746,0.675304878,0.9118,,,,,,,,,,
0.18,3,1,0.5361,0.519481921,0.9626,0.674798458,0.8904,,,,,,,,,,
0.01,25,1,0.5267,0.514009865,0.9796,0.674237731,0.9262,,,,,,,,,,
0.04,7,1,0.5479,0.527028552,0.934,0.673833057,0.8382,,,,,,,,,,
0.01,22,1,0.5213,0.511041991,0.9858,0.673130761,0.9432,,,,,,,,,,
0.02,16,1,0.5377,0.520684736,0.949,0.672429675,0.8736,,,,,,,,,,
0.03,24,0.9737,0.5297,0.515887451,0.9644,0.672196278,0.905,,,,,,,,,,
0.02,23,1,0.5156,0.508004926,0.99,0.671459577,0.9588,,,,,,,,,,
0.04,39,1,0.512,0.506098801,0.9958,0.671114705,0.9718,,,,,,,,,,
0.08,5,1,0.5165,0.508525369,0.9842,0.670573005,0.9512,,,,,,,,,,
0.04,24,0.9733,0.5297,0.516028063,0.9562,0.670311952,0.8968,,,,,,,,,,
0.01,34,1,0.509,0.504550971,0.9978,0.670204191,0.9798,,,,,,,,,,
