self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,,
0.11,7,0.5515,0.6452,0.597738288,0.888,0.71451561,0.5976,,,,,,,,,,,
0.06,20,0.5502,0.6502,0.603643389,0.8748,0.714355708,0.5744,,,,,,,,,,,
0.04,19,0.648,0.6305,0.583386581,0.913,0.711890838,0.652,,,,0.07,96,0.2627,0.5455,0.588693957,0.302,0.399206874,0.211
0.01,10,0.6721,0.6166,0.572657029,0.919,0.705620393,0.6858,,,,,,,,,,,
0.01,33,0.3748,0.6468,0.606997085,0.8328,0.702192243,0.5392,,,,,,,,,,,
0.01,23,0.6531,0.6083,0.566959317,0.917,0.700695347,0.7004,,,,,,,,,,,
0.03,15,0.4247,0.6315,0.590852563,0.8552,0.698864101,0.5922,,,,,,,,,,,
0.02,15,0.6808,0.6007,0.561096954,0.9248,0.698436674,0.7234,,,,,,,,,,,
0.08,27,0.6667,0.6012,0.561632156,0.9222,0.698107494,0.7198,,,,,,,,,,,
0.05,18,0.6875,0.599,0.559912854,0.9252,0.697632333,0.7272,,,,,,,,,,,
0.04,39,0.6627,0.601,0.561811506,0.918,0.697038724,0.716,,,,,,,,,,,
0.06,24,0.6935,0.5958,0.557558279,0.928,0.696592103,0.7364,,,,,,,,,,,
0.02,27,0.6898,0.5964,0.558058299,0.9266,0.696586979,0.7338,,,,,,,,,,,
0.12,18,0.4898,0.6155,0.575837163,0.877,0.695204122,0.646,,,,,,,,,,,
0.27,2,0.562,0.6016,0.563787042,0.898,0.692687442,0.6948,,,,,,,,,,,
0.01,36,0.5721,0.6001,0.562492196,0.901,0.692597433,0.7008,,,,,,,,,,,
0.05,30,0.7514,0.5821,0.547916423,0.9388,0.69197317,0.7746,,,,,,,,,,,
0.05,23,0.6072,0.5977,0.560615461,0.9036,0.691936595,0.7082,,,,,,,,,,,
0.04,31,0.7208,0.5839,0.549440189,0.9324,0.691434928,0.7646,,,,,,,,,,,
0.03,34,0.4979,0.6098,0.571821036,0.8742,0.691395128,0.6546,,,,,,,,,,,
0.06,26,0.5702,0.5978,0.561094453,0.8982,0.690710551,0.7026,,,,,,,,,,,
0.05,13,0.5092,0.5998,0.56351833,0.8854,0.688705663,0.6858,,,,,,,,,,,
0.01,25,0.807,0.5598,0.533512665,0.952,0.683809797,0.8324,,,,,,,,,,,
0.04,16,0.6091,0.5816,0.549719717,0.9022,0.683174315,0.739,,,,,,,,,,,
