radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.04,70,0,0.4639,0.148148148,0.0152,0.027571195,0.0874,,radius,count,Accuracy,Precision,Recall,FPR,Unknown Coverage,F1
0.05,80,0,0.4504,0.094771242,0.0116,0.020669993,0.1108,,0.03,80,0.4987,0.377358491,0.004,0.0066,0.014925373,0.007916089
0.03,50,0,0.499,0.454545455,0.01,0.019569472,0.012,,,,,,,,,
0.03,80,0.014925373,0.4987,0.377358491,0.004,0.007916089,0.0066,,,,,,,,,
0.01,30,0,0.4989,0.210526316,0.0008,0.001593943,0.003,,,,,,,,,
0.1,30,0,0.4974,0.09375,0.0006,0.001192369,0.0058,,,,,,,,,
0.07,100,0.044776119,0.5002,1,0.0004,0.00079968,0,,,,,,,,,
0.08,80,0,0.4988,0.125,0.0004,0.000797448,0.0028,,,,,,,,,
0.03,20,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.03,70,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.09,90,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.1,10,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.01,80,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.07,90,0,0.4999,0.333333333,0.0002,0.00039976,0.0004,,,,,,,,,
0.02,30,0,0.4998,0.25,0.0002,0.00039968,0.0006,,,,,,,,,
0.02,50,0,0.4662,0,0,0,0.0676,,,,,,,,,
0.06,10,0,0.4935,0,0,0,0.013,,,,,,,,,
0.07,30,0,0.4998,0,0,0,0.0004,,,,,,,,,
0.04,10,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.09,80,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.01,10,0,0.5,0,0,0,0,,,,,,,,,
0.01,20,0,0.5,0,0,0,0,,,,,,,,,
0.01,40,0,0.5,0,0,0,0,,,,,,,,,
0.01,50,0,0.5,0,0,0,0,,,,,,,,,
0.01,60,0,0.5,0,0,0,0,,,,,,,,,
0.01,70,0,0.5,0,0,0,0,,,,,,,,,
0.01,90,0,0.5,0,0,0,0,,,,,,,,,
0.01,100,0,0.5,0,0,0,0,,,,,,,,,
0.02,10,0,0.5,0,0,0,0,,,,,,,,,
0.02,20,0,0.5,0,0,0,0,,,,,,,,,
0.02,40,0,0.5,0,0,0,0,,,,,,,,,
0.02,60,0,0.5,0,0,0,0,,,,,,,,,
0.02,70,0,0.5,0,0,0,0,,,,,,,,,
0.02,80,0,0.5,0,0,0,0,,,,,,,,,
0.02,90,0,0.5,0,0,0,0,,,,,,,,,
0.02,100,0,0.5,0,0,0,0,,,,,,,,,
0.03,10,0,0.5,0,0,0,0,,,,,,,,,
0.03,30,0,0.5,0,0,0,0,,,,,,,,,
0.03,40,0,0.5,0,0,0,0,,,,,,,,,
0.03,60,0,0.5,0,0,0,0,,,,,,,,,
0.03,90,0,0.5,0,0,0,0,,,,,,,,,
0.03,100,0,0.5,0,0,0,0,,,,,,,,,
0.04,20,0,0.5,0,0,0,0,,,,,,,,,
0.04,30,0,0.5,0,0,0,0,,,,,,,,,
0.04,40,0,0.5,0,0,0,0,,,,,,,,,
0.04,50,0,0.5,0,0,0,0,,,,,,,,,
0.04,60,0,0.5,0,0,0,0,,,,,,,,,
0.04,80,0,0.5,0,0,0,0,,,,,,,,,
0.04,90,0,0.5,0,0,0,0,,,,,,,,,
0.04,100,0,0.5,0,0,0,0,,,,,,,,,
0.05,10,0,0.5,0,0,0,0,,,,,,,,,
0.05,20,0,0.5,0,0,0,0,,,,,,,,,
0.05,30,0,0.5,0,0,0,0,,,,,,,,,
0.05,40,0,0.5,0,0,0,0,,,,,,,,,
0.05,50,0,0.5,0,0,0,0,,,,,,,,,
0.05,60,0,0.5,0,0,0,0,,,,,,,,,
0.05,70,0,0.5,0,0,0,0,,,,,,,,,
0.05,90,0,0.5,0,0,0,0,,,,,,,,,
0.05,100,0,0.5,0,0,0,0,,,,,,,,,
0.06,20,0,0.5,0,0,0,0,,,,,,,,,
0.06,30,0,0.5,0,0,0,0,,,,,,,,,
0.06,40,0,0.5,0,0,0,0,,,,,,,,,
0.06,50,0,0.5,0,0,0,0,,,,,,,,,
0.06,60,0,0.5,0,0,0,0,,,,,,,,,
0.06,70,0,0.5,0,0,0,0,,,,,,,,,
0.06,80,0,0.5,0,0,0,0,,,,,,,,,
0.06,90,0,0.5,0,0,0,0,,,,,,,,,
0.06,100,0,0.5,0,0,0,0,,,,,,,,,
0.07,10,0,0.5,0,0,0,0,,,,,,,,,
0.07,20,0,0.5,0,0,0,0,,,,,,,,,
0.07,40,0,0.5,0,0,0,0,,,,,,,,,
0.07,50,0,0.5,0,0,0,0,,,,,,,,,
0.07,60,0,0.5,0,0,0,0,,,,,,,,,
0.07,70,0,0.5,0,0,0,0,,,,,,,,,
0.07,80,0,0.5,0,0,0,0,,,,,,,,,
0.08,10,0,0.5,0,0,0,0,,,,,,,,,
0.08,20,0,0.5,0,0,0,0,,,,,,,,,
0.08,30,0,0.5,0,0,0,0,,,,,,,,,
0.08,40,0,0.5,0,0,0,0,,,,,,,,,
0.08,50,0,0.5,0,0,0,0,,,,,,,,,
0.08,60,0,0.5,0,0,0,0,,,,,,,,,
0.08,70,0,0.5,0,0,0,0,,,,,,,,,
0.08,90,0,0.5,0,0,0,0,,,,,,,,,
0.08,100,0,0.5,0,0,0,0,,,,,,,,,
0.09,10,0,0.5,0,0,0,0,,,,,,,,,
0.09,20,0,0.5,0,0,0,0,,,,,,,,,
0.09,30,0,0.5,0,0,0,0,,,,,,,,,
