threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.13,0.955886297,0.8975,0.909709338,0.8826,0.89594965,0.0876,,,,,,,,,
0.14,0.939930276,0.8967,0.916789241,0.8726,0.894148991,0.0792,,,0.23,0.823545186,0.8515,0.92981169,0.7604,0.836615689,0.0574
0.12,0.965406275,0.8927,0.887201735,0.8998,0.893456459,0.1144,,,,,,,,,
0.1,0.986323411,0.8888,0.867346939,0.918,0.891954916,0.1404,,,,,,,,,
0.09,0.989005095,0.8878,0.86338081,0.9214,0.891447368,0.1458,,,,,,,,,
0.11,0.979216948,0.8873,0.870480199,0.91,0.889801506,0.1354,,,,,,,,,
0.08,0.990211853,0.8851,0.857833117,0.9232,0.889317021,0.153,,,,,,,,,
0.06,0.993966211,0.8829,0.844644464,0.9384,0.889057319,0.1726,,,,,,,,,
0.07,0.991686779,0.8832,0.851301797,0.9286,0.888272432,0.1622,,,,,,,,,
0.15,0.926924108,0.8902,0.91741549,0.8576,0.886499897,0.0772,,,,,,,,,
0.05,0.998927326,0.8778,0.831519832,0.9476,0.885773042,0.192,,,,,,,,,
0.16,0.920219898,0.8864,0.919270833,0.8472,0.881765196,0.0744,,,,,,,,,
0.17,0.91230893,0.885,0.921409807,0.8418,0.879807692,0.0718,,,,,,,,,
0.18,0.894341647,0.8823,0.925061152,0.832,0.876066126,0.0674,,,,,,,,,
0.04,0.999061411,0.8605,0.802686818,0.956,0.872660885,0.235,,,,,,,,,
0.19,0.883748994,0.8787,0.925984252,0.8232,0.87157226,0.0658,,,,,,,,,
0.2,0.859479753,0.8724,0.927456382,0.808,0.86361693,0.0632,,,,,,,,,
0.21,0.852507375,0.866,0.927970065,0.7936,0.855541182,0.0616,,,,,,,,,
0.22,0.841110217,0.8578,0.929634966,0.7742,0.844827586,0.0586,,,,,,,,,
0.23,0.823545186,0.8515,0.92981169,0.7604,0.836615689,0.0574,,,,,,,,,
0.03,0.999731832,0.8016,0.723142942,0.9774,0.83126382,0.3742,,,,,,,,,
0.24,0.77232502,0.8349,0.929028952,0.7252,0.814556891,0.0554,,,,,,,,,
0.25,0.746849021,0.8266,0.929736842,0.7066,0.802954545,0.0534,,,,,,,,,
0.26,0.731965674,0.8215,0.931312047,0.6942,0.795462358,0.0512,,,,,,,,,
0.27,0.727272727,0.82,0.933604336,0.689,0.792865362,0.049,,,,,,,,,
0.28,0.724456959,0.8178,0.934628009,0.6834,0.789510166,0.0478,,,,,,,,,
0.29,0.72003218,0.8162,0.936740331,0.6782,0.786774942,0.0458,,,,,,,,,
0.3,0.716009654,0.8148,0.938195991,0.674,0.784450652,0.0444,,,,,,,,,
0.31,0.714400644,0.8131,0.938392607,0.6702,0.781939097,0.044,,,,,,,,,
0.32,0.711048538,0.8117,0.940378638,0.6656,0.779482375,0.0422,,,,,,,,,
0.33,0.707428265,0.8095,0.941008834,0.6604,0.776119403,0.0414,,,,,,,,,
0.34,0.678466077,0.7995,0.939536249,0.6402,0.761508267,0.0412,,,,,,,,,
0.02,0.999731832,0.6838,0.614417331,0.987,0.757366483,0.6194,,,,,,,,,
0.35,0.653526415,0.7889,0.940262115,0.617,0.745079097,0.0392,,,,,,,,,
0.36,0.653526415,0.7889,0.940262115,0.617,0.745079097,0.0392,,,,,,,,,
0.37,0.64762671,0.7864,0.941430333,0.6108,0.740902475,0.038,,,,,,,,,
0.38,0.641190668,0.7842,0.942679128,0.6052,0.737149817,0.0368,,,,,,,,,
0.39,0.637838563,0.7819,0.942821238,0.6002,0.733471832,0.0364,,,,,,,,,
0.4,0.635961384,0.7806,0.943987342,0.5966,0.731127451,0.0354,,,,,,,,,
0.41,0.633547868,0.7763,0.944927536,0.5868,0.723997532,0.0342,,,,,,,,,
0.42,0.633547868,0.7763,0.944927536,0.5868,0.723997532,0.0342,,,,,,,,,
0.43,0.630463931,0.7736,0.946183953,0.5802,0.719315646,0.033,,,,,,,,,
0.44,0.628720837,0.7715,0.946692991,0.5754,0.715760667,0.0324,,,,,,,,,
0.45,0.627111826,0.7686,0.947368421,0.5688,0.710822294,0.0316,,,,,,,,,
0.46,0.625502816,0.7638,0.946513202,0.5592,0.703042494,0.0316,,,,,,,,,
0.01,0.999865916,0.5766,0.54155816,0.9982,0.702166573,0.845,,,,,,,,,
0.47,0.620675784,0.7551,0.945823139,0.5412,0.688462028,0.031,,,,,,,,,
0.48,0.620675784,0.7551,0.945823139,0.5412,0.688462028,0.031,,,,,,,,,
0.49,0.620139448,0.7522,0.946529745,0.5346,0.683282209,0.0302,,,,,,,,,
0.5,0.618262269,0.7495,0.946972411,0.5286,0.678475164,0.0296,,,,,,,,,
0.51,0.616519174,0.7465,0.947693425,0.5218,0.673029795,0.0288,,,,,,,,,
0.52,0.614507911,0.745,0.947406866,0.5188,0.670457483,0.0288,,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.53,0.612898901,0.7425,0.946922226,0.5138,0.666148062,0.0288,,,,,,,,,
0.54,0.609144543,0.7402,0.947466468,0.5086,0.661894846,0.0282,,,,,,,,,
0.55,0.606328774,0.7383,0.947427713,0.5046,0.658488842,0.028,,,,,,,,,
0.56,0.603513006,0.7361,0.947328534,0.5,0.654535934,0.0278,,,,,,,,,
