threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0.06,0.997108633,0.8814,0.859269028,0.9122,0.884943733,0.1494,,,,,,,,
0.07,0.995456423,0.8821,0.87133139,0.8966,0.883785116,0.1324,,,,,,,,
0.05,0.997521685,0.8763,0.845546373,0.9208,0.881570129,0.1682,,,,,,,,
0.04,0.999586948,0.8686,0.824357621,0.9368,0.876989328,0.1996,,0.14,0.940107394,0.849,0.893018018,0.793,0.840042373,0.095
0.08,0.992565056,0.8744,0.876811594,0.8712,0.87399679,0.1224,,,,,,,,
0.09,0.986782321,0.8744,0.885185185,0.8604,0.872616633,0.1116,,,,,,,,
0.1,0.980999587,0.8666,0.888347458,0.8386,0.862757202,0.1054,,,,,,,,
0.11,0.975216853,0.8582,0.889517181,0.818,0.852260888,0.1016,,,,,,,,
0.12,0.964064436,0.8545,0.889988999,0.809,0.84756417,0.1,,,,,,,,
0.13,0.952085915,0.8513,0.890767519,0.8008,0.843391259,0.0982,,,,,,,,
0.14,0.940107394,0.849,0.893018018,0.793,0.840042373,0.095,,,,,,,,
0.15,0.92936803,0.8492,0.896637892,0.7894,0.839608594,0.091,,,,,,,,
0.16,0.918628666,0.8485,0.898650194,0.7856,0.838331021,0.0886,,,,,,,,
0.17,0.907889302,0.8483,0.90135976,0.7822,0.837562908,0.0856,,,,,,,,
0.19,0.889301941,0.8481,0.908664006,0.774,0.835943406,0.0778,,,,,,,,
0.18,0.899628253,0.8468,0.902693915,0.7774,0.835375027,0.0838,,,,,,,,
0.2,0.879801735,0.8476,0.910292729,0.7712,0.834993504,0.076,,,,,,,,
0.24,0.822387443,0.8527,0.952063573,0.7428,0.834512976,0.0374,,,,,,,,
0.21,0.864931846,0.8468,0.911485524,0.7682,0.833731278,0.0746,,,,,,,,
0.22,0.85212722,0.8453,0.912544803,0.7638,0.831573217,0.0732,,,,,,,,
0.23,0.842213961,0.8451,0.918912357,0.757,0.830134883,0.0668,,,,,,,,
0.25,0.801321768,0.8475,0.95282773,0.7312,0.827430123,0.0362,,,,,,,,
0.26,0.779016935,0.8424,0.953870626,0.7196,0.820337437,0.0348,,,,,,,,
0.27,0.755472945,0.8383,0.956052844,0.7092,0.814330003,0.0326,,,,,,,,
0.28,0.733581165,0.8336,0.956986301,0.6986,0.807630058,0.0314,,,,,,,,
0.29,0.705493598,0.8287,0.957926999,0.6876,0.800558854,0.0302,,,,,,,,
0.03,1,0.7591,0.688491197,0.9464,0.79710267,0.4282,,,,,,,,
0.3,0.68566708,0.8255,0.95909732,0.68,0.79578701,0.029,,,,,,,,
0.31,0.648492359,0.8217,0.960228898,0.6712,0.79011183,0.0278,,,,,,,,
0.32,0.610491532,0.8171,0.961035185,0.661,0.78326816,0.0268,,,,,,,,
0.33,0.570425444,0.8107,0.962764373,0.6464,0.773483307,0.025,,,,,,,,
0.34,0.550598926,0.8057,0.965296804,0.6342,0.765479783,0.0228,,,,,,,,
0.35,0.511771995,0.7988,0.966583385,0.619,0.754693977,0.0214,,,,,,,,
0.36,0.511771995,0.7988,0.966583385,0.619,0.754693977,0.0214,,,,,,,,
0.37,0.498141264,0.7964,0.967507886,0.6134,0.750795594,0.0206,,,,,,,,
0.38,0.485336638,0.7935,0.967803634,0.6072,0.746220966,0.0202,,,,,,,,
0.39,0.470466749,0.7905,0.968397291,0.6006,0.741389952,0.0196,,,,,,,,
0.4,0.459314333,0.7896,0.969520104,0.598,0.739732806,0.0188,,,,,,,,
0.41,0.422139612,0.7852,0.973754153,0.5862,0.731835206,0.0158,,,,,,,,
0.42,0.422139612,0.7852,0.973754153,0.5862,0.731835206,0.0158,,,,,,,,
0.43,0.4118133,0.7835,0.974874372,0.582,0.728866625,0.015,,,,,,,,
0.44,0.399834779,0.7819,0.975700304,0.5782,0.726108251,0.0144,,,,,,,,
0.45,0.388682363,0.7796,0.977785373,0.5722,0.721927832,0.013,,,,,,,,
0.46,0.383312681,0.7767,0.978223298,0.566,0.717091093,0.0126,,,,,,,,
0.47,0.365551425,0.7708,0.981165601,0.5522,0.706680317,0.0106,,,,,,,,
0.48,0.365551425,0.7708,0.981165601,0.5522,0.706680317,0.0106,,,,,,,,
0.49,0.358942586,0.7694,0.981415297,0.5492,0.70428315,0.0104,,,,,,,,
0.5,0.355225114,0.7686,0.982399425,0.547,0.702723535,0.0098,,,,,,,,
0.51,0.352746799,0.7678,0.983044733,0.545,0.701235203,0.0094,,,,,,,,
0.52,0.351920694,0.7671,0.984052193,0.543,0.699832453,0.0088,,,,,,,,
0.02,1,0.5817,0.546184285,0.9662,0.697869267,0.8028,,,,,,,,
0.53,0.351094589,0.7657,0.983970856,0.5402,0.697482247,0.0088,,,,,,,,
0.54,0.347377117,0.765,0.984283626,0.5386,0.69622544,0.0086,,,,,,,,
0.55,0.345311855,0.7643,0.98459846,0.537,0.694965705,0.0084,,,,,,,,
0.56,0.345311855,0.7633,0.984898711,0.5348,0.693195075,0.0082,,,,,,,,
0.57,0.34283354,0.7622,0.985196151,0.5324,0.691249026,0.008,,,,,,,,
0.58,0.34283354,0.7622,0.985196151,0.5324,0.691249026,0.008,,,,,,,,
0.59,0.342007435,0.762,0.986627043,0.5312,0.690587624,0.0072,,,,,,,,
0.6,0.34118133,0.7608,0.986567164,0.5288,0.688541667,0.0072,,,,,,,,
0.61,0.340355225,0.7594,0.986861862,0.5258,0.686064718,0.007,,,,,,,,
0.62,0.339942173,0.7581,0.987533056,0.5228,0.683666797,0.0066,,,,,,,,
0.01,1,0.5428,0.522785349,0.982,0.682323513,0.8964,,,,,,,,
0.63,0.33952912,0.7571,0.987485779,0.5208,0.681943171,0.0066,,,,,,,,
0.64,0.339116068,0.7565,0.987457241,0.5196,0.680906827,0.0066,,,,,,,,
0.65,0.338703015,0.756,0.987804878,0.5184,0.679958027,0.0064,,,,,,,,
0.66,0.337050805,0.7551,0.987762906,0.5166,0.678397899,0.0064,,,,,,,,
0.67,0.335811648,0.7545,0.987734764,0.5154,0.677355763,0.0064,,,,,,,,
0.68,0.31598513,0.7523,0.98763046,0.511,0.673520496,0.0064,,,,,,,,
0.69,0.309376291,0.7507,0.988313206,0.5074,0.670543148,0.006,,,,,,,,
0.7,0.307311029,0.7488,0.98822606,0.5036,0.667196608,0.006,,,,,,,,
0.71,0.307311029,0.7488,0.98822606,0.5036,0.667196608,0.006,,,,,,,,
0,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.72,0.303180504,0.7466,0.988123515,0.4992,0.663300558,0.006,,,,,,,,
0.73,0.297810822,0.7453,0.988062077,0.4966,0.660987621,0.006,,,,,,,,
0.74,0.294919455,0.7447,0.988033506,0.4954,0.65991741,0.006,,,,,,,,
0.75,0.292028088,0.7443,0.988014383,0.4946,0.659202985,0.006,,,,,,,,
0.76,0.290375878,0.744,0.989566613,0.4932,0.658302189,0.0052,,,,,,,,
0.77,0.288723668,0.7433,0.990326481,0.4914,0.656864056,0.0048,,,,,,,,
0.78,0.283353986,0.7421,0.990279465,0.489,0.654706119,0.0048,,,,,,,,
0.79,0.268071045,0.7403,0.990608412,0.4852,0.651362599,0.0046,,,,,,,,
0.8,0.264766625,0.7393,0.990972507,0.483,0.649455426,0.0044,,,,,,,,
0.81,0.259396943,0.7376,0.992129246,0.479,0.646074993,0.0038,,,,,,,,
0.82,0.233787691,0.7335,0.994493859,0.4696,0.637956799,0.0026,,,,,,,,
0.83,0.224700537,0.7324,0.996157131,0.4666,0.635521656,0.0018,,,,,,,,
0.84,0.224700537,0.7324,0.996157131,0.4666,0.635521656,0.0018,,,,,,,,
0.85,0.203634862,0.7276,0.996509599,0.4568,0.626439934,0.0016,,,,,,,,
0.86,0.128046262,0.7177,0.996352029,0.437,0.607535104,0.0016,,,,,,,,
0.87,0.085914911,0.7097,0.996684036,0.4208,0.591759246,0.0014,,,,,,,,
0.88,0.085088806,0.7072,0.997120921,0.4156,0.586674195,0.0012,,,,,,,,
0.89,0.083436596,0.7044,0.999023438,0.4092,0.580590238,0.0004,,,,,,,,
0.9,0.02684841,0.6965,0.999491612,0.3932,0.56437491,0.0002,,,,,,,,
0.91,0.02684841,0.6951,0.999487967,0.3904,0.561484251,0.0002,,,,,,,,
0.92,0.019826518,0.69,0.999474238,0.3802,0.550854825,0.0002,,,,,,,,
0.93,0.000413052,0.6852,1,0.3704,0.540572096,0,,,,,,,,
0.94,0,0.6722,1,0.3444,0.512347516,0,,,,,,,,
0.95,0,0.6665,1,0.333,0.499624906,0,,,,,,,,
0.96,0,0.6665,1,0.333,0.499624906,0,,,,,,,,
0.97,0,0.665,1,0.33,0.496240602,0,,,,,,,,
0.98,0,0.6629,1,0.3258,0.491476844,0,,,,,,,,
0.99,0,0.6619,1,0.3238,0.489197764,0,,,,,,,,
1,0,0.657,1,0.314,0.477929985,0,,,,,,,,
